日期,收盤價
2025-08-01,7.50
2025-07-31,7.55
2025-07-30,7.72
2025-07-29,7.64
2025-07-28,7.67
2025-07-25,7.65
2025-07-24,7.72
2025-07-23,7.75
2025-07-22,7.60
2025-07-21,7.58
2025-07-18,7.57
2025-07-17,7.49
2025-07-16,7.47
2025-07-15,7.49
2025-07-14,7.56
2025-07-11,7.63
2025-07-10,7.53
2025-07-09,7.52
2025-07-08,7.48
2025-07-07,7.43
2025-07-04,7.47
2025-07-03,7.36
2025-07-02,7.36
2025-07-01,7.34
2025-06-30,7.32
2025-06-27,7.29
2025-06-26,7.35
2025-06-25,7.37
2025-06-24,7.33
2025-06-23,7.22
2025-06-20,7.25
2025-06-19,7.19
2025-06-18,7.22
2025-06-17,7.23
2025-06-16,7.20
2025-06-13,7.23
2025-06-12,7.28
2025-06-11,7.27
2025-06-10,7.25
2025-06-09,7.23
2025-06-06,7.25
2025-06-05,7.27
2025-06-04,7.25
2025-06-03,7.24
2025-06-02,7.19
2025-05-29,7.23
2025-05-28,7.24
2025-05-27,7.23
2025-05-26,7.32
2025-05-23,7.44
2025-05-22,7.45
2025-05-21,7.40
2025-05-20,7.35
2025-05-19,7.30
2025-05-16,7.35
2025-05-15,7.40
2025-05-14,7.35
2025-05-13,7.30
2025-05-12,7.25
2025-05-09,7.25
2025-05-08,7.20
2025-05-07,7.15
2025-05-06,7.13
2025-05-05,6.96
2025-05-02,6.95
2025-04-30,6.96
2025-04-29,6.99
2025-04-28,7.02
2025-04-25,7.02
2025-04-24,7.00
2025-04-23,6.99
2025-04-22,6.97
2025-04-21,6.96
2025-04-18,6.94
2025-04-17,6.92
2025-04-16,6.84
2025-04-15,6.86
2025-04-14,6.85
2025-04-11,6.77
2025-04-10,6.73
2025-04-09,--
2025-04-08,6.59
2025-04-07,--
2025-04-02,7.07
2025-04-01,7.08
2025-03-31,7.13
2025-03-28,7.13
2025-03-27,7.19
2025-03-26,7.15
2025-03-25,7.16
2025-03-24,7.15
2025-03-21,7.18
2025-03-20,7.28
2025-03-19,7.33
2025-03-18,7.29
2025-03-17,7.30
2025-03-14,7.15
2025-03-13,7.10
2025-03-12,7.08
2025-03-11,7.01
2025-03-10,7.00
2025-03-07,7.06
2025-03-06,7.06
2025-03-05,6.98
2025-03-04,6.92
2025-03-03,7.02
