日期,收盤價
2025-08-01,54.80
2025-07-31,54.80
2025-07-30,55.15
2025-07-29,54.50
2025-07-28,55.20
2025-07-25,55.25
2025-07-24,56.45
2025-07-23,56.35
2025-07-22,56.10
2025-07-21,56.10
2025-07-18,55.50
2025-07-17,56.60
2025-07-16,56.35
2025-07-15,56.75
2025-07-14,56.15
2025-07-11,56.55
2025-07-10,57.40
2025-07-09,57.90
2025-07-08,57.45
2025-07-07,57.50
2025-07-04,57.10
2025-07-03,57.85
2025-07-02,57.80
2025-07-01,58.25
2025-06-30,58.30
2025-06-27,58.20
2025-06-26,57.30
2025-06-25,57.05
2025-06-24,57.25
2025-06-23,55.90
2025-06-20,56.40
2025-06-19,55.35
2025-06-18,55.55
2025-06-17,55.75
2025-06-16,55.85
2025-06-13,55.00
2025-06-12,56.75
2025-06-11,57.60
2025-06-10,57.40
2025-06-09,57.40
2025-06-06,56.70
2025-06-05,55.55
2025-06-04,55.30
2025-06-03,55.45
2025-06-02,55.25
2025-05-29,56.00
2025-05-28,56.05
2025-05-27,56.05
2025-05-26,57.15
2025-05-23,56.80
2025-05-22,55.40
2025-05-21,57.15
2025-05-20,57.15
2025-05-19,57.55
2025-05-16,57.35
2025-05-15,56.45
2025-05-14,56.25
2025-05-13,56.50
2025-05-12,56.50
2025-05-09,53.15
2025-05-08,55.30
2025-05-07,54.80
2025-05-06,55.05
2025-05-05,54.85
2025-05-02,56.35
2025-04-30,56.20
2025-04-29,56.55
2025-04-28,56.45
2025-04-25,54.95
2025-04-24,56.40
2025-04-23,55.80
2025-04-22,56.25
2025-04-21,55.70
2025-04-18,55.10
2025-04-17,52.45
2025-04-16,52.05
2025-04-15,52.40
2025-04-14,52.10
2025-04-11,50.55
2025-04-10,52.40
2025-04-09,48.39
2025-04-08,48.53
2025-04-07,46.60
2025-04-02,53.05
2025-04-01,53.00
2025-03-31,52.80
2025-03-28,54.55
2025-03-27,54.45
2025-03-26,55.05
2025-03-25,55.15
2025-03-24,54.75
2025-03-21,53.55
2025-03-20,52.35
2025-03-19,51.85
2025-03-18,51.30
2025-03-17,50.05
2025-03-14,49.75
2025-03-13,49.95
2025-03-12,49.60
2025-03-11,49.90
2025-03-10,50.75
2025-03-07,50.55
2025-03-06,49.74
2025-03-05,49.30
2025-03-04,48.49
2025-03-03,48.54
