日期,收盤價
2025-08-01,6.73
2025-07-31,6.66
2025-07-30,6.53
2025-07-29,6.56
2025-07-28,6.56
2025-07-25,6.54
2025-07-24,6.49
2025-07-23,6.44
2025-07-22,6.54
2025-07-21,6.62
2025-07-18,6.63
2025-07-17,6.67
2025-07-16,6.69
2025-07-15,6.68
2025-07-14,6.60
2025-07-11,6.54
2025-07-10,6.60
2025-07-09,6.60
2025-07-08,6.65
2025-07-07,6.68
2025-07-04,6.59
2025-07-03,6.69
2025-07-02,6.75
2025-07-01,6.78
2025-06-30,6.82
2025-06-27,6.74
2025-06-26,6.70
2025-06-25,6.81
2025-06-24,6.86
2025-06-23,7.00
2025-06-20,6.94
2025-06-19,7.00
2025-06-18,6.94
2025-06-17,6.95
2025-06-16,6.97
2025-06-13,6.99
2025-06-12,6.94
2025-06-11,6.96
2025-06-10,7.04
2025-06-09,7.03
2025-06-06,6.99
2025-06-05,7.00
2025-06-04,6.99
2025-06-03,7.02
2025-06-02,7.12
2025-05-29,7.00
2025-05-28,7.00
2025-05-27,6.99
2025-05-26,6.99
2025-05-23,6.84
2025-05-22,6.84
2025-05-21,6.84
2025-05-20,6.91
2025-05-19,6.96
2025-05-16,6.92
2025-05-15,6.86
2025-05-14,6.87
2025-05-13,7.00
2025-05-12,7.03
2025-05-09,7.04
2025-05-08,7.09
2025-05-07,7.15
2025-05-06,7.20
2025-05-05,7.12
2025-05-02,7.32
2025-04-30,7.42
2025-04-29,7.43
2025-04-28,7.38
2025-04-25,7.41
2025-04-24,7.39
2025-04-23,7.40
2025-04-22,7.40
2025-04-21,7.45
2025-04-18,7.48
2025-04-17,7.48
2025-04-16,7.55
2025-04-15,7.52
2025-04-14,7.56
2025-04-11,7.62
2025-04-10,7.69
2025-04-09,7.87
2025-04-08,7.91
2025-04-07,8.05
2025-04-02,7.54
2025-04-01,7.54
2025-03-31,7.50
2025-03-28,7.47
2025-03-27,7.43
2025-03-26,7.45
2025-03-25,7.43
2025-03-24,7.43
2025-03-21,7.43
2025-03-20,7.31
2025-03-19,7.24
2025-03-18,7.30
2025-03-17,7.29
2025-03-14,7.32
2025-03-13,7.53
2025-03-12,7.54
2025-03-11,7.59
2025-03-10,7.60
2025-03-07,7.49
2025-03-06,7.53
2025-03-05,7.62
2025-03-04,7.66
2025-03-03,7.56
