日期,收盤價
2025-08-01,19.33
2025-07-31,19.45
2025-07-30,19.66
2025-07-29,19.68
2025-07-28,19.75
2025-07-25,19.88
2025-07-24,19.82
2025-07-23,20.04
2025-07-22,19.86
2025-07-21,19.98
2025-07-18,20.04
2025-07-17,19.77
2025-07-16,19.64
2025-07-15,19.51
2025-07-14,19.58
2025-07-11,19.68
2025-07-10,19.56
2025-07-09,19.72
2025-07-08,19.81
2025-07-07,19.95
2025-07-04,20.19
2025-07-03,20.21
2025-07-02,19.90
2025-07-01,19.84
2025-06-30,19.88
2025-06-27,19.64
2025-06-26,19.72
2025-06-25,20.12
2025-06-24,20.31
2025-06-23,20.57
2025-06-20,20.66
2025-06-19,20.68
2025-06-18,20.72
2025-06-17,20.54
2025-06-16,20.51
2025-06-13,19.98
2025-06-12,19.96
2025-06-11,20.11
2025-06-10,20.17
2025-06-09,20.16
2025-06-06,20.08
2025-06-05,19.86
2025-06-04,19.82
2025-06-03,19.72
2025-06-02,19.75
2025-05-29,20.02
2025-05-28,20.22
2025-05-27,20.26
2025-05-26,20.19
2025-05-23,20.37
2025-05-22,20.07
2025-05-21,20.14
2025-05-20,19.97
2025-05-19,20.04
2025-05-16,20.10
2025-05-15,20.34
2025-05-14,20.62
2025-05-13,20.43
2025-05-12,20.11
2025-05-09,19.87
2025-05-08,19.88
2025-05-07,20.15
2025-05-06,19.91
2025-05-05,19.91
2025-05-02,20.36
2025-04-30,20.25
2025-04-29,20.54
2025-04-28,20.48
2025-04-25,20.70
2025-04-24,20.42
2025-04-23,20.43
2025-04-22,20.24
2025-04-21,20.33
2025-04-18,20.25
2025-04-17,20.45
2025-04-16,20.10
2025-04-15,20.25
2025-04-14,20.31
2025-04-11,20.13
2025-04-10,19.98
2025-04-09,19.47
2025-04-08,19.45
2025-04-07,19.27
2025-04-02,20.38
2025-04-01,20.08
2025-03-31,20.27
2025-03-28,20.04
2025-03-27,19.80
2025-03-26,19.72
2025-03-25,19.82
2025-03-24,19.86
2025-03-21,19.91
2025-03-20,19.94
2025-03-19,20.00
2025-03-18,20.03
2025-03-17,20.11
2025-03-14,19.94
2025-03-13,19.79
2025-03-12,19.92
2025-03-11,19.91
2025-03-10,20.10
2025-03-07,20.19
2025-03-06,20.07
2025-03-05,19.75
2025-03-04,19.77
2025-03-03,20.23
