日期,收盤價
2025-08-01,9.34
2025-07-31,9.32
2025-07-30,9.26
2025-07-29,9.25
2025-07-28,9.18
2025-07-25,9.16
2025-07-24,9.11
2025-07-23,9.12
2025-07-22,9.13
2025-07-21,9.14
2025-07-18,9.11
2025-07-17,9.11
2025-07-16,9.09
2025-07-15,9.08
2025-07-14,9.03
2025-07-11,9.05
2025-07-10,9.04
2025-07-09,9.00
2025-07-08,9.00
2025-07-07,9.00
2025-07-04,8.94
2025-07-03,8.96
2025-07-02,9.09
2025-07-01,9.11
2025-06-30,9.09
2025-06-27,8.99
2025-06-26,9.08
2025-06-25,9.14
2025-06-24,9.15
2025-06-23,9.17
2025-06-20,9.12
2025-06-19,9.12
2025-06-18,9.11
2025-06-17,9.10
2025-06-16,9.11
2025-06-13,9.13
2025-06-12,9.18
2025-06-11,9.23
2025-06-10,9.23
2025-06-09,9.22
2025-06-06,9.22
2025-06-05,9.21
2025-06-04,9.24
2025-06-03,9.30
2025-06-02,9.29
2025-05-29,9.33
2025-05-28,9.26
2025-05-27,9.22
2025-05-26,9.20
2025-05-23,9.23
2025-05-22,9.23
2025-05-21,9.31
2025-05-20,9.33
2025-05-19,9.32
2025-05-16,9.30
2025-05-15,9.30
2025-05-14,9.37
2025-05-13,9.36
2025-05-12,9.24
2025-05-09,9.21
2025-05-08,9.25
2025-05-07,9.22
2025-05-06,9.17
2025-05-05,9.08
2025-05-02,9.67
2025-04-30,9.84
2025-04-29,9.92
2025-04-28,9.96
2025-04-25,9.96
2025-04-24,9.91
2025-04-23,9.89
2025-04-22,9.82
2025-04-21,9.82
2025-04-18,9.92
2025-04-17,9.84
2025-04-16,9.80
2025-04-15,9.80
2025-04-14,9.74
2025-04-11,9.80
2025-04-10,9.94
2025-04-09,9.69
2025-04-08,9.84
2025-04-07,9.63
2025-04-02,10.23
2025-04-01,10.30
2025-03-31,10.27
2025-03-28,10.30
2025-03-27,10.29
2025-03-26,10.31
2025-03-25,10.29
2025-03-24,10.26
2025-03-21,10.26
2025-03-20,10.26
2025-03-19,10.23
2025-03-18,10.24
2025-03-17,10.21
2025-03-14,10.18
2025-03-13,10.22
2025-03-12,10.22
2025-03-11,10.24
2025-03-10,10.25
2025-03-07,10.25
2025-03-06,10.27
2025-03-05,10.35
2025-03-04,10.36
2025-03-03,10.35
