日期,收盤價
2025-08-01,12.04
2025-07-31,11.98
2025-07-30,11.77
2025-07-29,11.73
2025-07-28,11.86
2025-07-25,11.77
2025-07-24,11.78
2025-07-23,11.70
2025-07-22,11.60
2025-07-21,11.79
2025-07-18,11.79
2025-07-17,11.66
2025-07-16,11.62
2025-07-15,11.54
2025-07-14,11.42
2025-07-11,11.57
2025-07-10,11.56
2025-07-09,11.45
2025-07-08,11.30
2025-07-07,11.31
2025-07-04,11.41
2025-07-03,11.52
2025-07-02,11.40
2025-07-01,11.36
2025-06-30,11.27
2025-06-27,11.28
2025-06-26,11.26
2025-06-25,11.29
2025-06-24,11.16
2025-06-23,10.97
2025-06-20,10.95
2025-06-19,11.08
2025-06-18,11.15
2025-06-17,11.12
2025-06-16,11.08
2025-06-13,11.04
2025-06-12,11.11
2025-06-11,11.14
2025-06-10,11.05
2025-06-09,10.84
2025-06-06,10.75
2025-06-05,10.77
2025-06-04,10.78
2025-06-03,10.66
2025-06-02,10.51
2025-05-29,10.72
2025-05-28,10.62
2025-05-27,10.57
2025-05-26,10.64
2025-05-23,10.66
2025-05-22,10.66
2025-05-21,10.72
2025-05-20,10.57
2025-05-19,10.56
2025-05-16,10.77
2025-05-15,10.71
2025-05-14,10.71
2025-05-13,10.45
2025-05-12,10.37
2025-05-09,10.25
2025-05-08,10.13
2025-05-07,9.99
2025-05-06,9.98
2025-05-05,9.90
