日期,收盤價
2025-08-01,--
2025-07-31,--
2025-07-30,--
2025-07-29,--
2025-07-28,--
2025-07-25,--
2025-07-24,--
2025-07-23,--
2025-07-22,--
2025-07-21,--
2025-07-18,--
2025-07-17,--
2025-07-16,7.65
2025-07-15,--
2025-07-14,--
2025-07-11,--
2025-07-10,--
2025-07-09,7.41
2025-07-08,--
2025-07-07,--
2025-07-04,--
2025-07-03,--
2025-07-02,--
2025-07-01,--
2025-06-30,--
2025-06-27,--
2025-06-26,--
2025-06-25,--
2025-06-24,--
2025-06-23,--
2025-06-20,--
2025-06-19,--
2025-06-18,--
2025-06-17,--
2025-06-16,--
2025-06-13,--
2025-06-12,--
2025-06-11,--
2025-06-10,--
2025-06-09,--
2025-06-06,--
2025-06-05,--
2025-06-04,--
2025-06-03,--
2025-06-02,--
2025-05-29,--
2025-05-28,--
2025-05-27,--
2025-05-26,--
2025-05-23,--
2025-05-22,--
2025-05-21,--
2025-05-20,--
2025-05-19,--
2025-05-16,--
2025-05-15,--
2025-05-14,--
2025-05-13,--
2025-05-12,--
2025-05-09,7.03
2025-05-08,--
2025-05-07,6.96
2025-05-06,--
2025-05-05,--
2025-05-02,--
2025-04-30,--
2025-04-29,--
2025-04-28,--
2025-04-25,--
2025-04-24,--
2025-04-23,6.65
2025-04-22,6.50
2025-04-21,--
2025-04-18,--
2025-04-17,--
2025-04-16,--
2025-04-15,6.73
2025-04-14,--
2025-04-11,6.52
2025-04-10,6.52
2025-04-09,--
2025-04-08,6.54
2025-04-07,--
2025-04-02,--
2025-04-01,--
2025-03-31,7.14
2025-03-28,--
2025-03-27,--
2025-03-26,--
2025-03-25,--
2025-03-24,--
2025-03-21,--
2025-03-20,--
2025-03-19,--
2025-03-18,--
2025-03-17,--
2025-03-14,--
2025-03-13,--
2025-03-12,--
2025-03-11,--
2025-03-10,--
2025-03-07,--
2025-03-06,--
2025-03-05,--
2025-03-04,--
2025-03-03,--
