日期,收盤價
2025-08-01,53.00
2025-07-31,52.90
2025-07-30,52.50
2025-07-29,52.00
2025-07-28,52.30
2025-07-25,52.30
2025-07-24,52.00
2025-07-23,52.10
2025-07-22,51.90
2025-07-21,52.00
2025-07-18,52.10
2025-07-17,52.10
2025-07-16,52.00
2025-07-15,51.90
2025-07-14,52.00
2025-07-11,52.00
2025-07-10,52.00
2025-07-09,52.00
2025-07-08,52.00
2025-07-07,51.80
2025-07-04,51.80
2025-07-03,51.80
2025-07-02,52.00
2025-07-01,51.90
2025-06-30,53.00
2025-06-27,52.60
2025-06-26,53.00
2025-06-25,53.00
2025-06-24,52.00
2025-06-23,51.90
2025-06-20,52.10
2025-06-19,52.20
2025-06-18,52.10
2025-06-17,52.10
2025-06-16,52.00
2025-06-13,51.80
2025-06-12,52.00
2025-06-11,52.00
2025-06-10,52.00
2025-06-09,52.00
2025-06-06,52.00
2025-06-05,52.00
2025-06-04,52.00
2025-06-03,52.00
2025-06-02,52.10
2025-05-29,52.10
2025-05-28,52.20
2025-05-27,52.20
2025-05-26,52.20
2025-05-23,52.20
2025-05-22,52.30
2025-05-21,52.20
2025-05-20,52.10
2025-05-19,52.10
2025-05-16,51.90
2025-05-15,52.00
2025-05-14,--
2025-05-13,52.10
2025-05-12,52.10
2025-05-09,52.10
2025-05-08,51.90
2025-05-07,51.80
2025-05-06,52.00
2025-05-05,51.80
2025-05-02,51.90
2025-04-30,52.00
2025-04-29,51.70
2025-04-28,51.00
2025-04-25,52.10
2025-04-24,52.00
2025-04-23,51.90
2025-04-22,51.70
2025-04-21,52.10
2025-04-18,52.30
2025-04-17,52.30
2025-04-16,52.10
2025-04-15,52.10
2025-04-14,51.70
2025-04-11,51.50
2025-04-10,51.50
2025-04-09,50.90
2025-04-08,51.10
2025-04-07,51.10
2025-04-02,52.30
2025-04-01,52.50
2025-03-31,52.20
2025-03-28,52.30
2025-03-27,52.30
2025-03-26,52.30
2025-03-25,52.30
2025-03-24,52.50
2025-03-21,52.40
2025-03-20,52.60
2025-03-19,52.40
2025-03-18,52.50
2025-03-17,52.50
2025-03-14,52.60
2025-03-13,52.70
2025-03-12,52.70
2025-03-11,52.90
2025-03-10,52.90
2025-03-07,52.90
2025-03-06,52.80
2025-03-05,52.90
2025-03-04,53.00
2025-03-03,53.00
