日期,收盤價
2025-08-01,48.20
2025-07-31,48.05
2025-07-30,48.05
2025-07-29,48.15
2025-07-28,48.40
2025-07-25,48.55
2025-07-24,48.70
2025-07-23,48.90
2025-07-22,48.85
2025-07-21,49.05
2025-07-18,49.15
2025-07-17,49.15
2025-07-16,49.20
2025-07-15,49.10
2025-07-14,49.25
2025-07-11,49.20
2025-07-10,48.95
2025-07-09,48.50
2025-07-08,48.45
2025-07-07,50.40
2025-07-04,50.50
2025-07-03,50.40
2025-07-02,50.30
2025-07-01,50.30
2025-06-30,50.30
2025-06-27,50.30
2025-06-26,50.30
2025-06-25,50.30
2025-06-24,50.30
2025-06-23,50.10
2025-06-20,50.20
2025-06-19,50.30
2025-06-18,50.30
2025-06-17,50.30
2025-06-16,50.30
2025-06-13,50.30
2025-06-12,50.30
2025-06-11,50.40
2025-06-10,50.50
2025-06-09,50.50
2025-06-06,50.40
2025-06-05,50.50
2025-06-04,50.40
2025-06-03,50.30
2025-06-02,50.40
2025-05-29,50.40
2025-05-28,50.40
2025-05-27,50.50
2025-05-26,50.50
2025-05-23,50.40
2025-05-22,50.40
2025-05-21,50.40
2025-05-20,50.50
2025-05-19,50.50
2025-05-16,50.60
2025-05-15,50.60
2025-05-14,50.60
2025-05-13,50.60
2025-05-12,50.70
2025-05-09,50.70
2025-05-08,50.40
2025-05-07,50.40
2025-05-06,50.60
2025-05-05,50.80
2025-05-02,50.90
2025-04-30,51.00
2025-04-29,50.90
2025-04-28,51.00
2025-04-25,51.00
2025-04-24,50.90
2025-04-23,51.00
2025-04-22,51.00
2025-04-21,51.00
2025-04-18,51.00
2025-04-17,50.80
2025-04-16,50.80
2025-04-15,51.00
2025-04-14,50.60
2025-04-11,50.70
2025-04-10,50.80
2025-04-09,50.00
2025-04-08,50.30
2025-04-07,50.00
2025-04-02,51.50
2025-04-01,51.50
2025-03-31,51.40
2025-03-28,51.70
2025-03-27,51.80
2025-03-26,51.80
2025-03-25,51.80
2025-03-24,51.80
2025-03-21,51.80
2025-03-20,51.80
2025-03-19,51.80
2025-03-18,51.80
2025-03-17,51.90
2025-03-14,51.80
2025-03-13,51.80
2025-03-12,51.90
2025-03-11,51.70
2025-03-10,51.80
2025-03-07,51.70
2025-03-06,51.80
2025-03-05,51.90
2025-03-04,51.80
2025-03-03,51.90
