日期,收盤價
2025-08-01,43.40
2025-07-31,43.35
2025-07-30,43.40
2025-07-29,43.40
2025-07-28,43.50
2025-07-25,43.55
2025-07-24,43.95
2025-07-23,44.00
2025-07-22,43.95
2025-07-21,44.10
2025-07-18,44.00
2025-07-17,44.00
2025-07-16,43.95
2025-07-15,44.00
2025-07-14,44.00
2025-07-11,44.10
2025-07-10,44.10
2025-07-09,--
2025-07-08,44.10
2025-07-07,45.80
2025-07-04,45.80
2025-07-03,45.80
2025-07-02,45.70
2025-07-01,45.80
2025-06-30,45.60
2025-06-27,45.70
2025-06-26,45.65
2025-06-25,45.60
2025-06-24,45.50
2025-06-23,45.50
2025-06-20,45.60
2025-06-19,45.50
2025-06-18,45.75
2025-06-17,45.75
2025-06-16,45.70
2025-06-13,45.80
2025-06-12,45.80
2025-06-11,45.85
2025-06-10,45.85
2025-06-09,45.85
2025-06-06,45.80
2025-06-05,45.90
2025-06-04,45.70
2025-06-03,45.85
2025-06-02,45.90
2025-05-29,45.90
2025-05-28,45.95
2025-05-27,46.00
2025-05-26,45.90
2025-05-23,45.95
2025-05-22,46.10
2025-05-21,46.00
2025-05-20,45.90
2025-05-19,46.00
2025-05-16,46.20
2025-05-15,46.10
2025-05-14,46.05
2025-05-13,45.95
2025-05-12,46.00
2025-05-09,46.20
2025-05-08,46.20
2025-05-07,46.25
2025-05-06,46.25
2025-05-05,46.60
2025-05-02,46.65
2025-04-30,46.75
2025-04-29,--
2025-04-28,46.85
2025-04-25,--
2025-04-24,--
2025-04-23,46.95
2025-04-22,46.80
2025-04-21,46.60
2025-04-18,46.45
2025-04-17,46.40
2025-04-16,46.45
2025-04-15,46.25
2025-04-14,--
2025-04-11,46.20
2025-04-10,46.20
2025-04-09,45.00
2025-04-08,46.00
2025-04-07,46.00
2025-04-02,47.35
2025-04-01,47.35
2025-03-31,47.20
2025-03-28,47.30
2025-03-27,47.25
2025-03-26,47.40
2025-03-25,47.45
2025-03-24,47.45
2025-03-21,47.60
2025-03-20,47.50
2025-03-19,47.50
2025-03-18,47.45
2025-03-17,47.20
2025-03-14,47.20
2025-03-13,--
2025-03-12,--
2025-03-11,47.15
2025-03-10,47.30
2025-03-07,47.35
2025-03-06,47.20
2025-03-05,47.25
2025-03-04,47.15
2025-03-03,47.15
