日期,收盤價
2025-08-01,15.25
2025-07-31,15.25
2025-07-30,15.20
2025-07-29,15.15
2025-07-28,15.20
2025-07-25,15.20
2025-07-24,15.10
2025-07-23,15.10
2025-07-22,15.10
2025-07-21,15.15
2025-07-18,15.15
2025-07-17,15.15
2025-07-16,15.20
2025-07-15,15.20
2025-07-14,15.15
2025-07-11,15.05
2025-07-10,15.05
2025-07-09,15.10
2025-07-08,15.10
2025-07-07,15.70
2025-07-04,15.75
2025-07-03,15.70
2025-07-02,15.70
2025-07-01,15.70
2025-06-30,15.65
2025-06-27,15.65
2025-06-26,15.70
2025-06-25,15.70
2025-06-24,15.70
2025-06-23,15.75
2025-06-20,15.95
2025-06-19,16.00
2025-06-18,15.95
2025-06-17,16.00
2025-06-16,16.00
2025-06-13,16.05
2025-06-12,16.05
2025-06-11,16.05
2025-06-10,16.10
2025-06-09,16.10
2025-06-06,16.05
2025-06-05,16.05
2025-06-04,16.00
2025-06-03,16.05
2025-06-02,16.00
2025-05-29,--
2025-05-28,16.05
2025-05-27,16.00
2025-05-26,16.00
2025-05-23,16.00
2025-05-22,16.00
2025-05-21,15.95
2025-05-20,15.95
2025-05-19,16.00
2025-05-16,15.95
2025-05-15,15.95
2025-05-14,15.95
2025-05-13,15.95
2025-05-12,15.95
2025-05-09,15.90
2025-05-08,15.85
2025-05-07,15.80
2025-05-06,15.80
2025-05-05,15.80
2025-05-02,15.80
2025-04-30,15.85
2025-04-29,15.80
2025-04-28,15.75
2025-04-25,15.75
2025-04-24,15.75
2025-04-23,15.75
2025-04-22,15.80
2025-04-21,15.80
2025-04-18,15.85
2025-04-17,15.80
2025-04-16,15.85
2025-04-15,15.80
2025-04-14,15.80
2025-04-11,15.80
2025-04-10,15.75
2025-04-09,15.50
2025-04-08,15.90
2025-04-07,15.65
2025-04-02,16.00
2025-04-01,16.00
2025-03-31,15.95
2025-03-28,16.05
2025-03-27,16.05
2025-03-26,16.15
2025-03-25,16.05
2025-03-24,16.10
2025-03-21,16.10
2025-03-20,16.10
2025-03-19,16.05
2025-03-18,16.10
2025-03-17,16.10
2025-03-14,16.10
2025-03-13,16.05
2025-03-12,16.15
2025-03-11,16.15
2025-03-10,16.15
2025-03-07,16.15
2025-03-06,16.15
2025-03-05,16.20
2025-03-04,16.15
2025-03-03,16.15
