日期,收盤價
2025-08-01,16.65
2025-07-31,16.60
2025-07-30,16.65
2025-07-29,16.65
2025-07-28,16.75
2025-07-25,16.90
2025-07-24,16.95
2025-07-23,16.85
2025-07-22,16.90
2025-07-21,16.80
2025-07-18,16.75
2025-07-17,16.60
2025-07-16,16.40
2025-07-15,16.60
2025-07-14,16.60
2025-07-11,16.80
2025-07-10,16.75
2025-07-09,16.90
2025-07-08,17.00
2025-07-07,17.00
2025-07-04,17.15
2025-07-03,17.20
2025-07-02,17.15
2025-07-01,17.40
2025-06-30,17.30
2025-06-27,17.15
2025-06-26,17.10
2025-06-25,17.75
2025-06-24,17.55
2025-06-23,17.30
2025-06-20,17.50
2025-06-19,17.50
2025-06-18,17.85
2025-06-17,17.95
2025-06-16,17.90
2025-06-13,17.95
2025-06-12,17.80
2025-06-11,17.85
2025-06-10,17.85
2025-06-09,17.85
2025-06-06,18.00
2025-06-05,18.05
2025-06-04,18.20
2025-06-03,17.90
2025-06-02,17.95
2025-05-29,18.05
2025-05-28,18.05
2025-05-27,18.25
2025-05-26,18.40
2025-05-23,18.20
2025-05-22,18.35
2025-05-21,18.40
2025-05-20,18.35
2025-05-19,18.25
2025-05-16,18.35
2025-05-15,18.15
2025-05-14,18.30
2025-05-13,18.15
2025-05-12,18.30
2025-05-09,18.35
2025-05-08,18.25
2025-05-07,18.40
2025-05-06,18.55
2025-05-05,18.10
2025-05-02,17.80
2025-04-30,17.55
2025-04-29,17.50
2025-04-28,17.35
2025-04-25,17.45
2025-04-24,17.25
2025-04-23,17.20
2025-04-22,16.95
2025-04-21,16.95
2025-04-18,17.40
2025-04-17,17.40
2025-04-16,17.20
2025-04-15,17.45
2025-04-14,16.95
2025-04-11,16.85
2025-04-10,16.75
2025-04-09,15.25
2025-04-08,16.10
2025-04-07,17.10
2025-04-02,19.00
2025-04-01,19.05
2025-03-31,18.95
2025-03-28,19.20
2025-03-27,19.40
2025-03-26,19.50
2025-03-25,19.45
2025-03-24,19.45
2025-03-21,19.45
2025-03-20,19.50
2025-03-19,19.55
2025-03-18,19.60
2025-03-17,19.60
2025-03-14,19.70
2025-03-13,19.40
2025-03-12,19.50
2025-03-11,19.45
2025-03-10,19.45
2025-03-07,19.50
2025-03-06,19.55
2025-03-05,19.60
2025-03-04,19.60
2025-03-03,19.65
