日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/13,"496,022","5,588,006",11.75,10.90,11.27,201
114/08/12,"626,915","6,768,186",11.10,10.55,10.80,237
114/08/11,"317,858","3,378,313",10.75,10.50,10.63,135
114/08/08,"427,961","4,449,875",10.95,10.15,10.40,147
114/08/07,"186,607","1,913,752",10.35,10.15,10.26,67
114/08/06,"232,222","2,359,869",10.40,9.96,10.16,92
114/08/05,"192,281","1,961,202",10.35,9.93,10.20,69
114/08/04,"205,038","2,109,829",10.50,10.05,10.29,61
114/08/01,"117,355","1,209,867",10.50,10.05,10.31,54
114/07/31,"242,128","2,513,947",10.55,10.25,10.38,85
114/07/30,"256,997","2,709,248",10.70,10.45,10.54,90
114/07/29,"80,094","849,590",10.75,10.50,10.61,36
114/07/28,"222,135","2,370,699",10.80,10.55,10.67,80
114/07/25,"111,310","1,202,597",10.95,10.70,10.80,36
114/07/24,"135,991","1,479,776",11.05,10.85,10.88,48
114/07/23,"69,013","758,443",11.05,10.95,10.99,26
114/07/22,"56,090","614,885",11.15,10.75,10.96,33
114/07/21,"88,467","994,765",11.60,11.00,11.24,31
114/07/18,"52,004","593,646",11.65,11.15,11.42,23
114/07/17,"177,098","1,983,546",11.75,10.85,11.20,74
114/07/16,"91,452","1,066,325",12.05,11.35,11.66,39
114/07/15,"315,401","3,685,374",12.60,10.95,11.68,132
114/07/14,"113,838","1,259,276",11.20,10.80,11.06,63
114/07/11,"143,400","1,512,370",10.85,10.30,10.55,44
114/07/10,"412,330","4,357,705",11.05,10.35,10.57,114
114/07/09,"73,013","800,291",11.15,10.85,10.96,27
114/07/08,"97,552","1,072,695",11.15,10.85,11.00,46
114/07/07,"58,101","638,511",11.20,10.90,10.99,17
114/07/04,"109,002","1,206,022",11.15,11.00,11.06,35
114/07/03,"142,851","1,585,279",11.25,11.00,11.10,44
114/07/02,"104,028","1,164,619",11.40,11.05,11.20,45
114/07/01,"136,228","1,523,501",11.50,11.05,11.18,57
114/06/30,"142,534","1,609,532",11.55,11.20,11.29,54
114/06/27,"287,736","3,296,904",11.60,11.35,11.46,86
114/06/26,"171,288","1,989,359",11.95,11.50,11.61,58
114/06/25,"331,047","3,890,270",12.05,11.65,11.75,91
114/06/24,"398,004","4,743,394",12.10,11.75,11.92,123
114/06/23,"130,701","1,568,682",12.35,11.90,12.00,52
114/06/20,"101,103","1,232,607",12.65,12.10,12.19,36
114/06/19,"224,928","2,791,849",12.65,12.20,12.41,64
114/06/18,"131,411","1,670,080",13.10,12.45,12.71,38
114/06/17,"836,577","10,800,527",13.20,12.45,12.91,117
114/06/16,"475,015","6,144,848",13.30,12.80,12.94,40
114/06/13,"231,771","2,986,601",13.05,12.80,12.89,22
114/06/12,"28,002","363,726",13.25,12.80,12.99,13
114/06/11,"257,527","3,350,912",13.55,12.90,13.01,94
114/06/10,"243,341","3,197,595",13.85,13.00,13.14,104
114/06/09,"34,551","470,396",13.85,13.30,13.61,22
114/06/06,"29,251","406,251",14.15,13.80,13.89,14
114/06/05,"61,210","850,219",14.15,13.80,13.89,24
114/06/04,"92,505","1,299,555",14.25,13.80,14.05,37
114/06/03,"4,323","60,869",14.20,13.65,14.08,7
114/06/02,"222,154","3,043,723",14.40,13.30,13.70,47
114/05/29,"4,004","56,256",14.40,13.85,14.05,5
114/05/28,"128,254","1,818,657",14.45,14.00,14.18,61
114/05/27,"164,435","2,333,154",14.55,13.95,14.19,78
114/05/26,"66,102","918,613",14.15,13.75,13.90,37
114/05/23,"47,977","667,589",14.10,13.75,13.91,22
114/05/22,"26,002","360,478",14.05,13.80,13.86,14
114/05/21,"17,904","245,286",14.05,13.60,13.70,17
114/05/20,"2,002","27,328",14.05,13.65,13.65,4
114/05/19,"13,001","179,213",13.95,13.70,13.78,13
114/05/16,"27,401","381,043",14.05,13.70,13.91,12
114/05/15,"27,001","375,764",14.10,13.85,13.92,11
114/05/14,"33,111","457,072",14.05,13.65,13.80,23
114/05/13,"81,002","1,133,678",14.10,13.85,14.00,25
114/05/12,"39,302","548,478",14.05,13.90,13.96,19
114/05/09,"36,788","512,164",14.05,13.85,13.92,15
114/05/08,"34,503","480,867",14.35,13.90,13.94,16
114/05/07,"86,004","1,208,456",14.45,13.80,14.05,28
114/05/06,"466,979","6,512,319",14.30,13.50,13.95,138
114/05/05,"90,283","1,310,048",14.80,14.20,14.51,41
114/05/02,"136,502","2,020,919",15.05,14.65,14.81,48
114/04/30,"41,121","614,823",15.45,14.75,14.95,17
114/04/29,"37,649","566,339",15.45,14.95,15.04,20
114/04/28,"213,205","3,189,206",15.45,14.20,14.96,94
114/04/25,"12,103","168,732",14.35,13.90,13.94,9
114/04/24,"27,003","373,491",13.90,13.55,13.83,16
114/04/23,"13,022","179,803",13.90,13.65,13.81,12
114/04/22,"57,203","764,441",13.85,13.10,13.36,26
114/04/21,"12,069","158,974",13.50,13.15,13.17,8
