股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
1260,富味鄉,2012/11/26,興櫃,食品工業,https://www.cnyes.com/twstock/1260,-,-,(-),CMoney
1269,乾杯,2016/08/29,興櫃,觀光餐旅,https://www.cnyes.com/twstock/1269,71.90,0.00,+0.00%,鉅亨
1271,晨暉生技,2021/01/18,興櫃,生技醫療業,https://www.cnyes.com/twstock/1271,64.40,+2.97,+4.83%,鉅亨
1293,利統,2021/10/29,興櫃,食品工業,https://www.cnyes.com/twstock/1293,27.65,-0.48,-1.71%,鉅亨
1343,旭東環保,2021/03/25,興櫃,綠能環保,https://www.cnyes.com/twstock/1343,50.90,+0.10,+0.20%,鉅亨
1480,東盟開發,2023/10/27,興櫃,鋼鐵工業,https://www.cnyes.com/twstock/1480,9.35,0.00,+0.00%,鉅亨
1594,日高,2010/10/13,興櫃,電機機械,https://www.cnyes.com/twstock/1594,-,-,(-),CMoney
1623,大東電,2024/05/28,興櫃,電器電纜,https://www.cnyes.com/twstock/1623,215.00,-0.17,-0.08%,鉅亨
1780,立弘,2010/04/29,興櫃,生技醫療業,https://www.cnyes.com/twstock/1780,17.85,-0.05,-0.28%,鉅亨
2071,震南鐵,2019/09/23,興櫃,鋼鐵工業,https://www.cnyes.com/twstock/2071,21.75,+0.52,+2.45%,鉅亨
2072,世紀風電,2020/11/30,興櫃,鋼鐵工業,https://www.cnyes.com/twstock/2072,305.00,+0.33,+0.11%,鉅亨
2237,華德動能,2014/12/23,興櫃,電機機械,https://www.cnyes.com/twstock/2237,21.40,-0.17,-0.79%,鉅亨
2245,詠勝昌,2016/12/15,興櫃,電機機械,https://www.cnyes.com/twstock/2245,62.00,+1.70,+2.82%,鉅亨
2249,湧盛,2019/12/19,興櫃,電機機械,https://www.cnyes.com/twstock/2249,93.50,+0.84,+0.91%,鉅亨
2252,為昇科,2021/08/23,興櫃,其他電子業,https://www.cnyes.com/twstock/2252,19.00,-1.00,-5.00%,鉅亨
2255,凱銳光電,2021/11/30,興櫃,其他電子業,https://www.cnyes.com/twstock/2255,27.80,-0.10,-0.36%,鉅亨
2256,歐特明,2021/12/08,興櫃,其他電子業,https://www.cnyes.com/twstock/2256,24.00,+0.66,+2.83%,鉅亨
2644,中信造船,2022/10/11,興櫃,航運業,https://www.cnyes.com/twstock/2644,79.50,+0.96,+1.22%,鉅亨
2733,維格餅家,2012/12/24,興櫃,觀光餐旅,https://www.cnyes.com/twstock/2733,16.10,+0.71,+4.61%,鉅亨
2741,老四川,2014/10/28,興櫃,觀光餐旅,https://www.cnyes.com/twstock/2741,42.40,+0.03,+0.07%,鉅亨
2750,桃禧,2018/08/08,興櫃,觀光餐旅,https://www.cnyes.com/twstock/2750,14.05,+0.55,+4.07%,鉅亨
2758,路易莎咖啡,2021/09/17,興櫃,觀光餐旅,https://www.cnyes.com/twstock/2758,100.50,+0.75,+0.75%,鉅亨
2760,巨宇翔,2022/12/26,興櫃,觀光餐旅,https://www.cnyes.com/twstock/2760,62.80,+2.69,+4.48%,鉅亨
2761,橘焱胡同,2022/04/20,興櫃,觀光餐旅,https://www.cnyes.com/twstock/2761,24.00,+0.51,+2.17%,鉅亨
2938,床的世界,2016/10/05,興櫃,居家生活,https://www.cnyes.com/twstock/2938,35.15,+0.81,+2.36%,鉅亨
2940,歐都納,2025/05/05,興櫃,運動休閒,https://www.cnyes.com/twstock/2940,26.15,-0.20,-0.76%,鉅亨
2942,京站,2018/03/31,興櫃,居家生活,https://www.cnyes.com/twstock/2942,30.80,+0.10,+0.33%,鉅亨
3097,拍檔,2002/08/02,興櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/3097,25.20,+0.19,+0.76%,鉅亨
3117,年程,2012/08/31,興櫃,電子零組件業,https://www.cnyes.com/twstock/3117,3.71,-0.11,-2.88%,鉅亨
3135,凌航,2021/11/22,興櫃,半導體業,https://www.cnyes.com/twstock/3135,34.60,-0.43,-1.23%,鉅亨
3158,嘉實,2018/03/16,興櫃,資訊服務業,https://www.cnyes.com/twstock/3158,125.00,-0.41,-0.33%,鉅亨
3184,微邦,2013/04/18,興櫃,生技醫療業,https://www.cnyes.com/twstock/3184,10.50,+0.02,+0.19%,鉅亨
3485,敘豐,2012/09/28,興櫃,光電業,https://www.cnyes.com/twstock/3485,63.00,-0.54,-0.85%,鉅亨
3585,聯致,2007/10/25,興櫃,電子零組件業,https://www.cnyes.com/twstock/3585,5.73,+0.05,+0.88%,鉅亨
3595,山太士,2007/11/16,興櫃,光電業,https://www.cnyes.com/twstock/3595,174.00,-9.09,-4.96%,鉅亨
3603,建祥國際,2008/01/09,興櫃,電子通路業,https://www.cnyes.com/twstock/3603,6.54,+0.07,+1.08%,鉅亨
3616,泓辰,2024/11/06,興櫃,電機機械,https://www.cnyes.com/twstock/3616,39.25,-0.65,-1.63%,鉅亨
3633,云光,2008/08/06,興櫃,光電業,https://www.cnyes.com/twstock/3633,80.70,+0.25,+0.31%,鉅亨
3659,百辰,2009/10/19,興櫃,光電業,https://www.cnyes.com/twstock/3659,-,-,(-),CMoney
3678,聯享,2009/10/22,興櫃,光電業,https://www.cnyes.com/twstock/3678,44.90,0.00,+0.00%,鉅亨
4115,善德生技,2022/08/31,興櫃,生技醫療業,https://www.cnyes.com/twstock/4115,9.30,+0.02,+0.22%,鉅亨
4117,普生,2002/07/04,興櫃,生技醫療業,https://www.cnyes.com/twstock/4117,16.85,+0.46,+2.81%,鉅亨
4132,國鼎,2010/05/26,興櫃,生技醫療業,https://www.cnyes.com/twstock/4132,12.45,-0.09,-0.72%,鉅亨
4150,優你康,2010/09/15,興櫃,生技醫療業,https://www.cnyes.com/twstock/4150,10.20,+0.03,+0.29%,鉅亨
4166,友霖,2012/06/15,興櫃,生技醫療業,https://www.cnyes.com/twstock/4166,35.20,-0.43,-1.21%,鉅亨
4169,泰宗,2012/05/07,興櫃,生技醫療業,https://www.cnyes.com/twstock/4169,68.20,-2.60,-3.67%,鉅亨
4170,鑫品生醫,2023/12/28,興櫃,生技醫療業,https://www.cnyes.com/twstock/4170,12.05,+0.03,+0.25%,鉅亨
4172,因華,2012/09/13,興櫃,生技醫療業,https://www.cnyes.com/twstock/4172,16.95,-0.01,-0.06%,鉅亨
4178,永笙-KY,2024/12/05,興櫃,生技醫療業,https://www.cnyes.com/twstock/4178,24.60,+0.29,+1.19%,鉅亨
4186,尖端醫,2012/11/27,興櫃,生技醫療業,https://www.cnyes.com/twstock/4186,10.80,-0.08,-0.74%,鉅亨
4194,禾生技,2013/12/13,興櫃,生技醫療業,https://www.cnyes.com/twstock/4194,8.93,+0.68,+8.24%,鉅亨
4195,基米,2013/12/16,興櫃,生技醫療業,https://www.cnyes.com/twstock/4195,18.55,+0.14,+0.76%,鉅亨
4197,暐世,2013/10/24,興櫃,生技醫療業,https://www.cnyes.com/twstock/4197,10.35,+0.25,+2.48%,鉅亨
4431,敏成健康,2011/08/30,興櫃,其他業,https://www.cnyes.com/twstock/4431,19.60,+2.13,+12.19%,鉅亨
4441,振大環球,2022/01/26,興櫃,紡織纖維,https://www.cnyes.com/twstock/4441,265.50,+0.85,+0.32%,鉅亨
4537,旭東,2012/05/03,興櫃,光電業,https://www.cnyes.com/twstock/4537,32.20,-1.84,-5.41%,鉅亨
4544,春日,2012/12/24,興櫃,電機機械,https://www.cnyes.com/twstock/4544,17.75,-0.05,-0.28%,鉅亨
4546,長亨,2013/07/30,興櫃,電機機械,https://www.cnyes.com/twstock/4546,90.40,+1.90,+2.15%,鉅亨
4553,盛復,2014/09/16,興櫃,電機機械,https://www.cnyes.com/twstock/4553,18.50,-0.10,-0.54%,鉅亨
4559,久裕興,2014/12/08,興櫃,運動休閒,https://www.cnyes.com/twstock/4559,7.71,+0.30,+4.05%,鉅亨
4565,宏偉,2016/10/05,興櫃,電機機械,https://www.cnyes.com/twstock/4565,116.00,-0.07,-0.06%,鉅亨
4570,傑生,2024/03/14,興櫃,電機機械,https://www.cnyes.com/twstock/4570,74.80,+0.95,+1.29%,鉅亨
4573,高明鐵,2018/07/26,興櫃,電機機械,https://www.cnyes.com/twstock/4573,94.30,+4.25,+4.72%,鉅亨
4575,銓寶,2018/11/19,興櫃,電機機械,https://www.cnyes.com/twstock/4575,22.00,+0.60,+2.80%,鉅亨
4582,聚恆,2019/09/30,興櫃,綠能環保,https://www.cnyes.com/twstock/4582,18.20,+0.18,+1.00%,鉅亨
4585,達明,2024/09/26,興櫃,其他電子業,https://www.cnyes.com/twstock/4585,394.50,+1.89,+0.48%,鉅亨
4587,寶元數控,2022/07/27,興櫃,電機機械,https://www.cnyes.com/twstock/4587,22.00,-0.15,-0.68%,鉅亨
4589,碩陽電機,2023/04/27,興櫃,電機機械,https://www.cnyes.com/twstock/4589,41.55,+0.17,+0.41%,鉅亨
4590,富田,2024/11/11,興櫃,電機機械,https://www.cnyes.com/twstock/4590,93.30,-1.53,-1.61%,鉅亨
4724,宣捷幹細胞,2023/06/16,興櫃,生技醫療業,https://www.cnyes.com/twstock/4724,16.95,+0.86,+5.34%,鉅亨
4732,彥臣,2007/12/25,興櫃,生技醫療業,https://www.cnyes.com/twstock/4732,22.15,+0.04,+0.18%,鉅亨
4738,大同精化,2009/09/09,興櫃,化學工業,https://www.cnyes.com/twstock/4738,5.14,+0.11,+2.19%,鉅亨
4765,磐采,2016/12/05,興櫃,化學工業,https://www.cnyes.com/twstock/4765,-,-,(-),CMoney
4773,高福,2022/10/25,興櫃,化學工業,https://www.cnyes.com/twstock/4773,77.70,0.00,+0.00%,鉅亨
4925,智微,2010/10/28,興櫃,半導體業,https://www.cnyes.com/twstock/4925,35.20,-3.57,-9.21%,鉅亨
4980,佐臻,2010/11/16,興櫃,電子零組件業,https://www.cnyes.com/twstock/4980,24.90,+0.82,+3.41%,鉅亨
5240,建騰,2011/06/22,興櫃,光電業,https://www.cnyes.com/twstock/5240,15.25,+0.65,+4.45%,鉅亨
5246,勵威,2022/11/03,興櫃,半導體業,https://www.cnyes.com/twstock/5246,18.50,+0.14,+0.76%,鉅亨
5248,景傳,2011/09/06,興櫃,光電業,https://www.cnyes.com/twstock/5248,22.50,+1.92,+9.33%,鉅亨
5254,欣訊科技,2019/01/08,興櫃,電子零組件業,https://www.cnyes.com/twstock/5254,32.25,0.00,+0.00%,鉅亨
5262,立達,2013/10/21,興櫃,半導體業,https://www.cnyes.com/twstock/5262,28.15,-0.14,-0.49%,鉅亨
5267,龍翩,2012/02/24,興櫃,光電業,https://www.cnyes.com/twstock/5267,30.80,-0.85,-2.69%,鉅亨
5271,紘通,2012/03/06,興櫃,電子零組件業,https://www.cnyes.com/twstock/5271,12.40,+0.13,+1.06%,鉅亨
5297,廣化,2017/02/21,興櫃,半導體業,https://www.cnyes.com/twstock/5297,34.15,+2.44,+7.69%,鉅亨
5547,久舜,2020/01/10,興櫃,建材營造業,https://www.cnyes.com/twstock/5547,24.00,+0.51,+2.17%,鉅亨
5859,遠壽,2015/04/16,興櫃,金融保險業,https://www.cnyes.com/twstock/5859,14.35,-0.03,-0.21%,鉅亨
5863,瑞興銀,2007/12/03,興櫃,金融保險業,https://www.cnyes.com/twstock/5863,12.50,+0.07,+0.56%,鉅亨
6027,德信,2015/11/02,興櫃,金融保險業,https://www.cnyes.com/twstock/6027,8.22,-0.03,-0.36%,鉅亨
6028,公勝保經,2019/03/06,興櫃,金融保險業,https://www.cnyes.com/twstock/6028,146.50,-0.98,-0.66%,鉅亨
6035,悠遊卡,2023/01/03,興櫃,金融保險業,https://www.cnyes.com/twstock/6035,68.00,+0.01,+0.01%,鉅亨
6272,驊陞,2002/12/24,興櫃,電子零組件業,https://www.cnyes.com/twstock/6272,47.85,-0.29,-0.60%,鉅亨
6403,群登,2012/10/26,興櫃,通信網路業,https://www.cnyes.com/twstock/6403,6.07,+0.06,+1.00%,鉅亨
6407,相互,2013/03/29,興櫃,電子零組件業,https://www.cnyes.com/twstock/6407,17.20,+0.21,+1.24%,鉅亨
