股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
1101,台泥,1962/02/09,上市,水泥工業,https://www.cnyes.com/twstock/1101,24.20,0.00,+0.00%,鉅亨
1102,亞泥,1962/06/08,上市,水泥工業,https://www.cnyes.com/twstock/1102,40.55,+0.25,+0.62%,鉅亨
1103,嘉泥,1969/11/14,上市,水泥工業,https://www.cnyes.com/twstock/1103,14.05,0.00,+0.00%,鉅亨
1104,環泥,1971/02/01,上市,水泥工業,https://www.cnyes.com/twstock/1104,27.30,+0.10,+0.37%,鉅亨
1108,幸福,1990/06/06,上市,水泥工業,https://www.cnyes.com/twstock/1108,14.15,+0.10,+0.71%,鉅亨
1109,信大,1991/12/05,上市,水泥工業,https://www.cnyes.com/twstock/1109,15.95,0.00,+0.00%,鉅亨
1110,東泥,1994/10/22,上市,水泥工業,https://www.cnyes.com/twstock/1110,18.00,0.00,+0.00%,鉅亨
1201,味全,1962/02/09,上市,食品工業,https://www.cnyes.com/twstock/1201,15.60,+0.05,+0.32%,鉅亨
1203,味王,1964/08/24,上市,食品工業,https://www.cnyes.com/twstock/1203,40.50,0.00,+0.00%,鉅亨
1210,大成,1978/05/20,上市,食品工業,https://www.cnyes.com/twstock/1210,62.30,+0.40,+0.65%,鉅亨
1213,大飲,1981/04/10,上市,食品工業,https://www.cnyes.com/twstock/1213,13.00,-0.05,-0.38%,鉅亨
1215,卜蜂,1987/07/27,上市,食品工業,https://www.cnyes.com/twstock/1215,118.50,-1.00,-0.84%,鉅亨
1216,統一,1987/12/28,上市,食品工業,https://www.cnyes.com/twstock/1216,84.90,-0.50,-0.59%,鉅亨
1217,愛之味,1989/10/28,上市,食品工業,https://www.cnyes.com/twstock/1217,10.70,0.00,+0.00%,鉅亨
1218,泰山,1989/11/11,上市,食品工業,https://www.cnyes.com/twstock/1218,18.90,+0.05,+0.27%,鉅亨
1219,福壽,1990/12/01,上市,食品工業,https://www.cnyes.com/twstock/1219,14.55,0.00,+0.00%,鉅亨
1220,台榮,1991/11/20,上市,食品工業,https://www.cnyes.com/twstock/1220,13.40,+0.10,+0.75%,鉅亨
1225,福懋油,1993/09/27,上市,食品工業,https://www.cnyes.com/twstock/1225,30.35,+0.40,+1.34%,鉅亨
1227,佳格,1994/04/09,上市,食品工業,https://www.cnyes.com/twstock/1227,31.90,-0.10,-0.31%,鉅亨
1229,聯華,1976/07/19,上市,食品工業,https://www.cnyes.com/twstock/1229,44.60,-0.20,-0.45%,鉅亨
1231,聯華食,1995/11/02,上市,食品工業,https://www.cnyes.com/twstock/1231,140.00,-0.50,-0.36%,鉅亨
1232,大統益,1996/02/09,上市,食品工業,https://www.cnyes.com/twstock/1232,151.50,-0.50,-0.33%,鉅亨
1233,天仁,1999/01/20,上市,食品工業,https://www.cnyes.com/twstock/1233,30.60,0.00,+0.00%,鉅亨
1234,黑松,1999/03/12,上市,食品工業,https://www.cnyes.com/twstock/1234,39.90,0.00,+0.00%,鉅亨
1235,興泰,2000/09/11,上市,食品工業,https://www.cnyes.com/twstock/1235,63.90,+0.60,+0.95%,鉅亨
1236,宏亞,2001/09/17,上市,食品工業,https://www.cnyes.com/twstock/1236,21.00,0.00,+0.00%,鉅亨
1256,鮮活果汁-KY,2016/03/17,上市,食品工業,https://www.cnyes.com/twstock/1256,119.50,+1.50,+1.27%,鉅亨
1301,台塑,1964/07/27,上市,塑膠工業,https://www.cnyes.com/twstock/1301,39.25,-0.05,-0.13%,鉅亨
1303,南亞,1967/11/05,上市,塑膠工業,https://www.cnyes.com/twstock/1303,33.65,+1.25,+3.86%,鉅亨
1304,台聚,1972/05/20,上市,塑膠工業,https://www.cnyes.com/twstock/1304,10.50,-0.05,-0.47%,鉅亨
1305,華夏,1973/03/05,上市,塑膠工業,https://www.cnyes.com/twstock/1305,11.40,-0.10,-0.87%,鉅亨
1307,三芳,1985/11/23,上市,塑膠工業,https://www.cnyes.com/twstock/1307,34.25,-0.10,-0.29%,鉅亨
1308,亞聚,1986/06/20,上市,塑膠工業,https://www.cnyes.com/twstock/1308,11.95,-0.15,-1.24%,鉅亨
1309,台達化,1986/06/27,上市,塑膠工業,https://www.cnyes.com/twstock/1309,11.30,-0.10,-0.88%,鉅亨
1310,台苯,1987/08/06,上市,塑膠工業,https://www.cnyes.com/twstock/1310,9.58,+0.30,+3.23%,鉅亨
1312,國喬,1988/12/21,上市,塑膠工業,https://www.cnyes.com/twstock/1312,10.15,+0.05,+0.50%,鉅亨
1313,聯成,1989/03/27,上市,塑膠工業,https://www.cnyes.com/twstock/1313,9.90,-0.05,-0.50%,鉅亨
1314,中石化,1991/07/12,上市,塑膠工業,https://www.cnyes.com/twstock/1314,7.45,-0.05,-0.67%,鉅亨
1315,達新,1992/05/09,上市,塑膠工業,https://www.cnyes.com/twstock/1315,65.90,-0.20,-0.30%,鉅亨
1316,上曜,1992/10/15,上市,建材營造業,https://www.cnyes.com/twstock/1316,13.95,-0.05,-0.36%,鉅亨
1319,東陽,1994/12/12,上市,汽車工業,https://www.cnyes.com/twstock/1319,105.50,-3.00,-2.76%,鉅亨
1321,大洋,1999/01/26,上市,塑膠工業,https://www.cnyes.com/twstock/1321,35.95,+0.05,+0.14%,鉅亨
1323,永裕,2000/09/11,上市,塑膠工業,https://www.cnyes.com/twstock/1323,19.70,-0.20,-1.01%,鉅亨
1324,地球,2000/09/11,上市,塑膠工業,https://www.cnyes.com/twstock/1324,11.25,+0.10,+0.90%,鉅亨
1325,恆大,2000/09/11,上市,塑膠工業,https://www.cnyes.com/twstock/1325,29.10,+0.15,+0.52%,鉅亨
1326,台化,1984/12/20,上市,塑膠工業,https://www.cnyes.com/twstock/1326,26.65,-0.05,-0.19%,鉅亨
1337,再生-KY,2011/07/01,上市,塑膠工業,https://www.cnyes.com/twstock/1337,5.60,-0.04,-0.71%,鉅亨
1338,廣華-KY,2012/12/19,上市,汽車工業,https://www.cnyes.com/twstock/1338,22.70,+0.20,+0.89%,鉅亨
1339,昭輝,2012/04/24,上市,汽車工業,https://www.cnyes.com/twstock/1339,50.00,0.00,+0.00%,鉅亨
1340,勝悅-KY,2013/12/06,上市,塑膠工業,https://www.cnyes.com/twstock/1340,6.46,-0.04,-0.62%,鉅亨
1341,富林-KY,2018/12/24,上市,塑膠工業,https://www.cnyes.com/twstock/1341,66.40,+1.10,+1.68%,鉅亨
1342,八貫,2020/11/24,上市,其他業,https://www.cnyes.com/twstock/1342,84.20,-2.50,-2.88%,鉅亨
1402,遠東新,1967/04/14,上市,紡織纖維,https://www.cnyes.com/twstock/1402,29.05,+0.05,+0.17%,鉅亨
1409,新纖,1973/08/31,上市,紡織纖維,https://www.cnyes.com/twstock/1409,12.65,0.00,+0.00%,鉅亨
1410,南染,1973/10/18,上市,紡織纖維,https://www.cnyes.com/twstock/1410,35.65,+0.15,+0.42%,鉅亨
1413,宏洲,1975/12/23,上市,紡織纖維,https://www.cnyes.com/twstock/1413,11.60,-0.15,-1.28%,鉅亨
1414,東和,1976/02/02,上市,紡織纖維,https://www.cnyes.com/twstock/1414,18.20,-0.15,-0.82%,鉅亨
1416,廣豐,1976/04/20,上市,其他業,https://www.cnyes.com/twstock/1416,11.60,0.00,+0.00%,鉅亨
1417,嘉裕,1976/12/28,上市,紡織纖維,https://www.cnyes.com/twstock/1417,8.03,-0.01,-0.12%,鉅亨
1418,東華,1977/02/14,上市,紡織纖維,https://www.cnyes.com/twstock/1418,20.30,-0.20,-0.98%,鉅亨
1419,新紡,1977/03/14,上市,紡織纖維,https://www.cnyes.com/twstock/1419,57.00,-2.00,-3.39%,鉅亨
1423,利華,1979/04/02,上市,紡織纖維,https://www.cnyes.com/twstock/1423,37.40,-0.05,-0.13%,鉅亨
1432,大魯閣,1982/07/26,上市,運動休閒,https://www.cnyes.com/twstock/1432,16.65,0.00,+0.00%,鉅亨
1434,福懋,1985/12/24,上市,紡織纖維,https://www.cnyes.com/twstock/1434,16.10,-0.10,-0.62%,鉅亨
1435,中福,1987/12/28,上市,其他業,https://www.cnyes.com/twstock/1435,33.00,0.00,+0.00%,鉅亨
1436,華友聯,1988/04/11,上市,建材營造業,https://www.cnyes.com/twstock/1436,77.80,+0.30,+0.39%,鉅亨
1437,勤益控,1988/11/10,上市,其他業,https://www.cnyes.com/twstock/1437,32.65,-0.05,-0.15%,鉅亨
1438,三地開發,1988/12/15,上市,建材營造業,https://www.cnyes.com/twstock/1438,38.40,-0.30,-0.78%,鉅亨
1439,雋揚,1989/05/22,上市,建材營造業,https://www.cnyes.com/twstock/1439,29.80,-0.05,-0.17%,鉅亨
1440,南紡,1989/10/03,上市,紡織纖維,https://www.cnyes.com/twstock/1440,13.00,-0.10,-0.76%,鉅亨
1441,大東,1989/10/27,上市,紡織纖維,https://www.cnyes.com/twstock/1441,11.90,+0.15,+1.28%,鉅亨
1442,名軒,1989/11/16,上市,建材營造業,https://www.cnyes.com/twstock/1442,72.00,-1.90,-2.57%,鉅亨
1443,立益物流,1990/04/21,上市,其他業,https://www.cnyes.com/twstock/1443,31.10,0.00,+0.00%,鉅亨
1444,力麗,1990/08/08,上市,紡織纖維,https://www.cnyes.com/twstock/1444,6.57,-0.04,-0.61%,鉅亨
1445,大宇,1991/02/05,上市,紡織纖維,https://www.cnyes.com/twstock/1445,13.95,-0.20,-1.41%,鉅亨
1446,宏和,1991/10/15,上市,紡織纖維,https://www.cnyes.com/twstock/1446,20.70,+0.70,+3.50%,鉅亨
1447,力鵬,1992/01/28,上市,紡織纖維,https://www.cnyes.com/twstock/1447,6.02,0.00,+0.00%,鉅亨
1449,佳和,1992/03/12,上市,紡織纖維,https://www.cnyes.com/twstock/1449,13.35,+0.05,+0.38%,鉅亨
1451,年興,1992/12/21,上市,紡織纖維,https://www.cnyes.com/twstock/1451,18.80,+0.15,+0.80%,鉅亨
1452,宏益,1992/12/28,上市,紡織纖維,https://www.cnyes.com/twstock/1452,11.45,0.00,+0.00%,鉅亨
1453,大將,1993/04/19,上市,建材營造業,https://www.cnyes.com/twstock/1453,13.00,+0.10,+0.78%,鉅亨
1454,台富,1993/05/07,上市,紡織纖維,https://www.cnyes.com/twstock/1454,14.40,-0.10,-0.69%,鉅亨
1455,集盛,1993/10/07,上市,紡織纖維,https://www.cnyes.com/twstock/1455,8.89,0.00,+0.00%,鉅亨
1456,怡華,1993/12/09,上市,建材營造業,https://www.cnyes.com/twstock/1456,12.25,+0.05,+0.41%,鉅亨
1457,宜進,1994/10/20,上市,紡織纖維,https://www.cnyes.com/twstock/1457,17.30,-0.05,-0.29%,鉅亨
1459,聯發,1994/10/26,上市,紡織纖維,https://www.cnyes.com/twstock/1459,11.75,0.00,+0.00%,鉅亨
1460,宏遠,1995/04/28,上市,紡織纖維,https://www.cnyes.com/twstock/1460,6.37,+0.02,+0.31%,鉅亨
1463,強盛新,1996/12/05,上市,紡織纖維,https://www.cnyes.com/twstock/1463,20.15,0.00,+0.00%,鉅亨
1464,得力,1997/01/18,上市,紡織纖維,https://www.cnyes.com/twstock/1464,13.20,0.00,+0.00%,鉅亨
1465,偉全,1997/09/08,上市,紡織纖維,https://www.cnyes.com/twstock/1465,13.25,0.00,+0.00%,鉅亨
1466,聚隆,1998/04/04,上市,紡織纖維,https://www.cnyes.com/twstock/1466,15.25,-0.20,-1.29%,鉅亨
1467,南緯,1998/12/21,上市,紡織纖維,https://www.cnyes.com/twstock/1467,8.05,0.00,+0.00%,鉅亨
1468,昶和,1999/01/21,上市,紡織纖維,https://www.cnyes.com/twstock/1468,14.50,-0.10,-0.68%,鉅亨
1470,大統新創,1999/05/21,上市,紡織纖維,https://www.cnyes.com/twstock/1470,20.65,-0.30,-1.43%,鉅亨
1471,首利,2000/03/06,上市,電子零組件業,https://www.cnyes.com/twstock/1471,10.10,+0.10,+1.00%,鉅亨
1472,三洋實業,2000/09/11,上市,建材營造業,https://www.cnyes.com/twstock/1472,94.10,+0.10,+0.11%,鉅亨
1473,台南,2000/09/11,上市,紡織纖維,https://www.cnyes.com/twstock/1473,27.30,-0.20,-0.73%,鉅亨
1474,弘裕,2000/10/31,上市,紡織纖維,https://www.cnyes.com/twstock/1474,12.90,+0.10,+0.78%,鉅亨
