日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,200,"1,598",7.99,7.99,7.99,7.99,+0.06,2
114/08/21,200,"1,586",7.93,7.93,7.93,7.93,+0.13,2
114/08/20,200,"1,560",7.80,7.80,7.80,7.80,-0.03,2
114/08/19,200,"1,566",7.83,7.83,7.83,7.83,-0.02,2
114/08/18,200,"1,570",7.85,7.85,7.85,7.85,+0.09,2
114/08/15,200,"1,552",7.76,7.76,7.76,7.76,-0.05,2
114/08/14,200,"1,562",7.81,7.81,7.81,7.81,+0.08,2
114/08/13,"1,400","10,762",7.68,7.73,7.68,7.73,+0.05,4
114/08/12,200,"1,536",7.68,7.68,7.68,7.68,+0.05,2
114/08/11,200,"1,526",7.63,7.63,7.63,7.63,-0.01,2
114/08/08,200,"1,528",7.64,7.64,7.64,7.64,+0.02,2
114/08/07,200,"1,524",7.62,7.62,7.62,7.62,+0.03,2
114/08/06,200,"1,518",7.59,7.59,7.59,7.59,+0.01,2
114/08/05,200,"1,516",7.58,7.58,7.58,7.58,+0.06,2
114/08/04,200,"1,504",7.52,7.52,7.52,7.52,+0.02,2
114/08/01,200,"1,500",7.50,7.50,7.50,7.50,-0.05,2
114/07/31,200,"1,510",7.55,7.55,7.55,7.55,-0.17,2
114/07/30,200,"1,544",7.72,7.72,7.72,7.72,+0.08,2
114/07/29,200,"1,528",7.64,7.64,7.64,7.64,-0.03,2
114/07/28,200,"1,534",7.67,7.67,7.67,7.67,+0.02,2
114/07/25,200,"1,530",7.65,7.65,7.65,7.65,-0.07,2
114/07/24,200,"1,544",7.72,7.72,7.72,7.72,-0.03,2
114/07/23,200,"1,550",7.75,7.75,7.75,7.75,+0.15,2
114/07/22,200,"1,520",7.60,7.60,7.60,7.60,+0.02,2
114/07/21,200,"1,516",7.58,7.58,7.58,7.58,+0.01,2
114/07/18,200,"1,514",7.57,7.57,7.57,7.57,+0.08,2
114/07/17,200,"1,498",7.49,7.49,7.49,7.49,+0.02,2
114/07/16,200,"1,494",7.47,7.47,7.47,7.47,-0.02,2
114/07/15,200,"1,498",7.49,7.49,7.49,7.49,-0.07,2
114/07/14,200,"1,512",7.56,7.56,7.56,7.56,-0.07,2
