日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"2,831,075","46,013,596",16.26,16.27,16.23,16.25,+0.10,645
114/08/21,"3,043,956","49,087,751",16.06,16.17,16.06,16.15,+0.26,663
114/08/20,"2,443,710","38,764,366",15.90,15.92,15.83,15.89,-0.03,780
114/08/19,"2,182,180","34,795,965",15.96,15.97,15.91,15.92,+0.05,538
114/08/18,"5,025,238","79,604,538",15.83,15.89,15.79,15.87,-0.19,"1,497"
114/08/15,"2,965,882","47,699,723",16.09,16.11,16.05,16.06,+0.15,710
114/08/14,"4,523,760","71,871,047",15.88,15.91,15.87,15.91,-0.07,"1,367"
114/08/13,"7,571,099","120,800,703",15.98,15.99,15.93,15.98,-0.23,"2,164"
114/08/12,"2,803,774","45,328,074",16.13,16.22,16.12,16.21,+0.20,682
114/08/11,"4,767,840","76,253,237",15.97,16.03,15.96,16.01,-0.06,"1,256"
114/08/08,"8,460,009","136,219,306",16.11,16.14,16.07,16.07,-0.26,"2,393"
114/08/07,"5,171,025","84,518,570",16.32,16.38,16.32,16.33,-0.20,"1,405"
114/08/06,"4,573,516","75,453,624",16.50,16.55,16.47,16.53,-0.12,784
114/08/05,"4,226,689","70,494,505",16.69,16.72,16.64,16.65,-0.27,"1,073"
114/08/04,"1,691,932","28,560,208",16.89,16.93,16.82,16.92,-0.52,674
114/08/01,"1,165,109","20,305,677",17.41,17.48,17.39,17.44,-0.10,438
114/07/31,"4,977,422","87,543,738",17.60,17.63,17.53,17.54,+0.17,758
114/07/30,"8,373,532","145,185,104",17.32,17.38,17.30,17.37,+0.68,"1,429"
114/07/29,"2,802,712","46,864,155",16.74,16.75,16.69,16.69,+0.24,679
114/07/28,"3,021,399","49,539,229",16.41,16.45,16.37,16.45,-0.14,482
114/07/25,"1,637,149","27,160,153",16.52,16.63,16.52,16.59,+0.18,460
114/07/24,"517,740","8,488,522",16.41,16.43,16.37,16.41,-0.01,213
114/07/23,"392,169","6,436,676",16.41,16.46,16.39,16.42,+0.05,183
114/07/22,"1,420,286","23,271,772",16.46,16.46,16.33,16.37,-0.21,575
114/07/21,"709,256","11,748,458",16.59,16.59,16.54,16.58,-0.07,196
114/07/18,"1,910,486","31,704,715",16.59,16.67,16.54,16.65,+0.24,517
114/07/17,"719,379","11,811,342",16.44,16.45,16.38,16.41,-0.03,264
114/07/16,"1,304,859","21,456,307",16.44,16.46,16.40,16.44,-0.01,288
114/07/15,"3,210,915","52,702,434",16.45,16.45,16.38,16.45,-0.33,815
114/07/14,"2,682,647","45,004,043",16.79,16.80,16.75,16.78,+0.36,689
114/07/11,"2,685,258","44,119,154",16.39,16.48,16.37,16.42,-0.34,674
114/07/10,"1,181,709","19,779,123",16.69,16.77,16.69,16.76,+0.07,383
114/07/09,"2,728,451","45,525,002",16.68,16.71,16.67,16.69,+0.17,574
114/07/08,"3,674,951","60,615,422",16.49,16.53,16.47,16.52,+0.31,843
114/07/07,"3,893,448","62,850,867",16.08,16.21,16.05,16.21,-0.13,384
114/07/04,"1,389,782","22,678,608",16.35,16.39,16.29,16.34, 0.00,362
114/07/03,"3,353,062","54,909,751",16.41,16.41,16.31,16.34,+0.31,870
114/07/02,"1,321,577","21,186,994",16.01,16.06,16.01,16.03,+0.13,390
114/07/01,"2,775,663","44,176,256",16.02,16.02,15.87,15.90,-0.11,733
114/06/30,"3,455,728","55,112,497",15.88,16.02,15.86,16.01,-0.07,660
114/06/27,"1,015,472","16,314,887",16.04,16.10,16.04,16.08,+0.11,420
114/06/26,"2,958,822","47,310,075",16.00,16.03,15.96,15.97,-0.09,997
114/06/25,"5,763,197","92,337,144",16.03,16.06,15.99,16.06,-0.23,"1,870"
114/06/24,"16,712,336","272,953,402",16.24,16.51,16.24,16.29,-2.11,"4,234"
114/06/23,"15,855,009","294,180,459",18.68,18.68,18.36,18.40,+0.25,"3,654"
114/06/20,"4,484,231","81,288,022",18.18,18.20,18.03,18.15,+0.08,"1,212"
114/06/19,"7,486,800","134,598,525",17.85,18.07,17.85,18.07,+0.20,"1,287"
114/06/18,"12,245,670","219,960,106",17.98,18.08,17.84,17.87,+0.46,"2,192"
114/06/17,"10,472,869","182,513,580",17.37,17.64,17.26,17.41,-0.27,"1,637"
114/06/16,"13,126,691","232,325,358",17.77,17.80,17.59,17.68,+0.06,"2,393"
114/06/13,"44,488,588","791,483,705",17.41,18.29,17.40,17.62,+1.27,"4,833"
114/06/12,"10,892,891","178,440,209",16.46,16.46,16.31,16.35,+0.61,"1,335"
114/06/11,"1,352,812","21,243,124",15.70,15.74,15.67,15.74,-0.10,375
114/06/10,"3,432,640","54,428,159",15.83,15.89,15.83,15.84,+0.19,751
114/06/09,"5,481,676","85,878,905",15.65,15.68,15.65,15.65,+0.34,967
114/06/06,"1,795,988","27,551,687",15.35,15.37,15.31,15.31,+0.09,285
114/06/05,"759,550","11,554,435",15.21,15.24,15.18,15.22,-0.09,263
114/06/04,"3,148,941","48,340,885",15.35,15.38,15.31,15.31,+0.07,455
114/06/03,"2,413,380","36,918,661",15.30,15.34,15.23,15.24,+0.08,449
114/06/02,"1,947,556","29,532,873",15.10,15.23,15.09,15.16,-0.09,387
114/05/29,"6,316,579","96,042,773",15.18,15.26,15.16,15.25,+0.38,"1,185"
114/05/28,"796,328","11,842,397",14.90,14.92,14.85,14.87, 0.00,212
114/05/27,"1,067,603","15,889,939",14.95,14.95,14.85,14.87,-0.11,363
114/05/26,"2,519,079","37,732,382",14.98,15.01,14.93,14.98,+0.17,444
114/05/23,"3,500,891","51,808,155",14.82,14.83,14.76,14.81,-0.19,"1,166"
114/05/22,"2,711,283","40,464,655",14.92,15.00,14.87,15.00,-0.34,776
114/05/21,"5,753,337","88,081,349",15.25,15.37,15.25,15.34,+0.27,"1,151"
114/05/20,"2,371,995","35,800,030",15.08,15.13,15.05,15.07,+0.09,409
114/05/19,"1,890,391","28,390,223",15.04,15.07,14.97,14.98,+0.07,408
114/05/16,"3,543,966","52,776,791",14.87,15.03,14.84,14.91,+0.03,467
114/05/15,"4,592,508","68,613,283",15.03,15.03,14.82,14.88,-0.40,"1,313"
114/05/14,"10,674,810","163,370,731",15.32,15.33,15.25,15.28,+0.32,"1,544"
114/05/13,"5,997,232","89,613,619",14.93,14.97,14.90,14.96,+0.13,"1,029"
114/05/12,"6,172,746","91,235,894",14.72,14.85,14.72,14.83,+0.28,"1,344"
114/05/09,"6,917,737","100,463,924",14.48,14.57,14.48,14.55,+0.36,"1,279"
114/05/08,"3,867,270","54,732,931",14.13,14.21,14.11,14.19,-0.24,"1,088"
114/05/07,"5,778,857","83,185,027",14.37,14.44,14.36,14.43,+0.40,"1,371"
114/05/06,"7,359,677","102,734,423",13.89,14.04,13.87,14.03,+0.43,"1,305"
114/05/05,"17,907,563","243,760,642",13.73,13.73,13.55,13.60,-0.87,"4,673"
114/05/02,"8,706,148","126,220,826",14.50,14.55,14.46,14.47,-0.04,"1,889"
114/04/30,"13,202,527","193,075,087",14.70,14.72,14.51,14.51,-0.44,"3,501"
114/04/29,"7,014,842","105,429,989",15.11,15.12,14.95,14.95,-0.48,"2,303"
114/04/28,"922,928","14,207,706",15.43,15.43,15.32,15.43,+0.03,293
114/04/25,"1,910,269","29,348,398",15.34,15.43,15.31,15.40,+0.19,426
114/04/24,"2,964,253","45,067,971",15.22,15.25,15.17,15.21,-0.43,954
114/04/23,"2,977,676","46,526,370",15.64,15.65,15.57,15.64,+0.33,599
114/04/22,"1,852,820","28,404,679",15.33,15.39,15.28,15.31,-0.01,392
114/04/21,"2,959,352","45,355,739",15.38,15.39,15.29,15.32,-0.08,442
114/04/18,"3,580,075","55,362,050",15.48,15.53,15.34,15.40,+0.13,727
114/04/17,"6,896,505","104,671,231",15.12,15.28,15.10,15.27,+0.53,"1,248"
114/04/16,"2,386,220","35,291,169",14.88,14.88,14.73,14.74,-0.20,683
114/04/15,"2,409,791","35,929,603",14.90,14.96,14.88,14.94,+0.13,698
114/04/14,"4,079,189","60,383,454",14.80,14.84,14.78,14.81,+0.18,845
114/04/11,"6,371,022","92,412,138",14.51,14.63,14.44,14.63,-0.32,"1,448"
114/04/10,"12,328,373","184,200,931",14.94,15.03,14.88,14.95,+1.09,"2,291"
114/04/09,"13,385,979","186,023,159",13.93,14.03,13.81,13.86,-1.13,"3,009"
114/04/08,"7,753,387","115,975,660",14.88,15.03,14.88,14.99,+0.22,"1,672"
114/04/07,"26,356,760","390,490,276",14.99,15.37,14.66,14.77,-2.53,"3,634"
114/04/02,"2,213,492","38,323,957",17.31,17.34,17.29,17.30,-0.11,399
114/04/01,"8,239,890","143,288,306",17.37,17.44,17.35,17.41,+0.63,"1,684"
114/03/31,"4,244,043","71,244,241",16.79,16.84,16.76,16.78,-0.17,580
114/03/28,"4,951,214","84,096,320",16.99,17.02,16.94,16.95,+0.01,834
114/03/27,"3,732,416","63,272,896",16.96,16.97,16.94,16.94,+0.14,842
114/03/26,"3,283,449","55,233,784",16.82,16.85,16.79,16.80,+0.01,508
114/03/25,"4,547,427","76,322,898",16.78,16.80,16.76,16.79,+0.24,"1,066"
114/03/24,"1,204,289","19,925,622",16.58,16.62,16.51,16.55,-0.05,299
114/03/21,"8,482,734","141,035,148",16.64,16.66,16.58,16.60,+0.24,"1,212"
114/03/20,"1,682,910","27,510,926",16.31,16.37,16.31,16.36,+0.17,452
114/03/19,"2,229,103","36,083,260",16.22,16.22,16.16,16.19,-0.24,767
114/03/18,"1,412,225","23,178,866",16.37,16.44,16.35,16.43,+0.04,376
114/03/17,"3,523,722","57,968,103",16.53,16.54,16.36,16.39,+0.15,755
114/03/14,"1,652,902","26,817,777",16.21,16.27,16.17,16.24,-0.12,499
114/03/13,"3,400,325","55,653,403",16.36,16.40,16.34,16.36,+0.20,998
114/03/12,"3,058,467","49,393,129",16.10,16.18,16.10,16.16,+0.18,594
114/03/11,"5,328,686","84,768,150",15.87,16.01,15.83,15.98,-0.16,"1,836"
114/03/10,"2,765,476","44,692,271",16.17,16.20,16.13,16.14,+0.05,873
114/03/07,"5,534,691","88,981,181",16.07,16.12,16.02,16.09,-0.05,"1,521"
114/03/06,"11,799,564","190,472,372",16.10,16.18,16.10,16.14,-0.25,"2,847"
114/03/05,"6,276,586","102,854,580",16.44,16.44,16.34,16.39,-0.08,"1,928"
114/03/04,"7,703,203","126,872,972",16.49,16.50,16.44,16.47,-0.46,"2,311"
114/03/03,"5,211,945","88,612,662",16.99,17.04,16.92,16.93,+0.29,"1,178"
