日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"3,496,510","110,345,068",31.12,31.77,31.06,31.77,+0.65,744
114/08/21,"4,566,504","141,016,228",30.70,31.14,30.53,31.12,+1.12,818
114/08/20,"2,889,513","85,957,622",29.64,30.11,29.29,30.00,+0.09,469
114/08/19,"1,428,146","42,872,049",30.06,30.21,29.87,29.91, 0.00,320
114/08/18,"2,584,825","77,360,904",29.55,30.21,29.38,29.91,+0.25,532
114/08/15,"2,709,605","79,699,130",29.49,29.75,29.15,29.66,+0.05,454
114/08/14,"3,984,837","118,819,423",29.37,30.17,29.29,29.61,+0.46,827
114/08/13,"2,271,201","66,227,405",29.11,29.35,28.91,29.15,+0.14,544
114/08/12,"4,084,462","118,190,044",28.22,29.14,28.16,29.01,+0.64,738
114/08/11,"878,866","24,889,783",28.31,28.47,28.13,28.37,+0.06,206
114/08/08,"1,093,392","31,011,351",28.25,28.50,28.20,28.31,-0.12,193
114/08/07,"1,651,249","46,780,509",28.16,28.54,28.10,28.43,+0.30,305
114/08/06,"1,325,162","37,303,078",28.15,28.33,27.96,28.13, 0.00,228
114/08/05,"1,780,988","49,681,356",27.71,28.14,27.63,28.13,+0.67,404
114/08/04,"2,413,347","66,057,085",27.28,27.64,27.07,27.46,+0.11,328
114/08/01,"3,329,736","91,878,181",27.70,27.93,27.35,27.35,-0.51,575
114/07/31,"4,158,689","116,772,671",28.61,28.61,27.75,27.86,-1.01,786
114/07/30,"3,129,400","90,044,488",28.42,29.04,28.18,28.87,+0.45,522
114/07/29,"1,671,469","47,353,288",28.29,28.57,28.16,28.42,+0.08,260
114/07/28,"1,677,571","47,476,056",28.20,28.53,27.98,28.34,+0.08,343
114/07/25,"2,167,125","61,347,472",28.47,28.57,28.13,28.26,-0.37,449
114/07/24,"2,342,552","66,825,792",28.58,28.72,28.38,28.63,-0.32,533
114/07/23,"5,298,354","152,333,944",28.42,29.04,28.42,28.95,+0.63,982
114/07/22,"3,188,140","89,122,828",27.94,28.32,27.56,28.32,+0.44,614
114/07/21,"1,456,112","40,524,099",27.80,27.95,27.74,27.88,+0.29,297
114/07/18,"2,464,422","67,943,976",27.36,27.76,27.29,27.59,+0.35,362
114/07/17,"1,062,042","28,903,570",27.15,27.37,27.09,27.24,+0.15,184
114/07/16,"2,898,075","78,638,314",27.31,27.40,26.99,27.09,-0.10,392
114/07/15,"2,995,367","81,987,533",27.56,27.73,27.04,27.19,-0.40,553
114/07/14,"3,268,040","89,741,148",27.47,27.70,27.25,27.59,-0.46,507
114/07/11,"5,307,749","148,413,924",27.57,28.36,27.50,28.05,+0.45,833
114/07/10,"4,153,525","113,388,532",27.14,27.62,27.13,27.60,+0.28,496
114/07/09,"3,891,395","105,818,187",26.95,27.37,26.85,27.32,+0.51,557
114/07/08,"886,956","23,745,100",26.60,26.98,26.60,26.81,+0.24,222
114/07/07,"1,263,520","33,669,191",26.82,26.83,26.48,26.57,-0.52,304
114/07/04,"3,666,873","97,520,009",26.35,27.13,26.17,27.09,+0.80,732
114/07/03,"1,888,084","49,428,264",26.06,26.32,25.95,26.29,+0.10,290
114/07/02,"1,557,130","40,659,223",26.11,26.29,25.90,26.19,+0.08,257
114/07/01,"2,093,856","54,486,258",25.99,26.17,25.83,26.11,+0.25,297
114/06/30,"3,455,176","89,229,355",25.82,25.99,25.63,25.86,-0.08,338
114/06/27,"4,454,685","117,055,447",26.70,26.70,25.89,25.94,-0.73,589
114/06/26,"2,350,462","62,622,343",26.69,26.78,26.50,26.67,+0.33,429
114/06/25,"1,884,291","49,269,527",26.20,26.34,25.95,26.34,+0.29,331
114/06/24,"3,260,873","85,006,049",25.67,26.40,25.60,26.05,+0.70,634
114/06/23,"2,457,465","61,973,691",25.22,25.41,24.98,25.35,-0.09,275
114/06/20,"1,648,809","41,775,275",25.14,25.51,25.12,25.44,+0.23,273
114/06/19,"1,549,923","39,097,600",25.31,25.42,25.04,25.21,-0.29,256
114/06/18,"1,455,472","37,008,481",25.37,25.61,25.18,25.50,+0.17,300
114/06/17,"1,207,010","30,508,362",25.38,25.39,25.12,25.33,+0.06,156
114/06/16,"4,508,495","113,553,642",25.23,25.29,25.00,25.27,+0.08,262
114/06/13,"2,015,720","50,936,703",25.43,25.50,25.12,25.19,-0.44,354
