日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"687,800","5,252,177",7.62,7.66,7.62,7.66,+0.03,80
114/08/21,"529,300","4,027,897",7.62,7.63,7.60,7.63,-0.02,58
114/08/20,"971,302","7,443,941",7.66,7.68,7.65,7.65,+0.05,141
114/08/19,"1,594,400","12,125,238",7.61,7.63,7.60,7.60,+0.04,90
114/08/18,"1,135,770","8,606,706",7.59,7.61,7.55,7.56,-0.03,67
114/08/15,"581,963","4,421,581",7.60,7.61,7.58,7.59,+0.03,82
114/08/14,"650,100","4,894,030",7.51,7.56,7.51,7.56, 0.00,64
114/08/13,"922,292","6,980,299",7.59,7.59,7.55,7.56,+0.01,88
114/08/12,"1,599,637","12,081,009",7.55,7.57,7.54,7.55,+0.06,162
114/08/11,"1,003,281","7,515,411",7.47,7.51,7.47,7.49,+0.11,138
114/08/08,"2,301,389","16,957,717",7.34,7.40,7.33,7.38,-0.09,253
114/08/07,"1,221,054","9,124,392",7.49,7.49,7.46,7.47,-0.05,137
114/08/06,"635,588","4,767,795",7.49,7.52,7.49,7.52,+0.01,66
114/08/05,"525,389","3,942,551",7.51,7.53,7.48,7.51,-0.04,91
114/08/04,"1,238,539","9,350,570",7.54,7.57,7.53,7.55,-0.15,159
114/08/01,"709,000","5,463,050",7.70,7.72,7.69,7.70, 0.00,99
114/07/31,"2,921,715","22,476,817",7.70,7.71,7.68,7.70,+0.11,240
114/07/30,"1,846,040","14,020,433",7.59,7.62,7.58,7.59,-0.04,132
114/07/29,"1,577,188","12,024,184",7.63,7.64,7.61,7.63,+0.07,178
114/07/28,"2,116,475","16,004,092",7.57,7.58,7.55,7.56,+0.04,181
114/07/25,"1,339,132","10,042,519",7.48,7.52,7.48,7.52,+0.07,103
114/07/24,"1,604,613","11,953,877",7.43,7.47,7.43,7.45,+0.10,151
114/07/23,"2,878,585","21,184,923",7.36,7.37,7.35,7.35,-0.09,318
114/07/22,"1,817,977","13,501,969",7.42,7.45,7.42,7.44,-0.07,210
114/07/21,"767,686","5,777,415",7.53,7.53,7.51,7.51,-0.04,57
114/07/18,"1,287,260","9,726,063",7.55,7.57,7.55,7.55, 0.00,69
114/07/17,"461,335","3,485,746",7.55,7.57,7.55,7.55,-0.01,33
114/07/16,"828,620","6,275,263",7.57,7.59,7.55,7.56,+0.06,93
114/07/15,"499,501","3,753,934",7.54,7.54,7.49,7.50,-0.02,69
