日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"4,254,816","47,319,180",11.13,11.15,11.10,11.10,-0.05,"1,567"
114/08/21,"4,309,387","47,957,037",11.07,11.16,11.07,11.15,+0.10,"1,277"
114/08/20,"12,577,707","139,045,161",11.06,11.07,11.04,11.05,-0.36,"4,649"
114/08/19,"5,712,261","65,202,310",11.43,11.44,11.40,11.41,+0.01,"1,403"
114/08/18,"5,955,746","67,937,133",11.43,11.44,11.40,11.40,-0.04,"2,207"
114/08/15,"5,469,941","62,500,164",11.42,11.45,11.39,11.44,-0.02,"1,875"
114/08/14,"5,478,273","62,739,129",11.45,11.47,11.43,11.46,+0.09,"1,523"
114/08/13,"9,254,964","105,094,570",11.35,11.38,11.33,11.37,+0.18,"1,687"
114/08/12,"8,595,334","96,289,517",11.24,11.24,11.17,11.19,-0.07,"2,635"
114/08/11,"9,786,616","110,235,341",11.24,11.29,11.23,11.26,+0.10,"1,924"
114/08/08,"7,250,941","80,894,862",11.16,11.17,11.14,11.16,+0.06,"1,556"
114/08/07,"7,533,093","83,717,508",11.15,11.16,11.08,11.10,+0.14,"1,703"
114/08/06,"6,412,208","70,082,423",10.89,10.96,10.88,10.96,-0.06,"2,008"
114/08/05,"10,813,940","119,155,982",10.99,11.05,10.99,11.02,+0.31,"2,312"
114/08/04,"20,143,061","215,708,533",10.73,10.73,10.68,10.71,-0.40,"6,351"
114/08/01,"16,373,522","181,665,380",11.03,11.15,10.99,11.11,-0.10,"2,956"
114/07/31,"11,978,178","134,117,273",11.15,11.23,11.15,11.21,+0.22,"2,254"
114/07/30,"10,761,139","118,129,971",10.97,11.00,10.96,10.99,-0.19,"3,203"
114/07/29,"9,292,430","103,855,344",11.19,11.20,11.16,11.18,+0.01,"1,821"
114/07/28,"10,856,363","120,908,370",11.12,11.17,11.10,11.17,+0.23,"2,044"
114/07/25,"7,571,532","82,879,538",10.93,10.97,10.92,10.94,-0.07,"2,384"
114/07/24,"7,142,464","78,618,796",11.02,11.03,10.99,11.01,+0.07,"1,732"
114/07/23,"13,283,738","145,547,610",10.99,10.99,10.93,10.94,-0.06,"4,143"
114/07/22,"26,539,660","293,368,175",11.14,11.14,11.00,11.00,-0.31,"7,235"
114/07/21,"24,629,116","278,362,725",11.22,11.34,11.22,11.31,+0.12,"3,601"
114/07/18,"13,053,891","145,683,120",11.13,11.20,11.11,11.19,+0.25,"2,599"
114/07/17,"5,703,562","62,293,696",10.90,10.94,10.90,10.94,+0.26,"1,522"
114/07/16,"8,251,178","88,030,740",10.67,10.68,10.62,10.68,-0.11,"2,293"
114/07/15,"6,345,846","68,232,349",10.69,10.80,10.69,10.79,+0.30,"1,312"
114/07/14,"3,127,945","32,779,373",10.50,10.50,10.46,10.49,-0.10,972
114/07/11,"3,955,595","41,790,885",10.54,10.59,10.53,10.59,+0.16,964
114/07/10,"4,075,869","42,427,994",10.40,10.43,10.38,10.43,+0.17,807
114/07/09,"2,316,346","23,741,869",10.26,10.26,10.23,10.26,-0.01,737
114/07/08,"2,967,054","30,452,176",10.24,10.28,10.24,10.27,+0.03,649
114/07/07,"4,621,692","47,343,663",10.23,10.26,10.21,10.24,+0.01,573
114/07/04,"2,500,630","25,620,519",10.25,10.29,10.23,10.23,-0.01,717
114/07/03,"3,818,011","39,084,414",10.28,10.29,10.22,10.24,+0.06,884
114/07/02,"8,713,900","88,625,857",10.19,10.19,10.15,10.18,-0.17,"2,697"
114/07/01,"9,287,602","96,503,441",10.44,10.44,10.35,10.35,-0.04,"1,550"
114/06/30,"6,619,564","68,641,946",10.40,10.42,10.33,10.39,+0.01,"1,138"
114/06/27,"7,185,169","74,673,778",10.42,10.43,10.37,10.38,+0.06,"1,029"
114/06/26,"11,513,704","118,877,821",10.38,10.38,10.30,10.32,-0.13,"3,039"
114/06/25,"11,399,337","119,022,417",10.46,10.47,10.40,10.45,+0.13,"1,726"
114/06/24,"6,649,853","68,617,883",10.35,10.35,10.30,10.32,+0.17,"1,038"
114/06/23,"4,041,267","40,927,627",10.10,10.15,10.07,10.15,+0.01,864
114/06/20,"8,058,609","81,736,405",10.15,10.16,10.13,10.14,-0.01,"1,542"
114/06/19,"14,722,417","149,257,453",10.13,10.16,10.10,10.15,+0.08,"2,645"
114/06/18,"28,776,923","289,014,196",10.02,10.07,10.02,10.07,+0.07,"5,099"
