日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/07/31,"79,000","789,980",10.00,10.00,9.99,10.00, 0.00,12
114/07/30,"114,448","1,144,627",10.01,10.01,10.00,10.00,-0.01,11
114/07/29,"80,000","800,550",10.01,10.01,10.00,10.01,-0.01,10
114/07/28,"16,213","162,550",10.03,10.03,10.01,10.02,-0.03,5
114/07/25,"17,701","177,884",10.04,10.05,10.04,10.05, 0.00,7
114/07/24,"15,440","155,134",10.04,10.05,10.04,10.05, 0.00,11
114/07/23,"32,174","323,288",10.06,10.06,10.05,10.05, 0.00,11
114/07/22,"11,000","110,550",10.05,10.05,10.05,10.05,+0.01,4
114/07/21,"7,330","73,731",10.05,10.05,10.04,10.04, 0.00,6
114/07/18,"33,000","331,610",10.06,10.06,10.04,10.04,-0.02,8
114/07/17,"29,000","291,640",10.05,10.06,10.05,10.06,+0.01,6
114/07/16,"21,000","211,050",10.05,10.05,10.05,10.05, 0.00,9
114/07/15,"19,040","191,263",10.02,10.05,10.02,10.05, 0.00,10
114/07/14,"3,005","30,199",10.05,10.05,10.05,10.05,X0.00,3
114/07/10,"10,000","100,300",10.03,10.03,10.03,10.03, 0.00,2
114/07/09,"20,010","200,700",10.03,10.03,10.03,10.03, 0.00,17
114/07/08,"4,608","46,200",10.05,10.05,10.03,10.03,+0.01,12
114/07/07,"15,001","150,110",10.00,10.02,10.00,10.02,+0.01,6
114/07/04,"9,000","89,990",10.01,10.01,10.01,10.01, 0.00,9
114/07/03,"14,404","144,268",9.99,10.05,9.99,10.01,-0.02,23
114/07/02,"18,221","182,760",10.03,10.03,10.02,10.03,+0.01,33
114/07/01,"2,022","20,259",10.02,10.02,10.02,10.02,+0.01,12
114/06/30,"16,022","160,491",10.02,10.02,10.01,10.01, 0.00,30
114/06/27,"5,201","51,971",10.04,10.04,10.01,10.01,-0.03,16
114/06/26,"6,506,191","65,062,008",10.05,10.05,10.04,10.04,+0.03,17
114/06/25,"1,181","11,655",10.01,10.01,10.01,10.01,+0.01,14
114/06/24,"8,622,171","86,221,556",10.00,10.00,10.00,10.00, 0.00,18
114/06/23,"71,461","714,634",10.00,10.01,9.99,10.00, 0.00,24
114/06/20,"5,116,170","51,161,701",10.00,10.00,10.00,10.00, 0.00,30
114/06/19,"50,145","501,435",10.00,10.00,10.00,10.00,-0.05,11
114/06/18,"6,911,135","69,111,507",10.00,10.05,10.00,10.05,+0.05,9
114/06/17,"123,105","1,230,704",9.99,10.00,9.98,10.00, 0.00,16
114/06/16,"73,106","731,049",10.00,10.00,10.00,10.00, 0.00,11
114/06/13,"105,107","1,051,058",10.00,10.00,10.00,10.00, 0.00,10
