日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/06,"1,000","7,830",7.83,7.83,7.83,7.83,X0.00,1
114/07/16,"3,000","22,950",7.65,7.65,7.65,7.65,X0.00,1
114/07/09,"4,000","29,640",7.41,7.41,7.41,7.41,X0.00,1
114/05/09,"1,000","7,030",7.03,7.03,7.03,7.03,X0.00,1
114/05/07,"4,000","27,840",6.96,6.96,6.96,6.96,X0.00,1
114/04/23,"1,000","6,650",6.65,6.65,6.65,6.65,+0.15,1
114/04/22,"1,000","6,500",6.50,6.50,6.50,6.50,X0.00,1
114/04/15,"1,000","6,730",6.73,6.73,6.73,6.73,X0.00,1
114/04/11,"1,000","6,520",6.52,6.52,6.52,6.52, 0.00,1
114/04/10,"23,000","149,960",6.52,6.52,6.52,6.52,X0.00,2
114/04/08,"2,000","13,080",6.54,6.54,6.54,6.54,X0.00,1
114/03/31,"1,000","7,140",7.14,7.14,7.14,7.14,X0.00,1
