日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"100,728","1,263,723",12.10,12.70,12.10,12.55,+0.30,68
114/08/21,"116,062","1,419,796",12.10,12.30,12.10,12.25,+0.25,42
114/08/20,"39,751","481,401",12.20,12.25,12.00,12.00,-0.20,64
114/08/19,"39,228","480,698",12.25,12.35,12.20,12.20,-0.10,52
114/08/18,"48,728","598,649",12.30,12.40,12.20,12.30, 0.00,77
114/08/15,"118,170","1,458,478",12.30,12.40,12.30,12.30,+0.05,66
114/08/14,"86,960","1,065,820",12.20,12.30,12.20,12.25,+0.05,56
114/08/13,"198,990","2,400,619",12.15,12.20,11.95,12.20,+0.10,87
114/08/12,"85,837","1,040,168",12.25,12.25,12.05,12.10,-0.10,115
114/08/11,"416,962","5,096,384",12.50,12.50,11.85,12.20,+0.70,227
114/08/08,"70,980","807,344",11.35,11.50,11.25,11.50, 0.00,131
114/08/07,"36,117","415,865",11.60,11.70,11.40,11.50,-0.05,63
114/08/06,"205,490","2,316,176",11.55,11.55,11.00,11.55, 0.00,139
114/08/05,"23,596","274,469",11.70,11.70,11.55,11.55,-0.15,43
114/08/04,"113,288","1,312,644",11.65,11.70,11.50,11.70,+0.05,69
114/08/01,"49,700","576,825",11.65,11.70,11.50,11.65, 0.00,57
114/07/31,"92,773","1,072,325",11.65,11.65,11.50,11.65, 0.00,60
114/07/30,"49,054","573,614",11.70,11.70,11.65,11.65,+0.05,39
114/07/29,"29,616","347,576",11.75,11.80,11.60,11.60,-0.15,42
114/07/28,"7,164","84,188",11.75,11.75,11.75,11.75,+0.05,11
114/07/25,"55,470","649,453",11.65,11.80,11.65,11.70, 0.00,46
114/07/24,"77,425","912,045",12.00,12.00,11.65,11.70,-0.35,96
114/07/23,"44,057","532,686",12.10,12.10,12.05,12.05,-0.05,40
114/07/22,"69,095","833,680",12.10,12.20,11.95,12.10, 0.00,95
114/07/21,"130,354","1,605,454",12.55,12.55,12.10,12.10,-0.45,143
114/07/18,"145,330","1,812,262",12.50,12.70,12.35,12.55, 0.00,107
114/07/17,"270,996","3,430,570",12.95,12.95,12.50,12.55,-0.40,229
114/07/16,"462,486","5,925,954",13.10,13.10,12.50,12.95,+0.05,369
114/07/15,"1,488,727","18,703,819",12.50,12.90,12.35,12.90,+0.95,652
114/07/14,"1,090,956","12,934,396",11.35,11.95,11.20,11.95,+1.05,390
114/07/11,"26,821","292,756",10.85,11.00,10.80,10.90,-0.05,77
114/07/10,"13,978","154,593",11.25,11.25,10.95,10.95,-0.05,76
114/07/09,"150,795","1,629,874",10.75,11.05,10.65,11.00,+0.15,213
114/07/08,"75,816","816,643",10.80,10.85,10.70,10.85,-0.10,124
114/07/07,"9,943","108,652",10.95,10.95,10.90,10.95,+0.05,36
114/07/04,"120,399","1,299,318",11.00,11.00,10.75,10.90,-0.10,123
114/07/03,"19,484","214,584",11.00,11.00,11.00,11.00,-0.10,80
114/07/02,"37,384","414,064",11.20,11.20,10.95,11.10, 0.00,63
114/07/01,"62,332","691,386",11.00,11.20,11.00,11.10,+0.10,64
114/06/30,"44,590","492,278",11.05,11.10,11.00,11.00,-0.15,57
114/06/27,"79,856","896,861",11.35,11.35,11.00,11.15,+0.05,57
114/06/26,"89,067","991,357",10.95,11.20,10.95,11.10, 0.00,88
114/06/25,"44,266","494,798",11.15,11.35,11.10,11.10,-0.10,57
114/06/24,"58,496","652,574",11.05,11.40,11.00,11.20,+0.10,64
114/06/23,"27,327","301,205",11.10,11.10,10.75,11.10, 0.00,48
114/06/20,"35,495","395,503",11.25,11.25,11.00,11.10,-0.20,72
114/06/19,"37,974","431,220",11.50,11.50,11.25,11.30,-0.20,58
114/06/18,"41,111","471,162",11.50,11.50,11.25,11.50,+0.10,62
114/06/17,"20,820","237,296",11.45,11.45,11.35,11.40, 0.00,22
114/06/16,"51,681","588,347",11.30,11.40,11.30,11.40,+0.10,32
114/06/13,"21,125","240,215",11.35,11.40,11.30,11.30,-0.30,54
114/06/12,"78,936","898,851",11.70,11.70,11.20,11.60,-0.15,109
114/06/11,"35,360","415,451",11.80,11.80,11.65,11.75,-0.15,110
114/06/10,"97,301","1,153,579",11.85,11.95,11.70,11.90, 0.00,58
114/06/09,"35,524","423,400",11.95,11.95,11.90,11.90,+0.05,42
114/06/06,"7,900","94,047",11.95,11.95,11.85,11.85,-0.05,44
114/06/05,"9,654","114,932",11.90,11.95,11.85,11.90, 0.00,25
114/06/04,"58,954","698,235",11.90,11.95,11.80,11.90,+0.15,40
114/06/03,"32,793","385,999",11.85,11.85,11.70,11.75,-0.15,81
114/06/02,"68,065","806,392",11.90,11.90,11.80,11.90,-0.05,86
114/05/29,"68,847","823,614",12.00,12.00,11.85,11.95,-0.10,83
114/05/28,"42,614","515,009",12.10,12.15,12.05,12.05, 0.00,39
114/05/27,"73,332","892,294",12.25,12.25,12.05,12.05,-0.10,73
114/05/26,"41,649","508,191",12.45,12.45,12.10,12.15,-0.05,79
114/05/23,"30,040","369,135",12.35,12.35,12.20,12.20,-0.15,53
114/05/22,"17,756","219,999",12.40,12.40,12.35,12.35,-0.05,21
114/05/21,"16,167","200,711",12.40,12.45,12.35,12.40, 0.00,42
114/05/20,"40,382","499,612",12.40,12.40,12.35,12.40, 0.00,41
114/05/19,"30,105","375,800",12.50,12.50,12.40,12.40,-0.25,64
114/05/16,"24,828","314,543",12.70,12.75,12.60,12.65,-0.15,82
114/05/15,"35,409","449,720",12.70,12.90,12.50,12.80,+0.10,48
114/05/14,"64,755","816,632",12.95,13.00,12.50,12.70, 0.00,168
114/05/13,"70,870","889,979",12.85,12.85,12.40,12.70,+0.20,49
114/05/12,"102,934","1,275,001",12.65,12.65,12.35,12.50, 0.00,60
114/05/09,"55,465","695,342",12.30,12.60,12.30,12.50,+0.15,56
114/05/08,"60,827","752,088",12.30,12.45,12.25,12.35, 0.00,50
114/05/07,"119,627","1,477,005",12.35,12.35,12.30,12.35,+0.05,49
114/05/06,"52,810","650,389",12.40,12.40,12.30,12.30,-0.05,61
114/05/05,"77,255","946,431",12.20,12.35,12.00,12.35,+0.15,102
114/05/02,"41,190","499,781",12.10,12.30,12.10,12.20,+0.10,59
114/04/30,"51,208","624,683",12.30,12.30,12.05,12.10,-0.15,90
114/04/29,"23,889","294,906",12.40,12.40,12.25,12.25, 0.00,61
114/04/28,"79,340","982,744",12.60,12.60,12.20,12.25,-0.20,223
114/04/25,"99,477","1,248,678",12.55,12.70,12.45,12.45, 0.00,84
114/04/24,"265,411","3,319,139",12.25,13.00,12.20,12.45,+0.35,195
114/04/23,"104,210","1,249,106",11.95,12.40,11.95,12.10,+0.25,52
114/04/22,"42,509","508,939",11.95,12.00,11.85,11.85,-0.05,68
114/04/21,"99,322","1,197,633",11.90,12.25,11.90,11.90, 0.00,92
114/04/18,"39,149","464,245",11.75,11.90,11.70,11.90,+0.05,57
114/04/17,"32,023","380,349",11.75,11.90,11.70,11.85,-0.05,73
114/04/16,"23,106","276,511",12.20,12.20,11.90,11.90,-0.30,64
114/04/15,"48,984","593,028",12.25,12.25,11.95,12.20,+0.20,84
114/04/14,"38,775","463,987",11.95,12.20,11.70,12.00,+0.05,92
114/04/11,"15,728","183,673",12.00,12.00,11.35,11.95,-0.10,66
114/04/10,"94,611","1,141,614",12.00,12.20,11.85,12.05,+0.90,173
114/04/09,"83,800","933,548",11.50,11.50,10.80,11.15,-0.35,218
114/04/08,"96,816","1,117,199",11.10,11.95,11.10,11.50,-0.40,198
114/04/07,"112,650","1,340,645",11.90,11.90,11.90,11.90,-1.30,524
114/04/02,"8,600","113,711",13.20,13.20,13.20,13.20,+0.05,59
114/04/01,"10,191","134,693",13.20,13.20,13.15,13.15,+0.10,85
114/03/31,"257,642","3,364,564",13.10,13.10,12.90,13.05,-0.15,654
114/03/28,"82,431","1,098,974",13.75,13.75,13.10,13.20,-0.55,209
114/03/27,"21,944","303,238",13.95,13.95,13.75,13.75,-0.20,121
114/03/26,"15,012","206,949",13.70,13.95,13.70,13.95,+0.10,36
114/03/25,"20,565","283,693",13.80,13.85,13.70,13.85, 0.00,110
114/03/24,"19,678","273,797",14.00,14.00,13.85,13.85, 0.00,34
114/03/21,"47,581","657,757",13.85,13.85,13.80,13.85,-0.10,95
114/03/20,"67,053","939,291",14.00,14.05,13.95,13.95, 0.00,87
114/03/19,"31,566","441,360",14.00,14.00,13.95,13.95,-0.05,48
114/03/18,"21,557","301,502",13.85,14.05,13.85,14.00, 0.00,56
114/03/17,"23,341","325,905",14.00,14.00,13.90,14.00,+0.05,51
114/03/14,"25,315","352,054",13.85,13.95,13.85,13.95, 0.00,80
114/03/13,"34,016","471,550",13.85,13.95,13.85,13.95,+0.05,46
114/03/12,"50,694","707,398",13.90,14.00,13.85,13.90, 0.00,60
114/03/11,"22,665","314,602",13.80,13.90,13.80,13.90,-0.05,119
114/03/10,"55,961","773,514",13.75,14.05,13.75,13.95,+0.15,61
114/03/07,"10,468","145,224",13.90,13.90,13.80,13.80,-0.05,71
114/03/06,"29,400","408,754",14.00,14.00,13.85,13.85, 0.00,106
114/03/05,"28,070","389,797",13.90,13.90,13.80,13.85,-0.05,178
