日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"61,502","3,776,429",61.40,61.50,61.40,61.50, 0.00,20
114/08/21,"287,442","17,648,931",61.40,61.50,61.40,61.50,+0.10,19
114/08/20,"252,035","15,474,642",61.40,61.40,61.30,61.40,-0.10,23
114/08/19,"164,689","10,112,125",61.40,61.50,61.40,61.50, 0.00,22
114/08/18,"82,295","5,053,053",61.40,61.50,61.40,61.50, 0.00,10
114/08/15,"78,796","4,838,260",61.40,61.50,61.40,61.50,+0.10,30
114/08/14,"72,805","4,469,838",61.40,61.40,61.30,61.40, 0.00,31
114/08/13,"6,140","376,001",61.20,61.40,61.20,61.40, 0.00,21
114/08/12,"15,972","978,392",61.30,61.40,61.10,61.40, 0.00,31
114/08/11,"22,875","1,402,374",61.30,61.40,61.30,61.40,+0.10,19
114/08/08,"117,120","7,166,544",61.30,61.30,61.10,61.30,-0.20,39
114/08/07,"178,581","10,960,895",61.20,61.50,61.20,61.50,+0.20,29
114/08/06,"302,259","18,507,809",61.40,61.50,61.00,61.30,-0.20,66
114/08/05,"19,909","1,223,133",61.40,61.50,61.30,61.50,-0.10,23
114/08/04,"69,481","4,256,311",61.20,61.60,61.20,61.60,+0.30,17
114/08/01,"37,719","2,308,462",61.20,61.30,61.20,61.30,-0.10,18
114/07/31,"67,397","4,129,517",61.20,61.40,61.20,61.40,+0.10,24
114/07/30,"36,786","2,254,255",61.20,61.30,61.20,61.30, 0.00,17
114/07/29,"175,772","10,757,311",61.20,61.30,61.10,61.30, 0.00,24
114/07/28,"11,000","674,200",61.20,61.30,61.20,61.30,X0.00,4
114/07/24,"3,000","184,000",61.30,61.40,61.30,61.40, 0.00,2
114/07/23,"2,726","166,973",61.20,61.40,61.20,61.40,-0.10,15
114/07/22,"54,900","3,370,815",61.40,61.50,61.40,61.50,+0.10,25
114/07/21,"24,953","1,531,599",61.40,61.40,61.40,61.40,-0.10,16
114/07/18,"10,155","624,494",61.50,61.50,61.50,61.50,+0.10,5
114/07/17,"4,297","263,874",61.40,61.50,61.40,61.40,-0.10,12
114/07/16,"82,901","5,089,024",61.30,61.50,61.30,61.50,-0.50,39
114/07/15,"109,689","6,727,826",61.30,62.00,61.30,62.00,+0.60,20
114/07/14,"76,538","4,691,836",61.20,61.40,61.20,61.40,+0.10,24
