日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"55,194","2,683,797",48.70,48.70,48.60,48.60,-0.10,28
114/08/21,"56,581","2,755,198",48.60,48.75,48.60,48.70,+0.10,35
114/08/20,"119,221","5,806,316",48.75,48.75,48.60,48.60,-0.15,57
114/08/19,"85,098","4,153,389",48.90,48.90,48.70,48.75,-0.10,40
114/08/18,"71,344","3,483,818",48.80,48.85,48.80,48.85,+0.05,49
114/08/15,"21,001","1,023,548",48.70,48.80,48.70,48.80,+0.10,14
114/08/14,"68,525","3,338,264",48.80,48.80,48.70,48.70,-0.10,27
114/08/13,"265,506","12,932,942",48.65,48.80,48.55,48.80,+0.05,79
114/08/12,"214,308","10,393,186",48.40,48.75,48.35,48.75,+0.40,71
114/08/11,"337,270","16,325,065",48.40,48.45,48.30,48.35,-0.05,122
114/08/08,"157,785","7,644,037",48.50,48.60,48.40,48.40,+0.10,44
114/08/07,"182,011","8,799,473",48.50,48.50,48.25,48.30,-0.15,142
114/08/06,"191,333","9,277,028",48.60,48.60,48.40,48.45,-0.20,122
114/08/05,"151,330","7,331,254",48.40,48.70,48.25,48.65,+0.25,49
114/08/04,"136,700","6,610,819",48.30,48.70,48.25,48.40,+0.20,64
114/08/01,"62,963","3,034,871",48.10,48.30,48.10,48.20,+0.15,48
114/07/31,"204,615","9,826,233",48.05,48.10,48.00,48.05, 0.00,95
114/07/30,"112,401","5,401,222",48.10,48.15,48.05,48.05,-0.10,69
114/07/29,"274,724","13,226,474",48.35,48.35,48.00,48.15,-0.25,172
114/07/28,"93,471","4,532,291",48.55,48.55,48.40,48.40,-0.15,108
114/07/25,"120,159","5,834,349",48.60,48.65,48.50,48.55,-0.15,103
114/07/24,"118,322","5,767,699",48.90,48.90,48.60,48.70,-0.20,94
114/07/23,"89,293","4,367,640",48.95,49.05,48.90,48.90,+0.05,36
114/07/22,"127,936","6,253,682",49.00,49.00,48.80,48.85,-0.20,85
114/07/21,"28,592","1,402,784",49.10,49.10,49.05,49.05,-0.10,30
114/07/18,"58,238","2,860,799",49.15,49.15,49.10,49.15, 0.00,37
114/07/17,"39,879","1,959,731",49.20,49.20,49.10,49.15,-0.05,31
114/07/16,"228,987","11,256,349",49.25,49.25,49.10,49.20,+0.10,34
114/07/15,"113,310","5,569,606",49.25,49.30,49.10,49.10,-0.15,55
114/07/14,"114,232","5,625,897",49.20,49.30,49.20,49.25,+0.05,46
114/07/11,"91,468","4,495,009",48.95,49.20,48.95,49.20,+0.25,49
114/07/10,"235,431","11,487,955",48.50,49.00,48.50,48.95,+0.45,102
114/07/09,"66,694","3,234,638",48.45,48.55,48.45,48.50,+0.05,154
114/07/08,"323,656","15,669,181",48.45,48.45,48.30,48.45,X0.00,203
114/07/07,"350,500","17,641,950",50.30,50.50,50.30,50.40,-0.10,118
114/07/04,"192,071","9,690,598",50.30,50.50,50.30,50.50,+0.10,50
114/07/03,"825,376","41,537,124",50.30,50.50,50.30,50.40,+0.10,94
114/07/02,"200,129","10,048,567",50.30,50.30,50.20,50.30, 0.00,45
114/07/01,"105,617","5,315,200",50.40,50.50,50.30,50.30, 0.00,51
114/06/30,"187,737","9,437,014",50.30,50.40,50.20,50.30, 0.00,55
114/06/27,"62,247","3,131,930",50.30,50.40,50.30,50.30, 0.00,33
114/06/26,"239,255","12,031,535",50.30,50.30,50.20,50.30, 0.00,85
114/06/25,"56,769","2,851,004",50.20,50.30,50.20,50.30, 0.00,31
114/06/24,"10,758","540,600",50.20,50.30,50.20,50.30,+0.20,16
114/06/23,"150,710","7,547,548",50.20,50.20,50.00,50.10,-0.10,77
114/06/20,"93,246","4,681,063",50.20,50.30,50.20,50.20,-0.10,50
114/06/19,"156,878","7,877,911",50.20,50.30,50.20,50.30, 0.00,45
114/06/18,"38,371","1,927,622",50.30,50.30,50.20,50.30, 0.00,27
114/06/17,"139,234","6,996,210",50.30,50.30,50.20,50.30, 0.00,79
114/06/16,"35,228","1,770,161",50.30,50.30,50.20,50.30, 0.00,39
114/06/13,"44,050","2,215,720",50.30,50.30,50.30,50.30, 0.00,20
114/06/12,"97,352","4,894,134",50.30,50.30,50.20,50.30,-0.10,54
114/06/11,"243,025","12,227,760",50.40,50.40,50.30,50.40,-0.10,80
114/06/10,"80,179","4,045,939",50.40,50.50,50.40,50.50, 0.00,31
114/06/09,"48,025","2,419,662",50.30,50.50,50.30,50.50,+0.10,20
114/06/06,"130,142","6,553,957",50.50,50.50,50.30,50.40,-0.10,44
114/06/05,"108,182","5,452,972",50.30,50.50,50.30,50.50,+0.10,28
114/06/04,"231,100","11,633,840",50.30,50.50,50.30,50.40,+0.10,70
114/06/03,"189,308","9,534,401",50.30,50.60,50.30,50.30,-0.10,56
114/06/02,"65,000","3,270,900",50.30,50.40,50.30,50.40, 0.00,27
114/05/29,"135,633","6,831,008",50.30,50.40,50.30,50.40, 0.00,51
114/05/28,"130,213","6,567,555",50.40,50.50,50.40,50.40,-0.10,40
114/05/27,"59,000","2,976,500",50.40,50.50,50.40,50.50, 0.00,13
114/05/26,"135,164","6,809,549",50.30,50.50,50.30,50.50,+0.10,25
114/05/23,"70,563","3,553,318",50.40,50.40,50.30,50.40, 0.00,30
114/05/22,"362,890","18,260,150",50.40,50.40,50.30,50.40, 0.00,57
114/05/21,"115,563","5,824,400",50.40,50.40,50.40,50.40,-0.10,58
114/05/20,"312,226","15,762,399",50.50,50.50,50.40,50.50, 0.00,62
114/05/19,"177,334","8,951,399",50.50,50.60,50.40,50.50,-0.10,64
114/05/16,"61,100","3,088,450",50.50,50.60,50.50,50.60, 0.00,22
114/05/15,"89,325","4,517,809",50.50,50.70,50.50,50.60, 0.00,23
114/05/14,"68,001","3,434,250",50.50,50.60,50.50,50.60, 0.00,24
114/05/13,"104,238","5,270,301",50.60,50.60,50.50,50.60,-0.10,37
114/05/12,"59,446","3,010,404",50.60,50.70,50.60,50.70, 0.00,28
114/05/09,"151,827","7,671,121",50.40,50.70,50.40,50.70,+0.30,45
