日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"5,361","237,086",44.15,44.30,44.15,44.30,+0.20,9
114/08/21,"6,677","294,862",44.15,44.25,44.10,44.10,-0.10,17
114/08/20,"20,021","884,971",44.30,44.30,44.15,44.20, 0.00,7
114/08/19,"68,425","3,024,131",44.15,44.20,44.10,44.20, 0.00,31
114/08/18,"36,100","1,595,708",44.20,44.30,44.20,44.20, 0.00,18
114/08/15,"9,077","400,588",44.00,44.20,44.00,44.20, 0.00,11
114/08/14,"239,722","10,534,607",44.05,44.20,43.90,44.20,+0.10,36
114/08/13,"53,651","2,362,879",44.10,44.20,44.00,44.10,-0.40,44
114/08/12,"146,589","6,490,103",44.15,44.55,44.00,44.50,+0.40,51
114/08/11,"13,720","602,253",43.70,44.20,43.70,44.10,+0.35,16
114/08/08,"215,086","9,411,516",43.75,43.95,43.75,43.75,-0.10,23
114/08/07,"204,353","8,960,301",43.80,43.85,43.70,43.85,-0.15,13
114/08/06,"332,251","14,383,782",43.30,44.80,43.25,44.00,+0.70,59
114/08/05,"101,363","4,383,366",43.30,43.30,43.20,43.30,+0.10,19
114/08/04,"123,702","5,344,627",43.40,43.40,43.20,43.20,-0.20,33
114/08/01,"9,228","400,085",43.35,43.40,43.35,43.40,+0.05,9
114/07/31,"184,206","7,975,696",43.35,43.35,43.20,43.35,-0.05,30
114/07/30,"61,173","2,653,351",43.40,43.40,43.30,43.40, 0.00,28
114/07/29,"31,335","1,360,618",43.45,43.45,43.40,43.40,-0.10,21
114/07/28,"38,447","1,674,368",43.55,43.60,43.50,43.50,-0.05,30
114/07/25,"69,829","3,040,848",43.90,43.90,43.45,43.55,-0.40,72
114/07/24,"24,688","1,085,041",43.95,44.00,43.95,43.95,-0.05,21
114/07/23,"9,401","413,585",44.00,44.00,44.00,44.00,+0.05,14
114/07/22,"32,243","1,418,793",44.10,44.10,43.95,43.95,-0.15,19
114/07/21,"54,116","2,386,104",44.00,44.10,44.00,44.10,+0.10,5
114/07/18,"30,000","1,320,000",44.00,44.00,44.00,44.00, 0.00,1
114/07/17,"48,354","2,125,890",43.90,44.00,43.90,44.00,+0.05,15
114/07/16,"30,533","1,342,845",44.00,44.00,43.95,43.95,-0.05,11
114/07/15,"49,395","2,173,130",44.00,44.05,43.95,44.00, 0.00,22
114/07/14,"14,324","630,669",44.10,44.10,44.00,44.00,-0.10,16
114/07/11,"62,435","2,754,084",44.20,44.20,44.10,44.10, 0.00,38
114/07/10,"33,357","1,470,988",44.10,44.10,44.10,44.10,X0.00,19
114/07/08,"373,242","16,460,269",44.10,44.20,44.10,44.10,X0.00,38
114/07/07,"314,301","14,394,883",45.80,45.80,45.75,45.80, 0.00,25
114/07/04,"301,474","13,804,949",45.80,45.80,45.75,45.80, 0.00,26
114/07/03,"206,374","9,446,718",45.80,45.80,45.70,45.80,+0.10,16
114/07/02,"115,071","5,259,735",45.80,45.80,45.70,45.70,-0.10,12
114/07/01,"157,567","7,211,010",45.70,45.80,45.70,45.80,+0.20,13
114/06/30,"57,440","2,619,952",45.70,45.70,45.60,45.60,-0.10,19
114/06/27,"24,217","1,106,686",45.65,45.75,45.65,45.70,+0.05,11
114/06/26,"117,076","5,343,310",45.60,45.65,45.55,45.65,+0.05,62
114/06/25,"68,009","3,097,509",45.50,45.70,45.50,45.60,+0.10,22
114/06/24,"17,092","775,969",45.15,45.50,45.15,45.50, 0.00,11
114/06/23,"52,163","2,373,422",45.50,45.50,45.50,45.50,-0.10,7
114/06/20,"12,000","545,800",45.50,45.60,45.40,45.60,+0.10,5
114/06/19,"18,400","838,460",45.70,45.70,45.50,45.50,-0.25,8
114/06/18,"111,801","5,114,774",45.75,45.75,45.75,45.75, 0.00,39
114/06/17,"126,796","5,803,763",45.80,45.80,45.75,45.75,+0.05,32
114/06/16,"106,143","4,861,150",45.80,45.80,45.70,45.70,-0.10,26
114/06/13,"184,040","8,428,930",45.70,45.80,45.70,45.80, 0.00,12
114/06/12,"13,050","596,990",45.80,45.80,45.70,45.80,-0.05,12
114/06/11,"250,130","11,459,241",45.80,45.85,45.70,45.85, 0.00,29
114/06/10,"4,861","222,802",45.85,45.85,45.85,45.85, 0.00,10
114/06/09,"39,747","1,820,317",45.80,45.85,45.75,45.85,+0.05,21
