日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"3,878","141,853",36.50,36.55,36.50,36.55,+0.05,11
114/08/21,"22,739","829,661",36.50,36.55,36.45,36.50,+0.05,30
114/08/20,"7,047","256,879",36.50,36.50,36.45,36.45,-0.05,13
114/08/19,"23,430","854,102",36.50,36.50,36.40,36.50, 0.00,27
114/08/18,"13,527","493,504",36.45,36.50,36.45,36.50,+0.05,19
114/08/15,"47,362","1,724,447",36.40,36.45,36.35,36.45,+0.10,35
114/08/14,"33,453","1,215,825",36.35,36.40,36.30,36.35, 0.00,25
114/08/13,"46,337","1,681,469",36.20,36.35,36.20,36.35,+0.20,36
114/08/12,"37,935","1,372,706",36.20,36.25,36.15,36.15,+0.05,31
114/08/11,"18,048","652,374",36.15,36.15,36.10,36.10, 0.00,11
114/08/08,"29,122","1,051,675",36.10,36.15,36.10,36.10, 0.00,20
114/08/07,"45,170","1,632,163",36.10,36.20,36.10,36.10,+0.05,21
114/08/06,"38,491","1,384,799",36.00,36.05,36.00,36.05,+0.10,36
114/08/05,"25,058","899,021",35.75,35.95,35.75,35.95,+0.20,24
114/08/04,"29,384","1,048,389",35.45,35.75,35.45,35.75,+0.10,24
114/08/01,"136,497","4,834,051",35.35,35.70,35.35,35.65,+0.30,41
114/07/31,"12,982","458,431",35.45,35.45,35.30,35.35, 0.00,24
114/07/30,"116,162","4,105,130",35.25,35.35,35.25,35.35, 0.00,41
114/07/29,"141,804","5,024,308",35.55,35.60,35.20,35.35,-0.25,49
114/07/28,"88,188","3,134,561",35.65,35.65,35.50,35.60,-0.15,55
114/07/25,"129,240","4,622,945",35.75,36.20,35.70,35.75,+0.15,47
114/07/24,"157,061","5,616,574",35.80,36.25,35.60,35.60,X0.00,91
