日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"53,736","1,966,416",36.55,36.70,36.55,36.60,+0.05,27
114/08/21,"105,047","3,843,952",36.55,36.70,36.50,36.55,+0.05,53
114/08/20,"48,150","1,760,372",36.60,36.60,36.50,36.50,-0.10,38
114/08/19,"120,398","4,402,419",36.55,36.60,36.50,36.60,+0.05,64
114/08/18,"164,659","6,009,209",36.50,36.55,36.45,36.55,+0.15,83
114/08/15,"219,113","7,977,147",36.25,36.50,36.25,36.40,+0.15,66
114/08/14,"78,126","2,836,798",36.30,36.40,36.25,36.25,+0.05,56
114/08/13,"307,410","11,145,912",36.20,36.40,36.10,36.20,+0.10,133
114/08/12,"160,333","5,782,340",36.05,36.15,36.00,36.10,+0.10,83
114/08/11,"106,759","3,847,529",36.15,36.15,35.90,36.00,-0.10,61
114/08/08,"214,833","7,776,768",36.10,36.25,36.10,36.10, 0.00,107
114/08/07,"64,440","2,325,894",36.10,36.20,36.05,36.10,-0.05,44
114/08/06,"49,283","1,778,414",36.05,36.15,36.00,36.15,+0.25,43
114/08/05,"111,360","3,996,019",35.95,36.00,35.85,35.90,+0.05,62
114/08/04,"76,402","2,728,959",35.80,35.85,35.65,35.85,+0.15,52
114/08/01,"36,419","1,298,648",35.55,35.80,35.55,35.70,+0.15,40
114/07/31,"7,035","250,088",35.55,35.55,35.55,35.55,-0.05,9
114/07/30,"102,990","3,665,618",35.40,35.70,35.40,35.60,+0.20,33
114/07/29,"87,674","3,107,338",35.85,35.85,35.30,35.40,-0.15,76
114/07/28,"221,350","7,877,062",35.70,35.70,35.50,35.55,-0.25,113
114/07/25,"266,065","9,568,132",35.85,36.25,35.60,35.80,+0.10,150
114/07/24,"306,799","11,028,730",36.80,36.80,35.65,35.70,X0.00,167
