日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"13,281,605","121,256,650",9.13,9.14,9.12,9.12,-0.01,"1,591"
114/08/21,"4,942,751","45,116,760",9.13,9.14,9.12,9.13,+0.01,"1,191"
114/08/20,"26,969,947","246,113,498",9.13,9.14,9.12,9.12,-0.02,"1,909"
114/08/19,"20,127,225","183,780,847",9.14,9.14,9.12,9.14, 0.00,"1,430"
114/08/18,"32,653,848","298,174,656",9.13,9.14,9.12,9.14,+0.01,"1,844"
114/08/15,"47,103,270","430,051,344",9.13,9.14,9.12,9.13, 0.00,"1,536"
114/08/14,"15,110,588","137,925,626",9.13,9.14,9.12,9.13,+0.01,"2,104"
114/08/13,"42,210,388","385,296,170",9.13,9.15,9.12,9.12,-0.02,"2,945"
114/08/12,"11,719,752","107,108,705",9.13,9.15,9.13,9.14,+0.01,"2,575"
114/08/11,"41,196,290","375,718,639",9.11,9.15,9.11,9.13,-0.01,"2,364"
114/08/08,"22,060,752","201,737,450",9.12,9.16,9.12,9.14,+0.04,"4,064"
114/08/07,"59,852,975","546,706,582",9.15,9.17,9.10,9.10,-0.06,"4,655"
114/08/06,"34,777,670","318,192,650",9.15,9.17,9.13,9.16,+0.03,"2,822"
114/08/05,"46,176,704","422,157,760",9.16,9.17,9.13,9.13,+0.01,"4,925"
114/08/04,"43,588,744","396,811,235",9.05,9.15,9.04,9.12,+0.10,"4,817"
114/08/01,"55,529,467","499,455,775",8.94,9.06,8.93,9.02,+0.09,"4,197"
114/07/31,"77,418,198","690,703,803",8.88,8.95,8.88,8.93,+0.06,"4,185"
114/07/30,"84,974,695","754,600,324",8.88,8.90,8.87,8.87,-0.01,"7,191"
114/07/29,"105,270,250","936,111,575",8.89,8.92,8.88,8.88,-0.02,"9,619"
114/07/28,"115,294,439","1,025,831,929",8.88,8.92,8.87,8.90,+0.06,"11,524"
114/07/25,"433,074,504","3,784,294,380",8.69,8.95,8.69,8.84,-0.16,"37,488"
114/07/24,"20,821,646","187,394,814",9.00,9.00,9.00,9.00,X0.00,"4,847"
