日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"19,728","306,057",15.50,15.55,15.50,15.55,+0.05,23
114/08/21,"215,390","3,331,187",15.50,15.55,15.45,15.50,+0.05,43
114/08/20,"263,696","4,074,229",15.45,15.50,15.40,15.45,-0.05,54
114/08/19,"40,264","620,811",15.40,15.50,15.40,15.50,+0.10,34
114/08/18,"221,267","3,404,811",15.40,15.45,15.35,15.40,+0.05,74
114/08/15,"561,509","8,599,450",15.35,15.40,15.30,15.35, 0.00,80
114/08/14,"287,445","4,413,473",15.40,15.40,15.30,15.35, 0.00,66
114/08/13,"197,669","3,037,753",15.35,15.40,15.35,15.35, 0.00,49
114/08/12,"1,246,251","19,166,606",15.40,15.45,15.30,15.35, 0.00,142
114/08/11,"86,979","1,333,926",15.30,15.35,15.30,15.35,+0.10,39
114/08/08,"959,139","14,616,272",15.30,15.30,15.20,15.25, 0.00,115
114/08/07,"845,818","12,933,310",15.35,15.40,15.20,15.25,-0.15,125
114/08/06,"127,854","1,967,501",15.35,15.40,15.35,15.40,+0.05,66
114/08/05,"90,258","1,378,755",15.25,15.35,15.25,15.35,+0.15,51
114/08/04,"288,539","4,385,671",15.25,15.25,15.15,15.20,-0.05,59
114/08/01,"116,417","1,773,625",15.25,15.25,15.20,15.25, 0.00,53
114/07/31,"343,351","5,220,682",15.25,15.25,15.20,15.25,+0.05,75
114/07/30,"107,096","1,626,150",15.10,15.20,15.10,15.20,+0.05,31
114/07/29,"178,502","2,710,831",15.20,15.20,15.15,15.15,-0.05,60
114/07/28,"112,642","1,704,709",15.10,15.20,15.10,15.20, 0.00,52
114/07/25,"151,231","2,291,691",15.10,15.25,15.05,15.20,+0.10,95
114/07/24,"143,545","2,166,006",15.10,15.15,15.05,15.10, 0.00,59
114/07/23,"198,879","3,000,266",15.20,15.20,15.00,15.10, 0.00,85
114/07/22,"87,785","1,329,507",15.15,15.15,15.10,15.10,-0.05,40
114/07/21,"271,078","4,104,185",15.20,15.20,15.10,15.15, 0.00,58
114/07/18,"157,125","2,378,239",15.20,15.20,15.05,15.15, 0.00,53
114/07/17,"75,091","1,139,331",15.20,15.20,15.15,15.15,-0.05,34
114/07/16,"133,029","2,020,656",15.20,15.20,15.15,15.20, 0.00,47
114/07/15,"59,080","897,661",15.20,15.20,15.15,15.20,+0.05,30
114/07/14,"522,537","7,904,361",15.10,15.20,15.00,15.15,+0.10,129
114/07/11,"168,121","2,529,370",15.10,15.10,15.00,15.05, 0.00,80
114/07/10,"81,342","1,224,958",15.10,15.10,15.00,15.05,-0.05,51
114/07/09,"118,760","1,794,473",15.10,15.15,15.05,15.10, 0.00,47
114/07/08,"91,164","1,377,604",15.20,15.20,15.05,15.10,X0.00,84
114/07/07,"415,496","6,533,557",15.70,15.75,15.70,15.70,-0.05,62
114/07/04,"411,129","6,455,189",15.75,15.75,15.70,15.75,+0.05,28
114/07/03,"217,640","3,410,516",15.70,15.70,15.65,15.70, 0.00,64
114/07/02,"238,449","3,741,086",15.70,15.75,15.65,15.70, 0.00,81
114/07/01,"377,302","5,918,378",15.65,15.70,15.60,15.70,+0.05,73
114/06/30,"153,236","2,397,700",15.70,15.70,15.60,15.65, 0.00,44
114/06/27,"89,582","1,404,140",15.70,15.70,15.65,15.65,-0.05,47
114/06/26,"46,395","728,863",15.70,15.70,15.65,15.70, 0.00,27
114/06/25,"65,865","1,033,029",15.65,15.70,15.65,15.70, 0.00,34
114/06/24,"70,654","1,108,455",15.70,15.75,15.60,15.70,-0.05,50
114/06/23,"2,325,709","36,067,024",15.65,15.80,15.35,15.75,-0.20,239
114/06/20,"30,235","482,233",15.95,15.95,15.95,15.95,-0.05,11
114/06/19,"12,284","196,529",16.00,16.00,16.00,16.00,+0.05,6
114/06/18,"64,959","1,036,100",15.95,16.00,15.95,15.95,-0.05,39
114/06/17,"10,051","160,816",16.00,16.00,16.00,16.00, 0.00,5
114/06/16,"63,723","1,018,722",16.00,16.00,15.90,16.00,-0.05,27
114/06/13,"2,000","32,100",16.05,16.05,16.05,16.05, 0.00,2
114/06/12,"27,530","442,366",16.05,16.10,16.05,16.05, 0.00,14
114/06/11,"163,253","2,620,783",16.10,16.10,16.05,16.05,-0.05,24
114/06/10,"49,289","793,530",16.10,16.10,16.10,16.10, 0.00,22
114/06/09,"70,149","1,129,384",16.10,16.10,16.10,16.10,+0.05,11
114/06/06,"214,849","3,448,234",16.05,16.05,16.05,16.05, 0.00,18
114/06/05,"67,643","1,085,629",16.05,16.05,16.05,16.05,+0.05,19
114/06/04,"4,340","69,483",16.05,16.05,16.00,16.00,-0.05,13
