日期,成交股數,成交金額,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
114/08/22,"1,312","78,686",60.00,60.00,60.00,60.00,+0.10,6
114/08/21,"92,026","5,512,423",59.90,60.10,59.90,59.90, 0.00,33
114/08/20,"79,010","4,730,888",59.90,60.00,59.80,59.90,-0.10,28
114/08/19,"163,138","9,772,112",59.90,60.00,59.90,60.00,X0.00,20
114/08/15,"60,402","3,623,957",60.00,60.00,60.00,60.00, 0.00,22
114/08/14,"45,206","2,696,049",59.60,60.00,59.60,60.00, 0.00,56
114/08/13,"87,820","5,253,115",59.90,60.00,59.50,60.00, 0.00,57
114/08/12,"73,347","4,403,682",60.10,60.10,59.90,60.00,-0.10,34
114/08/11,"28,409","1,704,695",60.00,60.10,60.00,60.10, 0.00,37
114/08/08,"85,469","5,121,837",59.90,60.10,59.80,60.10, 0.00,34
114/08/07,"114,714","6,871,686",59.90,60.10,59.90,60.10,+0.10,26
114/08/06,"27,489","1,647,589",59.90,60.00,59.90,60.00, 0.00,25
114/08/05,"134,895","8,085,445",59.90,60.10,59.80,60.00,+0.20,49
114/08/04,"56,203","3,355,868",60.10,60.10,59.60,59.80, 0.00,17
114/08/01,"77,087","4,609,370",59.80,60.00,59.60,59.80,-0.20,20
114/07/31,"5,148","307,871",59.80,60.00,59.70,60.00,+0.20,12
114/07/30,"76,944","4,584,492",59.80,59.80,59.40,59.80,+0.20,29
114/07/29,"3,243","192,999",59.50,59.60,59.50,59.60, 0.00,16
114/07/28,"2,346","139,043",59.00,59.60,59.00,59.60, 0.00,12
114/07/25,"2,220","132,112",59.50,59.60,59.50,59.60, 0.00,17
114/07/24,"3,880","230,116",59.30,59.60,59.30,59.60,+0.30,21
114/07/23,"4,238","250,902",59.20,59.30,59.20,59.30,+0.10,16
114/07/22,"4,391","258,344",59.00,59.20,59.00,59.20,+0.10,29
114/07/21,"51,078","3,018,684",59.10,59.10,59.10,59.10, 0.00,8
114/07/18,"41,778","2,462,771",58.90,59.10,58.90,59.10, 0.00,21
114/07/17,"22,408","1,323,840",58.90,59.10,58.90,59.10, 0.00,16
114/07/16,"23,165","1,368,998",59.10,59.10,59.10,59.10,-0.20,13
114/07/15,"72,846","4,293,648",58.80,59.30,58.80,59.30,+0.20,31
114/07/14,"31,022","1,827,847",59.20,59.20,58.90,59.10,X0.00,27
114/07/11,"16,300","980,503",60.00,60.50,60.00,60.50,+0.20,85
114/07/10,"7,493","450,558",60.10,60.30,60.10,60.30, 0.00,25
114/07/09,"6,067","365,496",60.30,60.30,60.00,60.30,X0.00,12
114/07/07,"4,565","274,310",60.00,60.20,60.00,60.20, 0.00,27
114/07/04,"3,036","182,649",60.10,60.20,60.10,60.20,X0.00,6
114/07/02,"4,230","254,157",60.00,60.20,60.00,60.20,+0.10,20
114/07/01,"61,074","3,658,708",59.80,60.20,59.80,60.10,+0.30,28
114/06/30,"2,015","120,292",59.60,59.80,59.60,59.80, 0.00,6
114/06/27,"2,687","160,192",59.60,59.80,59.60,59.80,X0.00,32
114/06/25,"2,081","124,102",59.50,59.80,59.50,59.80, 0.00,5
114/06/24,"16,260","969,233",59.60,59.80,59.60,59.80,X0.00,13
114/06/20,"56,077","3,347,372",59.30,59.80,59.30,59.80,+0.10,11
114/06/19,"110,565","6,591,893",59.60,59.70,59.60,59.70,X0.00,46
114/06/17,"2,401","143,030",59.60,59.70,59.60,59.70,X0.00,18
114/06/11,"14,811","882,609",59.60,59.70,59.60,59.70, 0.00,20
114/06/10,"39,435","2,350,019",59.50,59.70,59.40,59.70,+0.10,36
114/06/09,"3,099","184,272",59.30,59.60,59.30,59.60,X0.00,7
114/06/05,"22,000","1,304,800",59.10,59.60,59.10,59.60,X0.00,9
114/06/03,"3,743","222,439",59.00,59.80,59.00,59.80, 0.00,40
114/06/02,"3,399","202,703",59.60,59.80,59.60,59.80,X0.00,28
114/05/28,"8,200","486,536",59.20,59.80,59.20,59.80,X0.00,18
114/05/21,"2,118","126,506",59.70,59.80,59.70,59.80, 0.00,7
114/05/20,"16,196","964,421",59.30,59.80,59.30,59.80,X0.00,19
114/05/16,"2,598","154,882",59.70,59.80,59.70,59.80, 0.00,31
114/05/15,"9,616","572,587",59.70,59.80,59.20,59.80,X0.00,30
114/05/13,"9,817","585,153",59.20,59.80,59.20,59.80, 0.00,45
114/05/12,"2,076","124,000",59.70,59.80,59.70,59.80, 0.00,4
114/05/09,"3,207","191,459",59.70,59.80,59.70,59.80, 0.00,13
114/05/08,"2,063","123,020",59.50,59.80,59.50,59.80,+0.10,9
114/05/07,"3,975","236,315",59.60,59.70,59.60,59.70, 0.00,55
114/05/06,"6,032","359,588",59.60,59.70,59.60,59.70, 0.00,7
114/05/05,"8,143","484,317",59.60,59.70,58.70,59.70, 0.00,22
114/05/02,"6,116","361,021",58.90,59.70,58.70,59.70,+0.30,15
114/04/30,"3,015","178,883",59.30,59.40,59.30,59.40,X0.00,6
114/04/28,"2,000","118,200",58.90,59.30,58.90,59.30, 0.00,2
114/04/25,"2,000","118,500",59.20,59.30,59.20,59.30, 0.00,2
114/04/24,"1,212","71,758",59.30,59.30,59.30,59.30, 0.00,18
114/04/23,"2,944","174,267",59.20,59.30,59.20,59.30, 0.00,34
114/04/22,"4,294","254,155",59.20,59.30,59.20,59.30, 0.00,23
114/04/21,"3,007","178,012",59.10,59.30,59.10,59.30, 0.00,5
114/04/18,"1,451","85,728",59.30,59.30,59.30,59.30, 0.00,82
114/04/17,"15,941","943,131",59.20,59.30,59.20,59.30,+0.10,42
114/04/16,"7,283","430,396",59.10,59.20,59.10,59.20, 0.00,15
114/04/15,"16,171","953,708",58.70,59.20,58.70,59.20,+0.10,26
114/04/14,"22,190","1,309,435",59.00,59.20,59.00,59.10, 0.00,26
114/04/11,"25,680","1,507,222",58.70,59.10,58.60,59.10,+0.10,36
114/04/10,"14,924","878,508",58.90,59.00,58.30,59.00, 0.00,41
114/04/09,"17,957","1,051,377",58.90,59.30,57.50,59.00,-0.10,56
114/04/08,"1,164","68,593",59.10,59.10,59.10,59.10,+1.30,8
114/04/07,"28,473","1,630,644",57.00,58.50,56.50,57.80,-1.30,42
114/04/02,"2,097","123,817",59.00,59.10,59.00,59.10, 0.00,70
114/04/01,"19,059","1,118,662",58.60,59.10,58.60,59.10,-0.20,14
114/03/31,"16,758","991,049",59.20,59.30,58.60,59.30, 0.00,72
114/03/28,"4,251","251,706",59.20,59.30,59.20,59.30,X0.00,17
114/03/26,"10,022","592,193",58.90,59.30,58.90,59.30, 0.00,11
114/03/25,"2,059","121,869",59.10,59.30,59.10,59.30, 0.00,11
114/03/24,"9,794","578,409",59.00,59.30,59.00,59.30,+0.10,44
114/03/21,"1,213","71,759",59.20,59.20,59.20,59.20,+0.10,12
114/03/20,"24,371","1,437,826",59.00,59.20,58.90,59.10,-0.10,39
114/03/19,"6,710","395,948",59.00,59.20,59.00,59.20, 0.00,28
114/03/18,"3,630","214,012",58.80,59.20,58.80,59.20, 0.00,20
114/03/17,"10,330","609,649",59.20,59.20,58.90,59.20,+0.20,17
114/03/14,"29,082","1,712,886",58.80,59.00,58.80,59.00,+0.10,16
114/03/13,"14,321","841,138",58.40,58.90,58.40,58.90,X0.00,34
114/03/11,"2,043","120,210",58.80,58.90,58.80,58.90,X0.00,4
114/03/07,"1,322","77,699",58.90,58.90,58.90,58.90,+0.20,19
114/03/06,"1,753","102,676",58.70,58.70,58.70,58.70,-0.20,31
114/03/05,"1,423","83,598",58.90,58.90,58.90,58.90,+0.10,11
114/03/04,"3,274","192,296",58.80,58.80,58.70,58.80,+0.10,18
114/03/03,"4,117","240,618",58.30,58.70,58.30,58.70,+0.20,8
