日期,成交股數,成交金額,成交最高,成交最低,成交均價,成交筆數
114/08/15,34621,2457657,71.0,70.9,70.99,55
114/08/14,43004,3046949,71.0,70.7,70.85,60
114/08/13,50458,3569675,71.0,70.6,70.75,78
114/08/12,27182,1924467,71.0,70.7,70.8,53
114/08/11,58976,4178151,71.1,70.7,70.84,69
114/08/08,51388,3651241,71.5,70.9,71.05,70
114/08/07,44537,3169214,71.3,70.8,71.16,46
114/08/06,32759,2334441,71.5,71.1,71.26,57
114/08/05,14288,1020187,71.6,71.2,71.4,24
114/08/04,10029,715322,71.5,71.2,71.33,32
114/08/01,14900,1059978,71.3,70.9,71.14,45
114/07/31,22934,1632773,71.3,71.0,71.19,40
114/07/30,30331,2154297,71.5,70.8,71.03,48
114/07/29,24261,1729615,71.5,71.1,71.29,65
114/07/28,39316,2803180,71.6,71.0,71.3,62
114/07/25,10209,733471,72.2,71.6,71.85,14
114/07/24,15405,1107788,72.0,71.5,71.91,30
114/07/23,32250,2300358,72.0,71.0,71.33,41
114/07/22,37940,2725583,72.3,71.2,71.84,52
114/07/21,24682,1782978,72.4,72.1,72.24,47
114/07/18,14027,1010749,72.2,72.0,72.06,52
114/07/17,16600,1199351,72.5,72.0,72.25,28
114/07/16,38135,2749476,72.6,71.5,72.1,56
114/07/15,34444,2463514,71.6,71.4,71.52,28
114/07/14,23366,1674586,71.7,71.5,71.67,25
114/07/11,20384,1454868,71.6,71.1,71.37,37
114/07/10,17600,1251511,71.3,70.9,71.11,50
114/07/09,5271,374898,71.3,71.0,71.12,14
114/07/08,30048,2140127,72.3,71.0,71.22,62
114/07/07,28784,2060306,71.9,71.4,71.58,48
114/07/04,21845,1578075,72.6,72.0,72.24,42
114/07/03,23446,1693208,72.4,72.0,72.22,83
114/07/02,29843,2144657,72.4,71.2,71.86,62
114/07/01,40148,2879354,72.7,71.3,71.72,59
114/06/30,29102,2085326,71.8,71.3,71.66,46
114/06/27,13459,967194,72.0,71.5,71.86,23
114/06/26,15787,1141011,72.8,71.7,72.28,42
114/06/25,34719,2484050,72.7,70.8,71.55,70
114/06/24,37628,2672439,71.9,70.6,71.02,33
114/06/23,97423,6892035,71.6,70.0,70.74,141
114/06/20,20248,1457697,72.7,71.6,71.99,27
114/06/19,26188,1882245,72.7,71.5,71.87,32
114/06/18,7866,570300,72.9,72.3,72.5,48
114/06/17,36641,2648938,73.0,72.0,72.29,37
114/06/16,23575,1692810,72.3,71.5,71.81,67
114/06/13,31591,2268431,72.1,71.4,71.81,74
114/06/12,8750,629710,72.1,71.8,71.97,29
114/06/11,12921,932801,72.3,72.0,72.19,81
114/06/10,38703,2806405,73.0,71.5,72.51,57
114/06/09,30224,2175402,72.2,71.6,71.98,51
114/06/06,9564,688504,72.1,71.9,71.99,38
114/06/05,6501,467197,72.0,71.7,71.87,17
114/06/04,37204,2676977,72.5,71.8,71.95,72
114/06/03,15474,1111758,71.9,71.6,71.85,44
114/06/02,23568,1695242,72.3,71.6,71.93,48
114/05/29,56288,4069871,72.6,72.0,72.3,74
114/05/28,4722,344075,72.8,72.6,72.87,58
114/05/27,12538,914481,73.2,72.8,72.94,27
114/05/26,41415,3038729,74.0,72.8,73.37,60
114/05/23,32399,2364032,73.5,72.6,72.97,39
114/05/22,18809,1375623,73.3,73.0,73.14,68
114/05/21,32320,2361337,73.3,72.8,73.06,69
114/05/20,31312,2274262,73.0,72.5,72.63,62
114/05/19,48634,3540571,73.5,72.5,72.8,60
114/05/16,84706,6205189,74.4,72.9,73.26,102
114/05/15,43143,3150106,73.5,72.8,73.02,56
114/05/14,45042,3303769,74.4,73.0,73.35,137
114/05/13,29480,2175797,73.9,73.6,73.81,76
114/05/12,34799,2561512,73.8,73.0,73.61,55
114/05/09,32383,2382883,73.9,73.1,73.58,50
114/05/08,30657,2267619,74.2,73.7,73.97,50
114/05/07,26655,1964978,74.0,73.6,73.72,34
114/05/06,41436,3062690,74.0,73.7,73.91,54
114/05/05,36026,2652344,73.9,73.4,73.62,75
114/05/02,17961,1320343,73.9,72.9,73.51,38
114/04/30,22832,1663968,73.0,72.8,72.88,116
114/04/29,29878,2181468,73.3,72.8,73.01,49
114/04/28,30258,2203500,73.1,72.3,72.82,74
114/04/25,35640,2571916,72.4,71.7,72.16,74
114/04/24,26284,1887229,71.9,71.5,71.8,152
114/04/23,31079,2233835,72.2,71.7,71.88,48
114/04/22,4776,341889,71.9,71.3,71.58,26
114/04/21,14650,1052826,72.7,71.7,71.87,57
114/04/18,49961,3598558,73.1,71.3,72.03,90
114/04/17,34010,2437670,72.3,71.1,71.68,119
114/04/16,58511,4238370,73.6,72.0,72.44,67
114/04/15,87191,6316042,73.2,71.8,72.44,97
114/04/14,69869,5067092,73.4,71.9,72.52,117
114/04/11,61702,4508842,74.4,72.6,73.07,123
114/04/10,188352,13995925,75.0,73.0,74.31,208
114/04/09,154063,10954218,72.2,69.2,71.1,231
114/04/08,245648,17271741,71.7,68.8,70.31,243
114/04/07,443236,30569712,72.0,68.6,68.97,499
114/04/02,14608,1111791,76.2,76.0,76.11,43
114/04/01,32638,2483564,76.5,75.9,76.09,73
114/03/31,160066,12191933,77.0,75.8,76.17,247
114/03/28,52639,4056649,77.1,77.0,77.07,121
114/03/27,48590,3757327,77.6,77.2,77.33,99
114/03/26,48009,3710195,77.4,77.2,77.28,133
114/03/25,95345,7367596,77.5,77.1,77.27,201
114/03/24,122805,9534179,77.9,77.5,77.64,211
114/03/21,463149,35938678,78.1,77.1,77.6,567
114/03/20,377695,30566491,81.5,80.7,80.93,335
114/03/19,163490,13171067,80.7,80.4,80.56,95
114/03/18,163384,13169094,80.9,80.4,80.6,164
114/03/17,120577,9728090,80.8,80.5,80.68,135
114/03/14,93718,7568961,81.0,80.6,80.76,134
114/03/13,53190,4305437,81.1,80.8,80.94,88
114/03/12,50570,4093133,81.1,80.7,80.94,72
114/03/11,69725,5644571,81.3,80.6,80.95,100
114/03/10,45613,3716390,81.6,81.3,81.48,236
114/03/07,47110,3839335,81.6,81.4,81.5,174
114/03/06,145006,11800394,81.5,81.2,81.38,323
114/03/05,36213,2946368,81.5,81.1,81.36,219
114/03/04,657582,53321751,81.5,80.5,81.09,165
114/03/03,63711,5159558,81.1,80.7,80.98,166
