日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,1,1,9.12,9.12,9.12,9.12,-0.03,1,2025-08-22
114/08/21,523,478,9.14,9.15,9.14,9.15,0.03,8,2025-08-21
114/08/20,511,466,9.13,9.13,9.12,9.12,0.03,4,2025-08-20
114/08/19,549,500,9.11,9.11,9.09,9.09,-0.05,9,2025-08-19
114/08/18,547,500,9.14,9.14,9.14,9.14,-0.07,4,2025-08-18
114/08/15,615,566,9.20,9.21,9.20,9.21,-0.03,6,2025-08-15
114/08/14,"1,040",961,9.23,9.26,9.23,9.24,0.07,9,2025-08-14
114/08/13,"1,015",930,9.17,9.17,9.16,9.17,-0.04,6,2025-08-13
114/08/12,8,7,9.20,9.21,9.20,9.21,-0.01,3,2025-08-12
114/08/11,121,112,9.23,9.23,9.21,9.22,-0.03,5,2025-08-11
114/08/08,685,634,9.25,9.25,9.25,9.25,0.01,8,2025-08-08
114/08/07,452,418,9.23,9.24,9.23,9.24,-0.04,8,2025-08-07
114/08/06,500,464,9.28,9.28,9.28,9.28,-0.01,2,2025-08-06
114/08/05,500,464,9.29,9.29,9.29,9.29,0.1,2,2025-08-05
114/08/04,510,469,9.20,9.20,9.19,9.19,0.07,3,2025-08-04
114/08/01,506,461,9.12,9.12,9.12,9.12,-0.03,3,2025-08-01
114/07/31,500,458,9.15,9.15,9.15,9.15,-0.01,2,2025-07-31
114/07/30,508,465,9.16,9.16,9.16,9.16,0.12,6,2025-07-30
114/07/29,500,452,9.04,9.04,9.04,9.04,-0.02,2,2025-07-29
114/07/28,540,490,9.07,9.07,9.06,9.06,-0.01,6,2025-07-28
114/07/25,535,485,9.06,9.07,9.06,9.07,0.03,7,2025-07-25
114/07/24,515,466,9.05,9.05,9.04,9.04,-0.01,4,2025-07-24
114/07/23,517,468,9.07,9.07,9.05,9.05,0.0,7,2025-07-23
114/07/22,520,471,9.05,9.05,9.05,9.05,0.08,8,2025-07-22
114/07/21,518,465,8.97,8.97,8.97,8.97,0.0,6,2025-07-21
114/07/18,520,465,8.95,8.97,8.95,8.97,0.06,6,2025-07-18
114/07/17,606,540,8.92,8.92,8.91,8.91,-0.03,7,2025-07-17
114/07/16,529,473,8.94,8.94,8.94,8.94,-0.05,12,2025-07-16
114/07/15,515,463,8.99,8.99,8.99,8.99,-0.02,5,2025-07-15
114/07/14,"4,563","4,115",9.00,9.02,9.00,9.01,-0.11,447,2025-07-14
114/07/11,520,474,9.14,9.14,9.12,9.12,-0.02,6,2025-07-11
114/07/10,535,489,9.15,9.15,9.14,9.14,0.1,7,2025-07-10
114/07/09,"3,614","3,267",9.05,9.05,9.03,9.04,-0.01,424,2025-07-09
114/07/08,"1,424","1,290",9.09,9.09,9.05,9.05,-0.1,84,2025-07-08
114/07/07,505,462,9.15,9.15,9.15,9.15,-0.02,5,2025-07-07
114/07/04,500,458,9.17,9.17,9.17,9.17,-0.08,4,2025-07-04
114/07/03,"6,487","6,000",9.25,9.25,9.25,9.25,-0.03,423,2025-07-03
114/07/02,"4,000","3,711",9.27,9.29,9.27,9.28,0.01,450,2025-07-02
114/07/01,509,472,9.27,9.27,9.27,9.27,0.13,5,2025-07-01
114/06/30,560,512,9.15,9.15,9.14,9.14,-0.05,7,2025-06-30
114/06/27,50,46,9.22,9.22,9.19,9.19,0.02,5,2025-06-27
114/06/26,500,458,9.17,9.17,9.17,9.17,0.03,4,2025-06-26
114/06/25,644,588,9.13,9.14,9.13,9.14,0.05,17,2025-06-25
114/06/24,530,481,9.08,9.09,9.08,9.09,0.06,7,2025-06-24
114/06/23,556,502,9.03,9.03,9.03,9.03,-0.01,9,2025-06-23
114/06/20,560,506,9.04,9.04,9.04,9.04,-0.01,10,2025-06-20
114/06/19,505,457,9.05,9.05,9.05,9.05,0.02,5,2025-06-19
114/06/18,621,561,9.04,9.04,9.03,9.03,0.07,10,2025-06-18
114/06/17,530,475,8.96,8.96,8.96,8.96,-0.04,8,2025-06-17
114/06/16,540,486,9.01,9.01,9.00,9.00,-0.15,9,2025-06-16
114/06/13,597,545,9.13,9.15,9.13,9.15,0.13,16,2025-06-13
114/06/12,520,470,9.03,9.03,9.02,9.02,0.05,6,2025-06-12
114/06/11,535,481,8.99,8.99,8.97,8.97,0.0,8,2025-06-11
114/06/10,623,558,8.95,8.97,8.95,8.97,0.05,10,2025-06-10
114/06/09,570,508,8.91,8.92,8.91,8.92,-0.12,10,2025-06-09
114/06/06,647,585,9.03,9.06,9.03,9.04,0.0,18,2025-06-06
114/06/05,605,546,9.03,9.04,9.02,9.04,0.13,14,2025-06-05
114/06/04,591,527,8.92,8.92,8.91,8.91,-0.03,18,2025-06-04
114/06/03,559,498,8.90,8.94,8.90,8.94,0.01,17,2025-06-03
114/06/02,656,585,8.92,8.93,8.92,8.93,0.05,14,2025-06-02
114/05/29,513,456,8.88,8.88,8.88,8.88,-0.01,10,2025-05-29
114/05/28,519,462,8.90,8.91,8.89,8.89,0.0,14,2025-05-28
114/05/27,520,460,8.85,8.89,8.85,8.89,0.15,7,2025-05-27
114/05/26,549,480,8.75,8.75,8.74,8.74,-0.06,12,2025-05-26
114/05/23,513,452,8.81,8.81,8.80,8.80,0.06,13,2025-05-23
114/05/22,511,446,8.74,8.74,8.73,8.74,-0.13,11,2025-05-22
114/05/21,509,452,8.89,8.89,8.87,8.87,-0.13,9,2025-05-21
114/05/20,507,456,9.00,9.00,9.00,9.00,0.12,7,2025-05-20
114/05/19,509,454,8.91,8.91,8.88,8.88,-0.14,9,2025-05-19
114/05/16,506,456,9.02,9.02,9.02,9.02,0.1,6,2025-05-16
114/05/15,"1,033",921,8.91,8.92,8.90,8.92,-0.05,344,2025-05-15
114/05/14,502,450,8.97,8.97,8.97,8.97,-0.02,6,2025-05-14
114/05/13,505,454,9.00,9.00,8.99,8.99,-0.05,7,2025-05-13
114/05/12,500,452,9.04,9.04,9.04,9.04,-0.04,4,2025-05-12
114/05/09,515,468,9.12,9.12,9.07,9.08,-0.08,7,2025-05-09
114/05/08,505,463,9.15,9.16,9.15,9.16,0.02,5,2025-05-08
114/05/07,308,281,9.06,9.14,9.06,9.14,0.08,7,2025-05-07
114/05/06,508,460,9.06,9.06,9.06,9.06,-0.05,12,2025-05-06
114/05/05,500,456,9.11,9.11,9.11,9.11,-0.11,10,2025-05-05
114/05/02,500,461,9.22,9.22,9.22,9.22,-0.14,4,2025-05-02
114/04/30,520,487,9.35,9.36,9.35,9.36,0.07,6,2025-04-30
114/04/29,533,495,9.28,9.29,9.28,9.29,0.03,13,2025-04-29
114/04/28,547,507,9.26,9.27,9.26,9.26,0.1,17,2025-04-28
114/04/25,540,494,9.14,9.16,9.14,9.16,0.05,12,2025-04-25
114/04/24,524,477,9.11,9.11,9.11,9.11,0.0,13,2025-04-24
114/04/23,510,465,9.11,9.11,9.11,9.11,0.18,6,2025-04-23
114/04/22,510,456,8.94,8.94,8.93,8.93,-0.07,5,2025-04-22
114/04/21,529,478,9.04,9.04,9.00,9.00,-0.13,14,2025-04-21
114/04/18,505,461,9.13,9.13,9.13,9.13,-0.02,11,2025-04-18
114/04/17,529,484,9.15,9.16,9.14,9.15,0.05,9,2025-04-17
114/04/16,524,477,9.12,9.12,9.10,9.10,-0.03,10,2025-04-16
114/04/15,520,474,9.06,9.13,9.06,9.13,0.12,5,2025-04-15
114/04/14,515,463,8.99,9.01,8.99,9.01,0.06,7,2025-04-14
114/04/11,718,641,8.92,8.95,8.92,8.95,-0.31,10,2025-04-11
114/04/10,"1,354","1,248",9.21,9.26,9.21,9.26,0.24,15,2025-04-10
114/04/09,28,25,9.02,9.02,8.98,9.02,-0.34,4,2025-04-09
114/04/08,"1,003",939,9.41,9.41,9.36,9.36,-0.27,17,2025-04-08
114/04/07,0,0,--,--,--,--,0.0,0,2025-04-07
114/04/02,515,488,9.47,9.47,9.47,9.47,0.03,8,2025-04-02
114/04/01,706,666,9.43,9.44,9.43,9.44,0.05,8,2025-04-01
114/03/31,692,650,9.41,9.41,9.39,9.39,0.15,9,2025-03-31
114/03/28,527,486,9.23,9.24,9.23,9.24,0.01,10,2025-03-28
114/03/27,510,471,9.23,9.23,9.23,9.23,-0.03,9,2025-03-27
114/03/26,526,488,9.27,9.27,9.26,9.26,-0.03,11,2025-03-26
114/03/25,544,505,9.28,9.29,9.28,9.29,-0.07,9,2025-03-25
114/03/24,542,507,9.37,9.37,9.36,9.36,-0.07,14,2025-03-24
114/03/21,512,483,9.43,9.43,9.43,9.43,-0.03,5,2025-03-21
114/03/20,535,506,9.46,9.46,9.46,9.46,0.08,6,2025-03-20
114/03/19,709,665,9.38,9.38,9.38,9.38,-0.01,12,2025-03-19
114/03/18,506,475,9.39,9.39,9.39,9.39,0.05,8,2025-03-18
114/03/17,509,475,9.34,9.34,9.34,9.34,0.0,7,2025-03-17
114/03/14,531,496,9.35,9.35,9.34,9.34,0.02,6,2025-03-14
114/03/13,545,507,9.31,9.32,9.31,9.32,-0.04,21,2025-03-13
114/03/12,545,510,9.35,9.36,9.35,9.36,-0.13,14,2025-03-12
114/03/11,595,564,9.51,9.51,9.48,9.49,0.12,31,2025-03-11
114/03/10,520,487,9.37,9.37,9.37,9.37,-0.04,14,2025-03-10
114/03/07,618,582,9.40,9.41,9.40,9.41,0.07,21,2025-03-07
114/03/06,557,521,9.35,9.35,9.34,9.34,-0.08,10,2025-03-06
114/03/05,944,889,9.44,9.44,9.41,9.42,-0.13,22,2025-03-05
114/03/04,850,814,9.59,9.59,9.55,9.55,0.07,17,2025-03-04
