日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,"4,189","126,167",30.00,30.20,30.00,30.13,0.13,979,2025-08-22
114/08/21,"2,893","86,682",29.80,30.02,29.80,30.00,0.23,704,2025-08-21
114/08/20,"5,535","164,839",29.62,29.82,29.62,29.77,0.18,994,2025-08-20
114/08/19,"2,358","69,775",29.52,29.62,29.52,29.59,0.07,651,2025-08-19
114/08/18,"1,859","54,905",29.55,29.56,29.51,29.52,-0.04,709,2025-08-18
114/08/15,"2,905","85,935",29.55,29.60,29.55,29.56,0.07,598,2025-08-15
114/08/14,"3,134","92,459",29.55,29.56,29.47,29.49,-0.02,694,2025-08-14
114/08/13,"2,337","68,917",29.46,29.54,29.43,29.51,0.06,600,2025-08-13
114/08/12,"1,726","50,824",29.40,29.46,29.40,29.45,0.07,492,2025-08-12
114/08/11,"2,211","65,000",29.37,29.45,29.37,29.38,0.01,621,2025-08-11
114/08/08,"1,725","50,609",29.33,29.37,29.30,29.37,0.04,427,2025-08-08
114/08/07,"5,221","153,220",29.47,29.47,29.26,29.33,-0.14,942,2025-08-07
114/08/06,"3,562","104,905",29.42,29.48,29.42,29.47,0.07,533,2025-08-06
114/08/05,"3,159","92,873",29.37,29.44,29.36,29.40,0.08,575,2025-08-05
114/08/04,"5,870","172,352",29.35,29.47,29.32,29.32,-0.02,889,2025-08-04
114/08/01,"4,411","129,686",29.39,29.46,29.31,29.34,0.01,770,2025-08-01
114/07/31,"4,333","126,984",29.22,29.37,29.18,29.33,0.19,763,2025-07-31
114/07/30,"2,719","79,178",29.11,29.15,29.10,29.14,0.05,488,2025-07-30
114/07/29,"4,410","128,209",28.98,29.11,28.98,29.09,0.19,570,2025-07-29
114/07/28,"1,604","46,319",28.88,28.90,28.85,28.90,0.07,471,2025-07-28
114/07/25,"1,120","32,303",28.82,28.85,28.80,28.83,0.12,318,2025-07-25
114/07/24,"1,098","31,519",28.75,28.75,28.67,28.71,-0.05,564,2025-07-24
114/07/23,"1,525","43,911",28.81,28.83,28.74,28.76,-0.06,696,2025-07-23
114/07/22,"1,371","39,502",28.85,28.85,28.77,28.82,-0.05,676,2025-07-22
114/07/21,"2,060","59,409",28.82,28.87,28.80,28.87,0.06,606,2025-07-21
114/07/18,"3,668","106,722",29.14,29.14,29.04,29.12,-0.02,638,2025-07-18
114/07/17,"3,770","109,871",29.07,29.17,29.07,29.14,0.09,539,2025-07-17
114/07/16,"2,765","80,258",29.00,29.05,29.00,29.05,0.04,424,2025-07-16
114/07/15,"1,145","33,232",29.00,29.06,28.99,29.01,0.08,367,2025-07-15
114/07/14,"1,207","34,923",28.93,28.94,28.87,28.93,-0.01,419,2025-07-14
114/07/11,"1,465","42,382",28.94,28.98,28.91,28.94,0.01,416,2025-07-11
114/07/10,"1,918","55,438",28.89,28.94,28.84,28.93,0.16,416,2025-07-10
114/07/09,760,"21,876",28.76,28.78,28.74,28.77,0.04,335,2025-07-09
114/07/08,975,"28,010",28.72,28.79,28.71,28.73,0.01,394,2025-07-08
114/07/07,"2,965","85,102",28.58,28.74,28.58,28.72,0.17,544,2025-07-07
114/07/04,"1,573","44,916",28.59,28.59,28.53,28.55,-0.04,697,2025-07-04
114/07/03,"3,400","97,269",28.70,28.70,28.57,28.59,-0.16,"1,189",2025-07-03
114/07/02,"4,165","119,784",28.88,28.89,28.70,28.75,-0.14,"3,665",2025-07-02
114/07/01,"2,893","83,579",28.86,28.96,28.83,28.89,0.07,580,2025-07-01
114/06/30,"2,454","70,610",28.63,28.85,28.63,28.82,0.20,644,2025-06-30
114/06/27,"3,463","99,339",28.87,28.87,28.60,28.62,-0.25,"1,477",2025-06-27
114/06/26,"2,685","77,641",29.09,29.09,28.85,28.87,-0.23,"1,429",2025-06-26
114/06/25,"1,321","38,424",29.13,29.13,29.03,29.10,-0.06,613,2025-06-25
114/06/24,"1,221","35,625",29.30,29.30,29.15,29.16,-0.11,514,2025-06-24
114/06/23,"1,549","45,258",29.11,29.27,29.11,29.27,0.16,475,2025-06-23
114/06/20,866,"25,193",29.16,29.16,29.06,29.11,-0.05,394,2025-06-20
114/06/19,"1,038","30,246",29.09,29.17,29.08,29.16,0.07,337,2025-06-19
114/06/18,574,"16,686",29.14,29.14,29.05,29.09,0.05,285,2025-06-18
114/06/17,"1,891","54,924",29.04,29.07,29.00,29.04,-0.04,630,2025-06-17
114/06/16,"2,243","65,333",29.20,29.23,29.07,29.08,-0.12,811,2025-06-16
114/06/13,"2,685","78,222",29.25,29.25,29.07,29.20,-0.05,801,2025-06-13
114/06/12,"3,043","89,065",29.41,29.41,29.20,29.25,-0.16,953,2025-06-12
114/06/11,"1,313","38,612",29.45,29.47,29.39,29.41,-0.04,500,2025-06-11
114/06/10,890,"26,192",29.46,29.46,29.42,29.45,-0.01,385,2025-06-10
114/06/09,842,"24,812",29.46,29.47,29.44,29.46,0.00,402,2025-06-09
114/06/06,"1,342","39,527",29.48,29.48,29.44,29.46,-0.02,354,2025-06-06
114/06/05,"1,181","34,789",29.54,29.55,29.42,29.48,-0.06,487,2025-06-05
114/06/04,"1,113","32,837",29.52,29.54,29.49,29.54,0.02,295,2025-06-04
114/06/03,"1,048","30,918",29.49,29.53,29.47,29.52,0.03,297,2025-06-03
114/06/02,"2,122","62,591",29.46,29.54,29.39,29.49,0.01,583,2025-06-02
114/05/29,979,"28,842",29.41,29.50,29.41,29.48,0.09,333,2025-05-29
114/05/28,"1,258","37,004",29.41,29.43,29.36,29.39,0.05,340,2025-05-28
114/05/27,"1,193","34,955",29.28,29.34,29.21,29.34,0.09,368,2025-05-27
114/05/26,"1,730","50,676",29.42,29.42,29.23,29.25,-0.17,722,2025-05-26
114/05/23,"1,055","31,067",29.49,29.49,29.42,29.42,-0.02,501,2025-05-23
114/05/22,"2,488","73,228",29.54,29.54,29.40,29.44,-0.16,847,2025-05-22
114/05/21,"1,368","40,461",29.60,29.60,29.54,29.60,-0.04,521,2025-05-21
114/05/20,774,"22,945",29.60,29.67,29.58,29.64,0.04,352,2025-05-20
114/05/19,"2,265","66,949",29.59,29.61,29.53,29.60,0.01,616,2025-05-19
114/05/16,"1,758","52,002",29.64,29.67,29.56,29.59,0.01,571,2025-05-16
114/05/15,"1,629","48,198",29.71,29.71,29.54,29.58,-0.16,803,2025-05-15
114/05/14,"2,117","62,977",29.82,29.82,29.70,29.74,-0.08,729,2025-05-14
114/05/13,"2,194","65,260",29.68,29.84,29.66,29.82,0.18,536,2025-05-13
114/05/12,"3,514","104,113",29.62,29.68,29.57,29.64,0.02,614,2025-05-12
114/05/09,"3,123","92,823",29.73,29.83,29.56,29.62,-0.13,948,2025-05-09
114/05/08,"1,804","53,690",29.77,29.82,29.73,29.75,0.03,580,2025-05-08
114/05/07,"2,029","60,297",29.60,29.78,29.60,29.72,0.15,708,2025-05-07
114/05/06,"5,348","157,882",29.10,29.68,29.10,29.57,0.47,"1,455",2025-05-06
114/05/05,"16,548","483,637",30.36,30.37,28.95,29.10,-1.73,"4,386",2025-05-05
114/05/02,"11,894","369,778",31.46,31.55,30.67,30.83,-0.66,"3,235",2025-05-02
114/04/30,"7,241","228,934",31.82,31.84,31.47,31.49,-0.29,"2,209",2025-04-30
114/04/29,"4,695","149,511",31.99,31.99,31.78,31.78,-0.16,"1,508",2025-04-29
114/04/28,"3,771","120,472",31.97,31.99,31.92,31.94,0.00,"1,033",2025-04-28
114/04/25,"3,430","109,614",32.00,32.01,31.93,31.94,0.01,907,2025-04-25
114/04/24,"2,609","83,332",32.00,32.00,31.92,31.93,0.00,500,2025-04-24
114/04/23,"4,518","144,508",32.18,32.19,31.92,31.93,0.02,"1,213",2025-04-23
114/04/22,"2,845","91,710",32.22,32.28,32.19,32.26,0.04,663,2025-04-22
114/04/21,"3,267","105,498",32.33,32.38,32.21,32.22,-0.18,"1,157",2025-04-21
114/04/18,"1,122","36,310",32.29,32.42,32.27,32.40,0.11,487,2025-04-18
114/04/17,"2,116","68,280",32.24,32.30,32.21,32.29,0.04,612,2025-04-17
114/04/16,"3,244","104,741",32.26,32.33,32.25,32.25,0.05,851,2025-04-16
114/04/15,"4,250","136,710",32.10,32.22,32.09,32.20,0.10,846,2025-04-15
114/04/14,"6,300","202,014",32.15,32.15,32.00,32.10,-0.36,"1,872",2025-04-14
114/04/11,"4,763","154,670",32.55,32.56,32.44,32.46,-0.11,"1,171",2025-04-11
114/04/10,"6,588","214,131",32.46,32.62,32.34,32.57,-0.06,"1,388",2025-04-10
114/04/09,"12,215","398,910",32.70,32.74,32.58,32.63,-0.05,"1,810",2025-04-09
114/04/08,"7,033","229,844",32.82,32.83,32.60,32.68,-0.27,"1,587",2025-04-08
114/04/07,"8,749","288,896",33.10,33.12,32.94,32.95,0.05,"2,145",2025-04-07
114/04/02,"3,854","126,805",32.94,32.94,32.86,32.90,-0.04,910,2025-04-02
114/04/01,"1,810","59,541",32.87,32.95,32.87,32.94,0.10,530,2025-04-01
114/03/31,"4,004","131,505",32.80,32.89,32.80,32.84,0.05,"1,008",2025-03-31
114/03/28,"2,361","77,347",32.73,32.79,32.73,32.79,0.10,579,2025-03-28
114/03/27,"2,492","81,564",32.69,32.75,32.68,32.69,0.00,653,2025-03-27
114/03/26,"1,254","40,989",32.65,32.70,32.65,32.69,0.05,388,2025-03-26
114/03/25,"1,720","56,151",32.64,32.65,32.61,32.64,0.01,458,2025-03-25
114/03/24,"1,421","46,364",32.61,32.64,32.60,32.63,0.02,474,2025-03-24
114/03/21,"1,426","46,492",32.57,32.62,32.57,32.61,0.04,367,2025-03-21
114/03/20,"1,993","64,965",32.55,32.63,32.55,32.57,0.00,500,2025-03-20
114/03/19,"2,086","67,958",32.55,32.60,32.55,32.57,0.03,605,2025-03-19
114/03/18,"2,416","78,630",32.55,32.58,32.53,32.54,0.00,491,2025-03-18
