日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,446,"13,667",30.59,30.67,30.59,30.67,0.11,116
114/08/07,306,"9,352",30.6,30.6,30.52,30.56,-0.17,93
114/08/06,236,"7,260",30.74,30.75,30.73,30.73,0.01,86
114/08/05,246,"7,539",30.53,30.73,30.53,30.72,0.36,103
114/08/04,316,"9,585",30.37,30.39,30.33,30.36,-0.01,95
114/08/01,536,"16,282",30.41,30.46,30.35,30.37,-0.09,43
114/08/01,536,"16,282",30.41,30.46,30.35,30.37,-0.09,43
114/07/31,480,"14,595",30.32,30.46,30.3,30.46,0.15,41
114/07/31,480,"14,595",30.32,30.46,30.3,30.46,0.15,41
114/07/30,508,"15,369",30.24,30.31,30.24,30.31,0.34,111
114/07/30,508,"15,369",30.24,30.31,30.24,30.31,0.34,111
114/07/29,"1,017","30,451",29.87,29.98,29.87,29.97,0.13,110
114/07/29,"1,017","30,451",29.87,29.98,29.87,29.97,0.13,110
114/07/28,824,"24,586",29.77,29.87,29.77,29.84,0.11,117
114/07/28,824,"24,586",29.77,29.87,29.77,29.84,0.11,117
114/07/25,682,"20,277",29.6,29.74,29.6,29.73,0.25,36
114/07/25,682,"20,277",29.6,29.74,29.6,29.73,0.25,36
114/07/24,469,"13,828",29.48,29.52,29.48,29.48,-0.03,84
114/07/24,469,"13,828",29.48,29.52,29.48,29.48,-0.03,84
114/07/23,595,"17,579",29.6,29.6,29.51,29.51,-0.07,110
114/07/23,595,"17,579",29.6,29.6,29.51,29.51,-0.07,110
114/07/22,353,"10,452",29.55,29.6,29.55,29.58,0.11,96
114/07/22,353,"10,452",29.55,29.6,29.55,29.58,0.11,96
114/07/21,393,"11,567",29.42,29.49,29.37,29.47,0.05,89
114/07/21,393,"11,567",29.42,29.49,29.37,29.47,0.05,89
114/07/18,"1,141","33,494",29.33,29.42,29.32,29.42,0.2,71
114/07/18,"1,141","33,494",29.33,29.42,29.32,29.42,0.2,71
114/07/17,318,"9,290",29.24,29.24,29.22,29.22,-0.02,75
114/07/17,318,"9,290",29.24,29.24,29.22,29.22,-0.02,75
114/07/16,566,"16,533",29.17,29.24,29.17,29.24,-0.02,73
114/07/16,566,"16,533",29.17,29.24,29.17,29.24,-0.02,73
114/07/15,178,"5,208",29.27,29.27,29.24,29.26,0.07,82
114/07/15,178,"5,208",29.27,29.27,29.24,29.26,0.07,82
114/07/14,177,"5,169",29.41,29.41,29.15,29.19,-0.34,49
114/07/14,177,"5,169",29.41,29.41,29.15,29.19,-0.34,49
