日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/08,355,"10,609",29.9,30.1,29.7,29.8,-0.2,461
114/08/07,162,"4,857",30.1,30.1,29.9,30.0,-0.15,187
114/08/06,98,"2,952",30.1,30.3,30.05,30.15,-0.1,156
114/08/05,182,"5,484",30.2,30.3,30.0,30.25,0.1,229
114/08/04,113,"3,391",29.85,30.15,29.85,30.15,0.2,185
114/08/01,116,"3,475",29.7,30.0,29.5,29.95,0.05,149
114/08/01,116,"3,475",29.7,30.0,29.5,29.95,0.05,149
114/07/31,158,"4,718",30.35,30.35,29.8,29.9,0.0,220
114/07/31,158,"4,718",30.35,30.35,29.8,29.9,0.0,220
114/07/30,126,"3,776",30.0,30.05,29.9,29.9,-0.15,191
114/07/30,126,"3,776",30.0,30.05,29.9,29.9,-0.15,191
114/07/29,283,"8,461",30.0,30.15,29.7,30.05,-0.1,379
114/07/29,283,"8,461",30.0,30.15,29.7,30.05,-0.1,379
114/07/28,172,"5,167",30.1,30.15,29.9,30.15,0.05,356
114/07/28,172,"5,167",30.1,30.15,29.9,30.15,0.05,356
114/07/25,184,"5,536",30.1,30.1,29.85,30.1,0.0,402
114/07/25,184,"5,536",30.1,30.1,29.85,30.1,0.0,402
114/07/24,102,"3,055",30.05,30.2,29.9,30.1,0.1,107
114/07/24,102,"3,055",30.05,30.2,29.9,30.1,0.1,107
114/07/23,149,"4,477",30.0,30.2,29.9,30.0,0.05,131
114/07/23,149,"4,477",30.0,30.2,29.9,30.0,0.05,131
114/07/22,160,"4,809",30.35,30.35,29.85,29.95,-0.35,203
114/07/22,160,"4,809",30.35,30.35,29.85,29.95,-0.35,203
114/07/21,114,"3,464",30.7,30.7,30.25,30.3,-0.1,101
114/07/21,114,"3,464",30.7,30.7,30.25,30.3,-0.1,101
114/07/18,100,"3,057",30.45,30.75,30.4,30.4,0.0,163
114/07/18,100,"3,057",30.45,30.75,30.4,30.4,0.0,163
114/07/17,55,"1,669",30.25,30.4,30.25,30.4,0.2,82
114/07/17,55,"1,669",30.25,30.4,30.25,30.4,0.2,82
114/07/16,113,"3,414",30.15,30.3,30.15,30.2,0.05,119
114/07/16,113,"3,414",30.15,30.3,30.15,30.2,0.05,119
114/07/15,81,"2,448",30.25,30.25,30.05,30.15,0.0,106
114/07/15,81,"2,448",30.25,30.25,30.05,30.15,0.0,106
114/07/14,49,"1,485",30.25,30.4,30.15,30.15,-0.25,95
114/07/14,49,"1,485",30.25,30.4,30.15,30.15,-0.25,95
114/07/11,110,"3,348",30.35,30.45,30.25,30.4,0.15,123
114/07/11,110,"3,348",30.35,30.45,30.25,30.4,0.15,123
114/07/10,84,"2,528",30.05,30.35,30.05,30.25,0.25,98
114/07/10,84,"2,528",30.05,30.35,30.05,30.25,0.25,98
114/07/09,277,"8,287",29.85,30.2,29.7,30.0,-0.2,258
114/07/09,277,"8,287",29.85,30.2,29.7,30.0,-0.2,258
114/07/08,88,"2,666",30.3,30.35,30.1,30.2,-0.3,137
114/07/08,88,"2,666",30.3,30.35,30.1,30.2,-0.3,137
114/07/07,108,"3,275",30.5,30.5,30.25,30.5,-0.05,140
114/07/07,108,"3,275",30.5,30.5,30.25,30.5,-0.05,140
114/07/04,149,"4,514",30.55,30.6,30.2,30.55,-0.05,181
114/07/04,149,"4,514",30.55,30.6,30.2,30.55,-0.05,181
114/07/03,100,"3,074",30.9,30.9,30.6,30.6,0.05,118
114/07/03,100,"3,074",30.9,30.9,30.6,30.6,0.05,118
114/07/02,93,"2,823",30.15,30.8,30.15,30.55,0.3,122
114/07/02,93,"2,823",30.15,30.8,30.15,30.55,0.3,122
114/07/01,195,"5,889",30.2,30.6,30.2,30.25,0.0,186
114/07/01,195,"5,889",30.2,30.6,30.2,30.25,0.0,186
114/06/30,138,"4,201",30.65,30.7,30.2,30.25,-0.4,181
