日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數,日期
114/08/22,54,"2,257",44.0,44.0,41.35,41.55,-0.45,64,2025-08-22
114/08/21,55,"2,333",42.25,43.25,41.8,42.0,0.25,58,2025-08-21
114/08/20,171,"7,146",42.85,42.85,40.9,41.75,-1.1,125,2025-08-20
114/08/19,140,"6,078",44.2,44.2,42.7,42.85,-1.35,161,2025-08-19
114/08/18,67,"2,986",44.6,44.95,44.2,44.2,-0.25,63,2025-08-18
114/08/15,63,"2,772",43.8,44.6,43.5,44.45,0.4,98,2025-08-15
114/08/14,175,"7,755",45.15,45.2,43.75,44.05,-1.0,250,2025-08-14
114/08/13,90,"4,040",45.25,45.65,44.5,45.05,0.0,89,2025-08-13
114/08/12,45,"2,053",45.05,46.2,45.0,45.05,0.3,49,2025-08-12
114/08/11,142,"6,438",46.85,46.85,44.5,44.75,-2.35,147,2025-08-11
114/08/08,19,917,47.75,47.75,47.1,47.1,-0.75,26,2025-08-08
114/08/07,97,"4,702",49.9,49.9,47.5,47.85,-1.65,97,2025-08-07
114/08/06,104,"5,171",50.0,50.7,49.4,49.5,0.35,145,2025-08-06
114/08/05,199,"9,559",47.05,50.7,46.3,49.15,2.15,189,2025-08-05
114/08/04,39,"1,830",46.7,47.3,46.5,47.0,0.0,42,2025-08-04
114/08/01,41,"1,925",46.5,47.3,46.1,47.0,0.5,50,2025-08-01
114/07/31,57,"2,663",46.9,46.9,46.05,46.5,-0.35,69,2025-07-31
114/07/30,42,"1,978",47.55,47.55,46.6,46.85,-0.55,49,2025-07-30
114/07/29,23,"1,109",47.25,47.75,46.8,47.4,-0.1,29,2025-07-29
114/07/28,52,"2,489",47.95,48.0,47.4,47.5,-0.6,51,2025-07-28
114/07/25,67,"3,202",49.0,49.0,47.95,48.1,-0.85,59,2025-07-25
114/07/24,13,607,48.55,49.0,48.0,48.95,-0.15,64,2025-07-24
114/07/23,2,118,48.25,49.1,48.25,49.1,0.85,23,2025-07-23
114/07/22,14,690,48.95,48.95,48.0,48.25,-1.05,71,2025-07-22
114/07/21,37,"1,814",49.0,49.6,48.4,49.3,0.8,25,2025-07-21
114/07/18,184,"8,883",49.5,49.7,47.8,48.5,-0.4,176,2025-07-18
114/07/17,102,"5,015",49.25,49.85,48.9,48.9,-0.3,69,2025-07-17
114/07/16,33,"1,632",48.9,49.4,48.5,49.2,0.3,39,2025-07-16
114/07/15,163,"8,021",50.4,51.1,48.35,48.9,-1.1,139,2025-07-15
114/07/14,106,"5,349",51.6,51.6,48.05,50.0,-1.8,97,2025-07-14
114/07/11,42,"2,198",52.7,52.9,51.8,51.8,-1.1,25,2025-07-11
114/07/10,32,"1,670",52.1,53.0,51.9,52.9,0.9,26,2025-07-10
114/07/09,15,786,52.4,52.7,51.8,52.0,-0.5,17,2025-07-09
114/07/08,34,"1,807",53.1,53.6,52.4,52.5,-0.9,26,2025-07-08
114/07/07,128,"6,959",54.0,55.2,53.4,53.4,-0.6,81,2025-07-07
114/07/04,29,"1,542",52.6,54.0,52.2,54.0,1.0,28,2025-07-04
114/07/03,78,"4,162",54.3,54.3,52.9,53.0,-0.6,80,2025-07-03
114/07/02,48,"2,574",52.0,54.0,52.0,53.6,1.8,56,2025-07-02
114/07/01,33,"1,722",51.5,52.3,51.5,51.8,0.3,32,2025-07-01
114/06/30,39,"2,057",53.2,53.2,51.5,51.5,-2.1,73,2025-06-30
114/06/27,109,"6,028",54.8,57.0,53.6,53.6,-0.5,218,2025-06-27
114/06/26,24,"1,299",53.8,54.5,53.8,54.1,0.3,29,2025-06-26
114/06/25,18,985,53.5,54.0,53.5,53.8,0.4,42,2025-06-25
114/06/24,20,"1,074",53.3,53.7,52.4,53.4,1.7,29,2025-06-24
114/06/23,29,"1,476",51.6,52.2,51.5,51.7,-1.6,30,2025-06-23
114/06/20,142,"7,490",54.7,54.7,51.4,53.3,-1.4,146,2025-06-20
114/06/19,101,"5,578",55.3,55.3,54.7,54.7,-0.9,118,2025-06-19
114/06/18,164,"9,118",55.0,56.4,54.6,55.6,1.0,150,2025-06-18
