日 期,成交張數,成交仟元,開盤,最高,最低,收盤,漲跌,筆數
114/08/01,6,282,47.00,47.10,47.00,47.10,-0.2,4
114/07/31,0,0,--,--,--,--,0.0,0
114/07/30,0,0,--,--,--,--,0.0,0
114/07/29,0,3,--,--,--,--,0.0,2
114/07/28,2,95,47.35,47.35,47.35,47.35,0.0,2
114/07/25,25,"1,181",47.20,47.35,47.20,47.35,0.15,4
114/07/24,3,142,47.10,47.20,47.10,47.20,0.1,3
114/07/23,20,942,47.10,47.10,47.10,47.10,0.1,1
114/07/22,2,94,47.00,47.00,47.00,47.00,0.0,2
114/07/21,10,470,47.00,47.00,47.00,47.00,0.0,4
114/07/18,10,470,47.05,47.05,47.00,47.00,-0.1,8
114/07/17,13,621,47.10,47.10,47.05,47.10,0.05,9
114/07/16,30,"1,415",47.35,47.35,47.05,47.05,-0.3,27
114/07/15,8,379,47.30,47.35,47.30,47.35,0.0,8
114/07/14,24,"1,137",47.45,47.45,47.35,47.35,-0.1,21
114/07/11,3,142,47.45,47.45,47.45,47.45,0.0,2
114/07/10,18,860,47.45,47.45,47.45,47.45,0.0,10
114/07/09,4,190,47.45,47.45,47.45,47.45,-0.05,4
114/07/08,8,380,47.45,47.50,47.45,47.50,0.0,6
114/07/07,15,715,47.45,47.50,47.45,47.50,0.0,10
114/07/04,39,"1,850",47.40,47.90,47.40,47.50,0.1,9
114/07/03,34,"1,611",47.40,47.40,47.35,47.40,0.05,5
114/07/02,46,"2,179",47.35,47.40,47.35,47.35,0.0,17
114/07/01,31,"1,489",47.35,47.50,47.35,47.35,0.05,11
114/06/30,32,"1,517",47.50,47.50,47.30,47.30,-0.2,12
114/06/27,23,"1,095",47.80,47.80,47.50,47.50,0.4,18
114/06/26,27,"1,327",49.15,49.25,49.00,49.00,-0.15,21
114/06/25,41,"2,017",49.10,49.15,49.10,49.15,0.0,13
114/06/24,8,393,49.15,49.15,49.15,49.15,0.05,3
114/06/23,0,0,--,--,--,--,0.0,0
114/06/20,5,246,49.10,49.10,49.10,49.10,-0.15,1
114/06/19,3,148,49.25,49.25,49.25,49.25,0.0,2
114/06/18,0,0,--,--,--,--,0.0,0
114/06/17,1,49,49.25,49.25,49.25,49.25,0.0,1
114/06/16,1,49,49.25,49.25,49.25,49.25,0.05,1
114/06/13,3,148,49.20,49.20,49.20,49.20,0.0,2
114/06/12,8,394,49.20,49.20,49.20,49.20,-0.2,5
114/06/11,0,13,--,--,--,--,0.0,2
