股票代號,股票名稱,上市日,市場別,產業別,鉅亨網網址,價格,漲跌,漲跌幅度(%),資料來源
006201,元大富櫃50,2011/01/27,上櫃,,https://www.cnyes.com/twstock/006201,20.34,-0.08,-0.39%,鉅亨
00679B,元大美債20年,2017/01/17,上櫃,,https://www.cnyes.com/twstock/00679B,25.10,+0.22,+0.88%,鉅亨
00687B,國泰20年美債,2017/04/13,上櫃,,https://www.cnyes.com/twstock/00687B,26.06,+0.24,+0.93%,鉅亨
00687C,國泰20年美債+櫃U,2025/01/10,上櫃,,https://www.cnyes.com/twstock/00687C,9.07,+0.03,+0.33%,鉅亨
00694B,富邦美債1-3年,2017/06/08,上櫃,,https://www.cnyes.com/twstock/00694B,38.47,+0.19,+0.50%,鉅亨
00695B,富邦美債7-10年,2017/06/08,上櫃,,https://www.cnyes.com/twstock/00695B,32.51,+0.17,+0.53%,鉅亨
00696B,富邦美債20年,2017/06/08,上櫃,,https://www.cnyes.com/twstock/00696B,26.99,+0.22,+0.82%,鉅亨
00697B,元大美債7-10,2017/06/23,上櫃,,https://www.cnyes.com/twstock/00697B,33.12,+0.17,+0.52%,鉅亨
00719B,元大美債1-3,2018/02/01,上櫃,,https://www.cnyes.com/twstock/00719B,28.83,+0.12,+0.42%,鉅亨
00720B,元大投資級公司債,2018/02/01,上櫃,,https://www.cnyes.com/twstock/00720B,30.90,+0.23,+0.75%,鉅亨
00722B,群益投資級電信債,2017/12/15,上櫃,,https://www.cnyes.com/twstock/00722B,34.03,+0.27,+0.80%,鉅亨
00723B,群益投資級科技債,2017/12/15,上櫃,,https://www.cnyes.com/twstock/00723B,29.50,+0.23,+0.79%,鉅亨
00724B,群益投資級金融債,2017/12/15,上櫃,,https://www.cnyes.com/twstock/00724B,31.45,+0.26,+0.83%,鉅亨
00725B,國泰投資級公司債,2018/02/07,上櫃,,https://www.cnyes.com/twstock/00725B,32.80,+0.25,+0.77%,鉅亨
00726B,國泰新興投等債,2018/02/07,上櫃,,https://www.cnyes.com/twstock/00726B,31.02,+0.13,+0.42%,鉅亨
00727B,國泰優選非投等債,2018/02/07,上櫃,,https://www.cnyes.com/twstock/00727B,37.15,+0.18,+0.49%,鉅亨
00734B,台新JPM新興債,2018/05/24,上櫃,,https://www.cnyes.com/twstock/00734B,14.32,+0.10,+0.70%,鉅亨
00740B,富邦全球投等債,2018/06/08,上櫃,,https://www.cnyes.com/twstock/00740B,36.16,+0.26,+0.72%,鉅亨
00741B,富邦全球非投等債,2018/06/08,上櫃,,https://www.cnyes.com/twstock/00741B,35.41,+0.17,+0.48%,鉅亨
00746B,富邦A級公司債,2018/08/15,上櫃,,https://www.cnyes.com/twstock/00746B,33.01,+0.23,+0.70%,鉅亨
00749B,凱基新興債10+,2018/09/20,上櫃,,https://www.cnyes.com/twstock/00749B,28.59,+0.18,+0.63%,鉅亨
00750B,凱基科技債10+,2018/09/20,上櫃,,https://www.cnyes.com/twstock/00750B,31.34,+0.16,+0.51%,鉅亨
00751B,元大AAA至A公司債,2018/10/03,上櫃,,https://www.cnyes.com/twstock/00751B,29.86,+0.23,+0.78%,鉅亨
00754B,群益AAA-AA公司債,2018/10/22,上櫃,,https://www.cnyes.com/twstock/00754B,32.16,+0.25,+0.78%,鉅亨
00755B,群益投資級公用債,2018/10/22,上櫃,,https://www.cnyes.com/twstock/00755B,30.78,+0.22,+0.72%,鉅亨
00756B,群益投等新興公債,2018/10/22,上櫃,,https://www.cnyes.com/twstock/00756B,29.18,+0.23,+0.79%,鉅亨
00758B,復華能源債,2018/11/14,上櫃,,https://www.cnyes.com/twstock/00758B,47.15,+0.38,+0.81%,鉅亨
00759B,復華製藥債,2018/11/14,上櫃,,https://www.cnyes.com/twstock/00759B,50.80,+0.55,+1.09%,鉅亨
00760B,復華新興企業債,2018/11/14,上櫃,,https://www.cnyes.com/twstock/00760B,50.60,+0.40,+0.80%,鉅亨
00761B,國泰A級公司債,2018/11/30,上櫃,,https://www.cnyes.com/twstock/00761B,32.48,+0.26,+0.81%,鉅亨
00764B,群益25年美債,2018/12/24,上櫃,,https://www.cnyes.com/twstock/00764B,26.14,+0.22,+0.85%,鉅亨
00768B,復華20年美債,2019/01/28,上櫃,,https://www.cnyes.com/twstock/00768B,48.99,+0.37,+0.76%,鉅亨
00772B,中信高評級公司債,2019/01/29,上櫃,,https://www.cnyes.com/twstock/00772B,31.48,+0.24,+0.77%,鉅亨
00773B,中信優先金融債,2019/01/29,上櫃,,https://www.cnyes.com/twstock/00773B,33.37,+0.26,+0.79%,鉅亨
00777B,凱基AAA至A公司債,2019/02/14,上櫃,,https://www.cnyes.com/twstock/00777B,30.73,+0.27,+0.89%,鉅亨
00778B,凱基金融債20+,2019/02/14,上櫃,,https://www.cnyes.com/twstock/00778B,32.35,+0.29,+0.90%,鉅亨
00779B,凱基美債25+,2019/02/14,上櫃,,https://www.cnyes.com/twstock/00779B,26.40,+0.22,+0.84%,鉅亨
00780B,國泰A級金融債,2019/03/07,上櫃,,https://www.cnyes.com/twstock/00780B,35.15,+0.18,+0.51%,鉅亨
00781B,國泰A級科技債,2019/03/07,上櫃,,https://www.cnyes.com/twstock/00781B,27.58,+0.17,+0.62%,鉅亨
00782B,國泰A級公用債,2019/03/07,上櫃,,https://www.cnyes.com/twstock/00782B,28.58,+0.13,+0.46%,鉅亨
00785B,富邦金融投等債,2019/03/27,上櫃,,https://www.cnyes.com/twstock/00785B,32.40,+0.20,+0.62%,鉅亨
00786B,元大10年IG銀行債,2019/04/02,上櫃,,https://www.cnyes.com/twstock/00786B,30.40,+0.23,+0.76%,鉅亨
00787B,元大10年IG醫療債,2019/04/02,上櫃,,https://www.cnyes.com/twstock/00787B,30.08,+0.19,+0.64%,鉅亨
00788B,元大10年IG電能債,2019/04/02,上櫃,,https://www.cnyes.com/twstock/00788B,27.62,+0.20,+0.73%,鉅亨
00789B,復華公司債A3,2019/03/20,上櫃,,https://www.cnyes.com/twstock/00789B,45.44,+0.38,+0.84%,鉅亨
00791B,復華信用債1-5,2019/03/20,上櫃,,https://www.cnyes.com/twstock/00791B,52.30,+0.40,+0.77%,鉅亨
00792B,群益A級公司債,2019/04/03,上櫃,,https://www.cnyes.com/twstock/00792B,29.72,+0.29,+0.99%,鉅亨
00793B,群益AAA-A醫療債,2019/04/03,上櫃,,https://www.cnyes.com/twstock/00793B,28.72,+0.18,+0.63%,鉅亨
00794B,群益7+中國政金債,2019/04/30,上櫃,,https://www.cnyes.com/twstock/00794B,38.86,+0.04,+0.10%,鉅亨
00795B,中信美國公債20年,2019/04/11,上櫃,,https://www.cnyes.com/twstock/00795B,25.38,+0.22,+0.87%,鉅亨
00799B,國泰A級醫療債,2019/05/03,上櫃,,https://www.cnyes.com/twstock/00799B,28.32,+0.15,+0.53%,鉅亨
00834B,第一金金融債10+,2019/05/09,上櫃,,https://www.cnyes.com/twstock/00834B,31.52,+0.14,+0.45%,鉅亨
00836B,永豐10年A公司債,2019/05/22,上櫃,,https://www.cnyes.com/twstock/00836B,26.98,+0.23,+0.86%,鉅亨
00838B,永豐7-10年中國債,2019/06/13,上櫃,,https://www.cnyes.com/twstock/00838B,,,,
00840B,凱基IG精選15+,2019/06/10,上櫃,,https://www.cnyes.com/twstock/00840B,28.14,+0.20,+0.72%,鉅亨
00841B,凱基AAA-AA公司債,2019/06/10,上櫃,,https://www.cnyes.com/twstock/00841B,27.80,+0.18,+0.65%,鉅亨
00842B,台新美元銀行債,2019/06/14,上櫃,,https://www.cnyes.com/twstock/00842B,29.24,+0.23,+0.79%,鉅亨
00844B,新光15年IG金融債,2019/07/18,上櫃,,https://www.cnyes.com/twstock/00844B,29.55,+0.19,+0.65%,鉅亨
00845B,富邦新興投等債,2019/07/16,上櫃,,https://www.cnyes.com/twstock/00845B,30.98,+0.15,+0.49%,鉅亨
00846B,富邦歐洲銀行債,2019/07/16,上櫃,,https://www.cnyes.com/twstock/00846B,33.60,+0.16,+0.48%,鉅亨
00847B,中信美國市政債,2019/07/30,上櫃,,https://www.cnyes.com/twstock/00847B,24.07,+0.12,+0.50%,鉅亨
00848B,中信新興亞洲債,2019/07/30,上櫃,,https://www.cnyes.com/twstock/00848B,31.87,+0.19,+0.60%,鉅亨
00849B,中信EM主權債0-5,2019/07/30,上櫃,,https://www.cnyes.com/twstock/00849B,34.56,+0.18,+0.52%,鉅亨
00853B,統一美債10年Aa-A,2019/09/04,上櫃,,https://www.cnyes.com/twstock/00853B,25.98,+0.22,+0.85%,鉅亨
00856B,永豐1-3年美公債,2019/09/30,上櫃,,https://www.cnyes.com/twstock/00856B,35.16,+0.10,+0.29%,鉅亨
00857B,永豐20年美公債,2019/09/30,上櫃,,https://www.cnyes.com/twstock/00857B,21.67,+0.18,+0.84%,鉅亨
00858,永豐美國500大,2019/09/30,上櫃,,https://www.cnyes.com/twstock/00858,29.61,+0.20,+0.68%,鉅亨
00859B,群益0-1年美債,2019/10/18,上櫃,,https://www.cnyes.com/twstock/00859B,38.81,+0.15,+0.39%,鉅亨
00860B,群益1-5Y投資級債,2019/10/18,上櫃,,https://www.cnyes.com/twstock/00860B,35.80,+0.14,+0.39%,鉅亨
00862B,中信投資級公司債,2019/10/18,上櫃,,https://www.cnyes.com/twstock/00862B,29.73,+0.25,+0.85%,鉅亨
00863B,中信全球電信債,2019/10/18,上櫃,,https://www.cnyes.com/twstock/00863B,30.29,+0.24,+0.80%,鉅亨
00864B,中信美國公債0-1,2019/10/18,上櫃,,https://www.cnyes.com/twstock/00864B,43.54,+0.22,+0.51%,鉅亨
00867B,新光A-BBB電信債,2019/11/15,上櫃,,https://www.cnyes.com/twstock/00867B,29.52,+0.26,+0.89%,鉅亨
00870B,元大15年EM主權債,2020/01/09,上櫃,,https://www.cnyes.com/twstock/00870B,26.20,+0.20,+0.77%,鉅亨
00877,復華中國5G,2020/07/22,上櫃,,https://www.cnyes.com/twstock/00877,13.86,+0.15,+1.09%,鉅亨
00883B,中信ESG投資級債,2021/02/04,上櫃,,https://www.cnyes.com/twstock/00883B,28.79,+0.21,+0.73%,鉅亨
00884B,中信低碳新興債,2021/02/04,上櫃,,https://www.cnyes.com/twstock/00884B,27.05,+0.17,+0.63%,鉅亨
00886,永豐美國科技,2021/03/31,上櫃,,https://www.cnyes.com/twstock/00886,34.54,+0.25,+0.73%,鉅亨
00887,永豐中國科技50大,2021/03/31,上櫃,,https://www.cnyes.com/twstock/00887,8.04,0.00,+0.00%,鉅亨
00888,永豐台灣ESG,2021/03/31,上櫃,,https://www.cnyes.com/twstock/00888,16.46,-0.04,-0.24%,鉅亨
00890B,凱基ESG BBB 債 15+,2021/05/10,上櫃,,https://www.cnyes.com/twstock/00890B,30.43,+0.22,+0.73%,鉅亨
00928,中信上櫃ESG 30,2023/05/24,上櫃,,https://www.cnyes.com/twstock/00928,15.02,+0.03,+0.20%,鉅亨
00931B,統一美債20年,2023/08/07,上櫃,,https://www.cnyes.com/twstock/00931B,12.55,+0.10,+0.80%,鉅亨
00933B,國泰10Y+金融債,2023/10/19,上櫃,,https://www.cnyes.com/twstock/00933B,15.00,+0.11,+0.74%,鉅亨
00937B,群益ESG投等債20+,2023/12/05,上櫃,,https://www.cnyes.com/twstock/00937B,13.94,+0.11,+0.80%,鉅亨
00942B,台新美A公司債20+,2024/04/18,上櫃,,https://www.cnyes.com/twstock/00942B,13.39,+0.11,+0.83%,鉅亨
00948B,中信優息投資級債,2024/06/12,上櫃,,https://www.cnyes.com/twstock/00948B,8.86,+0.07,+0.80%,鉅亨
00950B,凱基A級公司債,2024/07/09,上櫃,,https://www.cnyes.com/twstock/00950B,13.20,+0.09,+0.69%,鉅亨
00955,中信日本商社,2024/08/20,上櫃,,https://www.cnyes.com/twstock/00955,9.97,-0.12,-1.19%,鉅亨
00957B,兆豐US優選投等債,2024/09/10,上櫃,,https://www.cnyes.com/twstock/00957B,12.76,+0.10,+0.79%,鉅亨
00958B,永豐ESG銀行債15+,2024/09/18,上櫃,,https://www.cnyes.com/twstock/00958B,8.61,+0.07,+0.82%,鉅亨
00959B,大華投等美債15Y+,2024/08/28,上櫃,,https://www.cnyes.com/twstock/00959B,8.80,+0.06,+0.69%,鉅亨
00966B,統一ESG投等債15+,2024/12/16,上櫃,,https://www.cnyes.com/twstock/00966B,13.05,+0.11,+0.85%,鉅亨
00967B,元大優息美債,2024/12/09,上櫃,,https://www.cnyes.com/twstock/00967B,8.51,+0.05,+0.59%,鉅亨
00968B,元大優息投等債,2024/12/09,上櫃,,https://www.cnyes.com/twstock/00968B,8.66,+0.06,+0.70%,鉅亨
00969B,元大零息超長美債,2024/12/09,上櫃,,https://www.cnyes.com/twstock/00969B,7.66,+0.09,+1.19%,鉅亨
00970B,新光BBB投等債20+,2024/12/17,上櫃,,https://www.cnyes.com/twstock/00970B,8.74,+0.05,+0.58%,鉅亨
009806,台新標普500,2025/05/28,上櫃,,https://www.cnyes.com/twstock/009806,10.59,+0.10,+0.95%,鉅亨
009807,台新標普科技精選,2025/05/28,上櫃,,https://www.cnyes.com/twstock/009807,11.11,+0.05,+0.45%,鉅亨
00980B,台新特選IG債10+,2025/01/22,上櫃,,https://www.cnyes.com/twstock/00980B,8.90,+0.07,+0.79%,鉅亨
00981B,第一金優選非投債,2025/03/10,上櫃,,https://www.cnyes.com/twstock/00981B,8.91,+0.05,+0.56%,鉅亨
00982B,FT投資級債20+,2025/04/28,上櫃,,https://www.cnyes.com/twstock/00982B,9.21,+0.06,+0.66%,鉅亨
00983B,大華優利美公債20,2025/05/13,上櫃,,https://www.cnyes.com/twstock/00983B,14.61,+0.11,+0.76%,鉅亨
00984B,大華優利美A債15,2025/05/13,上櫃,,https://www.cnyes.com/twstock/00984B,15.06,+0.11,+0.74%,鉅亨
020001,富邦存股雙十N,2019/04/30,上櫃,,https://www.cnyes.com/twstock/020001,－－,▲－－,－－,PChome
02001B,統一美國政府債N,2020/12/29,上櫃,,https://www.cnyes.com/twstock/02001B,－－,▲－－,－－,PChome
020023,元大櫃買半導體N,2020/12/08,上櫃,,https://www.cnyes.com/twstock/020023,5.50,▼-0.01,-0.18%,PChome
020025,統一亞洲半導體N,2021/07/22,上櫃,,https://www.cnyes.com/twstock/020025,11.12,▼-0.09,-0.80%,PChome
020027,元大上櫃ESG成長N,2021/07/19,上櫃,,https://www.cnyes.com/twstock/020027,－－,▲－－,－－,PChome
020033,統一恆生科期N,2022/05/25,上櫃,,https://www.cnyes.com/twstock/020033,4.61,▼-0.09,-1.91%,PChome
020035,元大上櫃ESG高息N,2022/10/03,上櫃,,https://www.cnyes.com/twstock/020035,－－,▲－－,－－,PChome
020040,元大上櫃ESG龍頭N,2023/12/18,上櫃,,https://www.cnyes.com/twstock/020040,－－,▲－－,－－,PChome
020041,兆豐半導體氣候N,2023/12/25,上櫃,,https://www.cnyes.com/twstock/020041,－－,▲－－,－－,PChome
1240,茂生農經,2018/08/08,上櫃,農業科技業,https://www.cnyes.com/twstock/1240,61.80,+0.10,+0.16%,鉅亨
1259,安心,2011/12/15,上櫃,觀光餐旅,https://www.cnyes.com/twstock/1259,55.50,+0.60,+1.09%,鉅亨
1264,德麥,2015/04/09,上櫃,食品工業,https://www.cnyes.com/twstock/1264,309.00,0.00,+0.00%,鉅亨
1268,漢來美食,2017/09/27,上櫃,觀光餐旅,https://www.cnyes.com/twstock/1268,151.00,-1.00,-0.66%,鉅亨
1294,漢田生技,2024/09/26,上櫃,食品工業,https://www.cnyes.com/twstock/1294,75.80,+0.60,+0.80%,鉅亨
1295,生合,2025/05/27,上櫃,食品工業,https://www.cnyes.com/twstock/1295,124.50,+6.50,+5.51%,鉅亨
1336,台翰,2007/11/02,上櫃,電子零組件業,https://www.cnyes.com/twstock/1336,18.20,-0.10,-0.55%,鉅亨
1565,精華,2004/03/30,上櫃,生技醫療業,https://www.cnyes.com/twstock/1565,163.00,+2.00,+1.24%,鉅亨
1569,濱川,2005/07/29,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/1569,48.50,-1.10,-2.22%,鉅亨
1570,力肯,2005/06/30,上櫃,電機機械,https://www.cnyes.com/twstock/1570,23.70,0.00,+0.00%,鉅亨
1580,新麥,2007/12/10,上櫃,電機機械,https://www.cnyes.com/twstock/1580,141.50,0.00,+0.00%,鉅亨
1584,精剛,2007/11/28,上櫃,其他業,https://www.cnyes.com/twstock/1584,24.10,+0.50,+2.12%,鉅亨
1586,和勤,2012/01/09,上櫃,電機機械,https://www.cnyes.com/twstock/1586,26.00,0.00,+0.00%,鉅亨
1591,駿吉-KY,2012/03/23,上櫃,電機機械,https://www.cnyes.com/twstock/1591,50.70,-0.80,-1.55%,鉅亨
1593,祺驊,2012/06/13,上櫃,運動休閒,https://www.cnyes.com/twstock/1593,30.00,+0.40,+1.35%,鉅亨
1595,川寶,2011/10/04,上櫃,電子零組件業,https://www.cnyes.com/twstock/1595,39.80,-0.05,-0.13%,鉅亨
1599,宏佳騰,2012/12/25,上櫃,電機機械,https://www.cnyes.com/twstock/1599,32.70,+0.70,+2.19%,鉅亨
1742,台蠟,2004/05/14,上櫃,化學工業,https://www.cnyes.com/twstock/1742,15.85,-0.25,-1.55%,鉅亨
1777,生泰,2005/10/19,上櫃,生技醫療業,https://www.cnyes.com/twstock/1777,78.70,+0.10,+0.13%,鉅亨
1781,合世,2004/12/24,上櫃,生技醫療業,https://www.cnyes.com/twstock/1781,14.40,0.00,+0.00%,鉅亨
1784,訊聯,2007/07/26,上櫃,生技醫療業,https://www.cnyes.com/twstock/1784,74.40,+6.70,+9.90%,鉅亨
1785,光洋科,2005/01/31,上櫃,其他電子業,https://www.cnyes.com/twstock/1785,52.40,+0.50,+0.96%,鉅亨
1788,杏昌,2009/07/20,上櫃,生技醫療業,https://www.cnyes.com/twstock/1788,139.00,0.00,+0.00%,鉅亨
1796,金穎生技,2018/01/22,上櫃,食品工業,https://www.cnyes.com/twstock/1796,45.40,-0.90,-1.94%,鉅亨
1799,易威,2008/11/10,上櫃,生技醫療業,https://www.cnyes.com/twstock/1799,46.40,-1.05,-2.21%,鉅亨
1813,寶利徠,2009/08/04,上櫃,生技醫療業,https://www.cnyes.com/twstock/1813,15.05,+0.40,+2.73%,鉅亨
1815,富喬,2006/01/23,上櫃,電子零組件業,https://www.cnyes.com/twstock/1815,46.00,+1.00,+2.22%,鉅亨
2035,唐榮,2006/07/07,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/2035,30.30,+0.20,+0.66%,鉅亨
2061,風青,2010/12/09,上櫃,電器電纜,https://www.cnyes.com/twstock/2061,17.60,0.00,+0.00%,鉅亨
2063,世鎧,2010/09/07,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/2063,28.70,0.00,+0.00%,鉅亨
2064,晉椿,2014/12/26,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/2064,14.20,false,%,鉅亨
2065,世豐,2017/04/21,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/2065,35.95,-0.05,-0.14%,鉅亨
2066,世德,2013/09/24,上櫃,電機機械,https://www.cnyes.com/twstock/2066,70.70,+0.20,+0.28%,鉅亨
2067,嘉鋼,2014/05/26,上櫃,電機機械,https://www.cnyes.com/twstock/2067,7.60,+0.36,+4.97%,鉅亨
2070,精湛,2018/12/17,上櫃,電機機械,https://www.cnyes.com/twstock/2070,40.10,+0.10,+0.25%,鉅亨
2073,雄順,2023/06/21,上櫃,鋼鐵工業,https://www.cnyes.com/twstock/2073,29.00,+0.15,+0.52%,鉅亨
2221,大甲,2007/08/01,上櫃,其他業,https://www.cnyes.com/twstock/2221,27.90,+0.40,+1.45%,鉅亨
2230,泰茂,2013/04/18,上櫃,電機機械,https://www.cnyes.com/twstock/2230,102.00,-1.50,-1.45%,鉅亨
2235,謚源,2014/12/15,上櫃,電機機械,https://www.cnyes.com/twstock/2235,42.15,+0.40,+0.96%,鉅亨
2596,綠意,2009/06/01,上櫃,建材營造業,https://www.cnyes.com/twstock/2596,31.50,0.00,+0.00%,鉅亨
2640,大車隊,2012/11/07,上櫃,數位雲端,https://www.cnyes.com/twstock/2640,128.50,0.00,+0.00%,鉅亨
2641,正德,2014/10/09,上櫃,航運業,https://www.cnyes.com/twstock/2641,19.75,+0.25,+1.28%,鉅亨
2643,捷迅,2016/03/04,上櫃,航運業,https://www.cnyes.com/twstock/2643,71.10,+0.10,+0.14%,鉅亨
2718,全心投控,2011/03/29,上櫃,建材營造業,https://www.cnyes.com/twstock/2718,49.80,-0.10,-0.20%,鉅亨
2719,燦星旅,2012/02/24,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2719,39.80,0.00,+0.00%,鉅亨
2724,藝舍-KY,2012/05/29,上櫃,其他業,https://www.cnyes.com/twstock/2724,23.90,+1.10,+4.82%,鉅亨
2726,雅茗-KY,2014/12/24,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2726,18.70,+0.10,+0.54%,鉅亨
2729,瓦城,2012/09/17,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2729,209.50,0.00,+0.00%,鉅亨
2732,六角,2015/01/20,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2732,76.40,-0.40,-0.52%,鉅亨
2734,易飛網,2013/12/26,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2734,20.15,-0.40,-1.95%,鉅亨
2736,富野,2016/01/06,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2736,16.05,-0.15,-0.93%,鉅亨
2740,天蔥,2015/12/24,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2740,33.40,-0.30,-0.89%,鉅亨
2743,山富,2020/03/09,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2743,119.00,-2.50,-2.06%,鉅亨
2745,五福,2018/04/16,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2745,125.00,-2.00,-1.57%,鉅亨
2751,王座,2024/09/10,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2751,63.60,+0.60,+0.95%,鉅亨
2752,豆府,2019/09/25,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2752,205.00,0.00,+0.00%,鉅亨
2754,亞洲藏壽司,2020/09/17,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2754,86.10,+0.60,+0.70%,鉅亨
2755,揚秦,2020/12/16,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2755,140.00,+1.00,+0.72%,鉅亨
2756,聯發國際,2022/01/14,上櫃,觀光餐旅,https://www.cnyes.com/twstock/2756,113.50,-4.50,-3.81%,鉅亨
2916,滿心,2005/03/10,上櫃,居家生活,https://www.cnyes.com/twstock/2916,47.25,-0.10,-0.21%,鉅亨
2924,宏太-KY,2011/12/02,上櫃,居家生活,https://www.cnyes.com/twstock/2924,28.85,+0.55,+1.94%,鉅亨
2926,誠品生活,2013/01/30,上櫃,文化創意業,https://www.cnyes.com/twstock/2926,44.90,-0.05,-0.11%,鉅亨
2937,集雅社,2017/06/08,上櫃,居家生活,https://www.cnyes.com/twstock/2937,40.20,-1.35,-3.25%,鉅亨
2941,米斯特,2024/03/20,上櫃,居家生活,https://www.cnyes.com/twstock/2941,-,-,(-),CMoney
2947,振宇五金,2021/10/06,上櫃,居家生活,https://www.cnyes.com/twstock/2947,91.30,-1.00,-1.08%,鉅亨
2948,寶陞,2023/12/12,上櫃,居家生活,https://www.cnyes.com/twstock/2948,39.00,-0.40,-1.02%,鉅亨
2949,欣新網,2023/12/15,上櫃,數位雲端,https://www.cnyes.com/twstock/2949,82.50,+0.30,+0.36%,鉅亨
3064,泰偉,2004/06/09,上櫃,文化創意業,https://www.cnyes.com/twstock/3064,61.20,+0.40,+0.66%,鉅亨
3066,李洲,2004/12/02,上櫃,光電業,https://www.cnyes.com/twstock/3066,14.30,-0.10,-0.69%,鉅亨
3067,全域,2003/10/21,上櫃,其他電子業,https://www.cnyes.com/twstock/3067,19.60,0.00,+0.00%,鉅亨
3071,協禧,2004/12/30,上櫃,電腦及週邊設備業,https://www.cnyes.com/twstock/3071,17.90,+0.10,+0.56%,鉅亨
